City/Town,TOWN_ID,Pres16D,Pres16R,POP2010
Abington,1,4115,4017,15985
Acton,2,9198,2555,21924
Acushnet,3,2401,2834,10303
Adams,4,2413,1285,8485
Agawam,5,6208,7421,28438
Alford,6,226,52,494
Amesbury,7,5174,3231,16283
Amherst,8,12357,1248,37819
Andover,9,11222,6522,33201
Aquinnah,104,232,34,311
Arlington,10,20539,4652,42844
Ashburnham,11,1439,1522,6081
Ashby,12,722,974,3074
Ashfield,13,836,184,1737
Ashland,14,5684,2768,16593
Athol,15,2076,2335,11584
Attleboro,16,10518,8571,43593
Auburn,17,4496,4000,16188
Avon,18,1254,1068,4356
Ayer,19,2162,1498,7427
Barnstable,20,13005,11195,45193
Barre,21,1201,1429,5398
Becket,22,571,368,1779
Bedford,23,5085,2211,13320
Belchertown,24,4408,3153,14649
Bellingham,25,4033,4059,16332
Belmont,26,10252,3106,24729
Berkley,27,1455,1926,6411
Berlin,28,1009,745,2866
Bernardston,29,711,382,2129
Beverly,30,13185,6904,39502
Billerica,31,10100,10319,40243
Blackstone,32,1850,2327,9026
Blandford,33,256,405,1233
Bolton,34,1891,1036,4897
Boston,35,221093,38087,617594
Bourne,36,4910,5201,19754
Boxborough,37,1987,756,4996
Boxford,38,2454,2194,7965
Boylston,39,1424,1125,4355
Braintree,40,10469,8427,35744
Brewster,41,3813,2370,9820
Bridgewater,42,5718,6261,26563
Brimfield,43,793,1113,3609
Brockton,44,25593,8801,93810
Brookfield,45,708,936,3390
Brookline,46,24583,3175,58732
Buckland,47,703,230,1902
Burlington,48,7633,5434,24498
Cambridge,49,46563,3323,105162
Canton,50,7308,4731,21561
Carlisle,51,2302,732,4852
Carver,52,2529,3206,11509
Charlemont,53,407,228,1266
Charlton,54,2709,3856,12981
Chatham,55,2398,1796,6125
Chelmsford,56,10705,7661,33802
Chelsea,57,7500,1587,35177
Cheshire,58,978,741,3235
Chester,59,238,372,1337
Chesterfield,60,398,267,1222
Chicopee,61,12338,9841,55298
Chilmark,62,617,94,866
Clarksburg,63,510,327,1702
Clinton,64,3767,2748,13606
Cohasset,65,2895,1629,7542
Colrain,66,513,257,1671
Concord,67,8460,1951,17668
Conway,68,865,249,1897
Cummington,69,334,156,872
Dalton,70,2190,940,6756
Danvers,71,7752,6484,26493
Dartmouth,72,8586,6738,34032
Dedham,73,8621,4778,24729
Deerfield,74,1968,777,5125
Dennis,75,4887,3751,14207
Dighton,76,1602,2149,7086
Douglas,77,1780,2685,8471
Dover,78,2063,1137,5589
Dracut,79,6645,8319,29457
Dudley,80,2113,2871,11390
Dunstable,81,954,837,3179
Duxbury,82,5137,3888,15059
E. Bridgewater,83,3174,4073,13794
E. Brookfield,84,417,664,2183
E. Longmeadow,85,4089,4441,15720
Eastham,86,2203,1199,4956
Easthampton,87,6213,2599,16053
Easton,88,6556,5231,23112
Edgartown,89,1787,779,4067
Egremont,90,621,147,1225
Erving,91,420,300,1800
Essex,92,1272,758,3504
Everett,93,9461,3940,41667
Fairhaven,94,4264,3824,15873
Fall River,95,17467,10850,88857
Falmouth,96,11467,7165,31531
Fitchburg,97,8590,5587,40318
Florida,98,191,170,752
Foxborough,99,5132,4161,16865
Framingham,100,20520,7063,68318
Franklin,101,9527,6996,31635
Freetown,102,2035,2649,8870
Gardner,103,4196,3542,20228
Georgetown,105,2347,2228,8183
Gill,106,579,259,1500
Gloucester,107,9808,5355,28789
Goshen,108,364,213,1054
Gosnold,109,36,27,75
Grafton,110,5372,3883,17765
Granby,111,1651,1699,6240
Granville,112,335,548,1566
Great Barrington,113,2880,580,7104
Greenfield,114,5574,2098,17456
Groton,115,3917,2138,10646
Groveland,116,1822,1934,6459
Hadley,117,2149,867,5250
Halifax,118,1794,2312,7518
Hamilton,119,2631,1476,7764
Hampden,120,1188,1645,5139
Hancock,121,189,159,717
Hanover,122,3750,4267,13879
Hanson,123,2432,3124,10209
Hardwick,124,568,709,2990
Harvard,125,2515,889,6520
Harwich,126,4560,3294,12243
Hatfield,127,1284,660,3279
Haverhill,128,15407,12050,60879
Hawley,129,105,67,337
Heath,130,244,165,706
Hingham,131,8510,4810,22157
Hinsdale,132,606,403,2032
Holbrook,133,2912,2385,10791
Holden,134,5605,4612,17346
Holland,135,475,720,2481
Holliston,136,5291,2563,13547
Holyoke,137,11656,4022,39880
Hopedale,138,1759,1375,5911
Hopkinton,139,5358,2911,14925
Hubbardston,140,1040,1376,4382
Hudson,141,6028,3775,19063
Hull,142,3688,2356,10293
Huntington,143,460,611,2180
Ipswich,144,4939,3013,13175
Kingston,145,3471,3579,12629
Lakeville,146,2466,3374,10602
Lancaster,147,1850,1651,8055
Lanesborough,148,998,597,3091
