City/Town,TOWN_ID,Sen00D,Sen00D,POP2000
Abington,1,4544,2073,14605
Acton,2,7034,2780,20331
Acushnet,3,3791,893,10161
Adams,4,3151,581,8809
Agawam,5,8154,3111,28144
Alford,6,180,71,399
Amesbury,7,4713,1843,16450
Amherst,8,8316,2235,34874
Andover,9,10125,5166,31247
Aquinnah,104,207,26,344
Arlington,10,18176,4602,42389
Ashburnham,11,1613,856,5546
Ashby,12,808,533,2845
Ashfield,13,669,259,1800
Ashland,14,4900,1889,14674
Athol,15,2703,1344,11299
Attleboro,16,10355,4378,42068
Auburn,17,5682,2072,15901
Avon,18,1657,593,4443
Ayer,19,1749,877,7287
Barnstable,20,15928,6447,47821
Barre,21,1467,697,5113
Becket,22,478,214,1755
Bedford,23,4480,1834,12595
Belchertown,24,3829,1649,12968
Bellingham,25,4748,1890,15314
Belmont,26,9720,2954,24194
Berkley,27,1582,729,5749
Berlin,28,766,480,2380
Bernardston,29,656,343,2155
Beverly,30,13098,4599,39862
Billerica,31,11287,4622,38981
Blackstone,32,2460,942,8804
Blandford,33,313,236,1214
Bolton,34,1376,774,4159
Boston,35,137782,29684,588957
Bourne,36,5621,2625,18721
Boxborough,37,1537,733,4868
Boxford,38,2407,1746,7921
Boylston,39,1363,753,4083
Braintree,40,12068,4165,33828
Brewster,41,3817,1781,10094
Bridgewater,42,6431,3036,25185
Brimfield,43,880,549,3339
Brockton,44,20546,6422,94304
Brookfield,45,803,394,3051
Brookline,46,20809,3792,57291
Buckland,47,619,275,1991
Burlington,48,7875,2985,22876
Cambridge,49,32759,5286,101355
Canton,50,7640,2663,20775
Carlisle,51,1824,896,4717
Carver,52,3340,1671,11177
Charlemont,53,401,192,1358
Charlton,54,3033,1504,11263
Chatham,55,2651,1663,6625
Chelmsford,56,11147,4964,33858
Chelsea,57,5069,979,35116
Cheshire,58,1279,330,3401
Chester,59,335,220,1308
Chesterfield,60,336,219,1201
Chicopee,61,15126,4639,54653
Chilmark,62,494,148,843
Clarksburg,63,611,162,1686
Clinton,64,4107,1309,13424
Cohasset,65,2730,1366,7261
Colrain,66,472,275,1813
Concord,67,6613,2442,16993
Conway,68,720,282,1809
Cummington,69,324,127,978
Dalton,70,2493,619,6892
Danvers,71,8480,3479,25212
Dartmouth,72,9900,2979,30666
Dedham,73,8277,2752,23464
Deerfield,74,1911,694,4750
Dennis,75,5831,2523,15973
Dighton,76,1915,809,6175
Douglas,77,2075,1060,7045
Dover,78,1661,1327,5558
Dracut,79,8925,3246,28562
Dudley,80,2773,1142,10036
Dunstable,81,910,483,2829
Duxbury,82,5118,2922,14248
E. Bridgewater,83,3572,1923,12974
E. Brookfield,84,605,284,2097
E. Longmeadow,85,4506,2312,14100
Eastham,86,2165,1043,5453
Easthampton,87,5231,1834,15994
Easton,88,6749,3326,22299
Edgartown,89,1494,495,3779
Egremont,90,569,162,1345
Erving,91,450,193,1467
Essex,92,1204,609,3267
Everett,93,10055,2367,38037
Fairhaven,94,5590,1404,16159
Fall River,95,23592,3907,91938
Falmouth,96,12064,4385,32660
Fitchburg,97,8976,2862,39102
Florida,98,237,91,676
Foxborough,99,5507,2428,16246
Framingham,100,19231,5804,66910
Franklin,101,9426,3740,29560
Freetown,102,2681,1110,8472
Gardner,103,5264,1992,20770
Georgetown,105,2341,1245,7377
Gill,106,532,183,1363
Gloucester,107,9919,3080,30273
Goshen,108,289,172,921
Gosnold,109,39,36,86
