City/Town,TOWN_ID,Sen06D,Sen06R,POP2000
Abington,1,3638,2125,14605
Acton,2,5856,2430,20331
Acushnet,3,2914,970,10161
Adams,4,2254,455,8809
Agawam,5,6329,3808,28144
Alford,6,183,48,399
Amesbury,7,3816,2020,16450
Amherst,8,7151,864,34874
Andover,9,7835,5193,31247
Aquinnah,104,197,15,344
Arlington,10,15345,4241,42389
Ashburnham,11,1408,907,5546
Ashby,12,716,587,2845
Ashfield,13,711,154,1800
Ashland,14,4006,1909,14674
Athol,15,2030,1156,11299
Attleboro,16,8019,4685,42068
Auburn,17,4123,2141,15901
Avon,18,1187,590,4443
Ayer,19,1493,841,7287
Barnstable,20,11795,7733,47821
Barre,21,1231,711,5113
Becket,22,418,155,1755
Bedford,23,3719,1822,12595
Belchertown,24,3398,1600,12968
Bellingham,25,3657,2111,15314
Belmont,26,7638,3086,24194
Berkley,27,1290,820,5749
Berlin,28,740,499,2380
Bernardston,29,625,277,2155
Beverly,30,10168,4938,39862
Billerica,31,8100,5221,38981
Blackstone,32,1840,1056,8804
Blandford,33,259,217,1214
Bolton,34,1241,883,4159
Boston,35,124946,23152,588957
Bourne,36,4470,3106,18721
Boxborough,37,1313,717,4868
Boxford,38,1814,1910,7921
Boylston,39,1139,784,4083
Braintree,40,9020,4803,33828
Brewster,41,3154,2021,10094
Bridgewater,42,4982,3205,25185
Brimfield,43,769,660,3339
Brockton,44,16151,5599,94304
Brookfield,45,776,508,3051
Brookline,46,16578,2999,57291
Buckland,47,601,194,1991
Burlington,48,5880,3290,22876
Cambridge,49,28391,3321,101355
Canton,50,5773,2863,20775
Carlisle,51,1677,834,4717
Carver,52,2569,1740,11177
Charlemont,53,342,135,1358
Charlton,54,2419,1916,11263
Chatham,55,2114,1713,6625
Chelmsford,56,8579,5621,33858
Chelsea,57,3905,827,35116
Cheshire,58,988,308,3401
Chester,59,280,172,1308
Chesterfield,60,303,174,1201
Chicopee,61,11262,5006,54653
Chilmark,62,452,113,843
Clarksburg,63,477,141,1686
Clinton,64,3024,1395,13424
Cohasset,65,2031,1446,7261
Colrain,66,445,163,1813
Concord,67,5932,2315,16993
Conway,68,755,199,1809
Cummington,69,303,79,978
Dalton,70,1798,575,6892
Danvers,71,6464,3793,25212
Dartmouth,72,7371,2984,30666
Dedham,73,6587,3048,23464
Deerfield,74,1756,553,4750
Dennis,75,4758,3035,15973
Dighton,76,1477,852,6175
Douglas,77,1548,1209,7045
Dover,78,1411,1235,5558
Dracut,79,6155,3839,28562
Dudley,80,2143,1208,10036
Dunstable,81,732,591,2829
Duxbury,82,3951,3069,14248
E. Bridgewater,83,2863,2039,12974
E. Brookfield,84,455,350,2097
E. Longmeadow,85,3325,2550,14100
Eastham,86,1913,1104,5453
Easthampton,87,4585,1629,15994
Easton,88,5259,3307,22299
Edgartown,89,1184,512,3779
Egremont,90,513,137,1345
Erving,91,401,117,1467
Essex,92,1008,663,3267
Everett,93,7115,2068,38037
Fairhaven,94,4473,1458,16159
Fall River,95,16842,3945,91938
Falmouth,96,9856,5134,32660
Fitchburg,97,6954,3085,39102
Florida,98,193,64,676
Foxborough,99,4230,2528,16246
Framingham,100,14281,5410,66910
Franklin,101,7009,4165,29560
Freetown,102,2005,1168,8472
Gardner,103,4163,1822,20770
Georgetown,105,1874,1419,7377
Gill,106,498,152,1363
Gloucester,107,8280,3267,30273
Goshen,108,302,125,921
Gosnold,109,37,21,86
Grafton,110,3757,2383,14894
Granby,111,1552,982,6132
Granville,112,277,316,1521
Great Barrington,113,2296,487,7527
Greenfield,114,4945,1372,18168
Groton,115,2718,1691,9547
Groveland,116,1611,1207,6038
Hadley,117,1683,600,4793
Halifax,118,1787,1168,7480
Hamilton,119,1947,1535,8315
Hampden,120,1190,980,5171
Hancock,121,184,77,721
Hanover,122,3463,2599,13164
Hanson,123,2357,1627,9515
Hardwick,124,716,349,2622
Harvard,125,1846,921,5981
Harwich,126,3808,2579,12386
Hatfield,127,1203,431,3249
Haverhill,128,11310,6175,58969
Hawley,129,87,42,336
Heath,130,241,86,805
Hingham,131,6050,3786,19882
Hinsdale,132,483,185,1872
Holbrook,133,2635,1334,10785
Holden,134,4644,3114,15621
Holland,135,477,370,2407
Holliston,136,4063,2192,13801
Holyoke,137,7444,2524,39838
Hopedale,138,1630,883,5907
Hopkinton,139,3530,2343,13346
Hubbardston,140,1035,844,3909
Hudson,141,4537,2215,18113
Hull,142,3100,1227,11050
Huntington,143,437,299,2174
Ipswich,144,3878,2226,12987
Kingston,145,2935,1963,11780
Lakeville,146,2157,1785,9821
Lancaster,147,1411,1159,7380
Lanesborough,148,807,248,2990
Lawrence,149,8758,2238,72043
Lee,150,1591,476,5985
Leicester,151,2488,1437,10471
Lenox,152,1868,482,5077
Leominster,153,8662,4344,41303
Leverett,154,802,130,1663
Lexington,155,10326,3362,30355
Leyden,156,269,77,772
Lincoln,157,2049,644,8056
Littleton,158,2388,1390,8184
Longmeadow,159,4409,2653,15633
