right,left,totalpop
748,421,4202
705,302,1853
310,287,2004
81,36,346
137,118,1278
67,49,359
160,156,923
437,335,2229
696,335,5899
135,533,2254
432,169,1787
292,181,1336
1832,662,13076
133,151,1552
834,311,6632
375,297,1946
65,279,579
167,100,594
283,166,1177
897,389,3571
109,254,955
470,215,5308
1877,485,8076
41,254,584
732,223,5617
774,219,3321
54,174,534
207,239,1110
607,213,2612
615,271,6615
1057,249,7606
1827,744,11847
95,76,962
933,503,6415
210,103,3643
558,134,1562
2279,790,12596
511,406,2445
369,273,1908
781,273,8567
327,173,2213
813,138,4579
324,167,1524
612,625,4443
667,621,4732
315,691,2939
467,273,5654
327,263,1614
809,323,3183
748,322,3106
290,251,2445
50,219,629
446,325,2017
111,137,581
832,233,3084
51,156,397
57,32,410
182,180,1185
266,168,1868
143,52,786
112,446,1451
444,281,2430
44,9,133
361,269,1763
54,135,3205
591,334,3104
55,39,200
339,397,1893
361,148,1388
89,69,451
78,242,960
107,70,572
327,222,1624
62,199,1564
188,146,1140
67,29,215
118,758,1830
2036,665,12435
324,293,2125
634,397,4183
36,11,153
189,99,683
155,96,1044
119,22,571
98,105,609
152,72,954
105,105,750
141,665,3652
80,37,225
641,450,3086
111,47,285
101,173,703
466,366,1860
537,220,2133
175,299,1514
168,81,310
411,292,2091
229,133,1194
96,291,875
34,166,579
589,712,2949
133,52,628
94,399,1602
159,61,751
653,326,3637
19,107,602
194,75,641
316,284,1629
119,35,272
0,0,1391
164,619,1902
119,72,522
193,184,1131
112,76,598
171,106,806
122,153,744
286,117,1104
548,336,2317
208,49,636
451,258,2101
159,108,547
408,292,1868
298,179,1661
283,308,1407
164,81,814
146,75,638
442,219,1892
196,212,1094
278,141,2073
90,38,299
243,119,1001
106,33,389
109,56,415
121,46,654
117,29,446
571,260,3167
18,42,268
173,45,466
813,314,2720
170,83,792
119,262,1886
42,383,883
97,14,273
77,54,484
134,55,310
268,95,884
81,54,485
65,248,979
148,314,2116
203,95,371
0,0,319
104,65,634
343,141,1930
64,121,640
172,55,870
448,271,2347
449,117,2036
191,60,722
73,160,397
78,133,826
284,266,1395
880,333,4647
160,69,1224
184,70,657
545,540,2974
244,211,1534
62,29,415
307,200,1172
97,171,951
117,66,871
171,80,716
57,35,445
243,113,991
75,34,610
243,97,1006
86,40,440
73,46,355
244,120,675
96,35,306
33,20,189
134,63,519
107,33,279
63,15,476
91,37,509
185,65,381
410,420,2253
0,0,524
274,127,1170
177,125,1208
114,212,1154
11,229,1075
77,134,731
67,600,2299
195,103,726
157,45,701
138,81,623
522,164,1250
83,31,503
278,477,1881
195,67,1212
36,37,286
134,121,1272
131,186,713
208,119,1037
149,98,986
22,139,589
227,67,635
236,299,1483
138,54,699
253,147,2045
46,53,422
180,112,1092
83,103,504
109,80,420
289,96,885
73,48,352
221,77,835
242,57,825
159,69,459
108,67,548
106,47,657
197,75,1044
56,76,307
649,462,4029
49,87,833
136,129,591
103,81,577
294,168,645
93,193,768
213,143,808
71,40,412
208,132,1153
232,204,1802
68,36,187
167,129,667
227,119,1029
363,157,1440
192,484,1740
30,188,636
218,224,2478
256,102,984
269,209,1539
221,61,746
65,237,1308
124,55,432
258,115,1400
167,68,779
1362,988,7247
88,144,742
67,33,245
63,34,456
193,87,849
870,314,4741
350,126,1825
200,49,1135
154,81,1040
75,158,474
59,417,1647
109,41,455
15,4,60
1037,718,6324
124,30,218
167,69,1283
83,58,256
36,202,521
65,70,357
27,206,487
3,66,216
380,156,2087
115,57,705
656,324,1832
129,61,847
41,27,294
839,618,8202
243,154,1477
223,75,1203
268,72,1274
92,268,1125
270,67,900
201,78,1130
446,317,2044
212,217,943
270,182,1384
723,495,6234
25,119,358
0,0,308
202,74,822
217,84,1372
23,9,86
173,60,928
107,37,1065
678,390,2962
365,255,1961
636,208,2954
484,165,2532
213,181,775
117,95,1294
0,0,1026
174,65,650
337,74,777
93,614,2462
141,233,911
138,48,515
42,469,1495
270,58,760
540,266,1857
135,311,923
235,99,2579
245,57,742
236,94,551
444,114,1227
119,56,583
317,171,1421
346,108,1521
415,74,781
241,104,1892
171,107,827
92,46,445
132,70,644
1225,239,4551
226,762,4001
63,21,260
244,464,2222
110,76,531
241,234,1367
206,246,1258
314,153,2044
237,101,1053
279,213,897
1881,775,7100
375,213,1700
41,33,375
93,151,565
208,155,841
54,38,283
475,200,1991
672,338,2378
107,19,433
350,110,1048
14,23,61
323,114,1073
687,219,2193
156,56,954
78,22,310
57,180,583
2326,1058,9287
148,32,507
132,76,518
32,12,177
159,164,1303
436,149,1668
220,79,1429
304,373,1922
462,272,3245
1137,321,3797
112,141,758
52,30,236
265,107,1225
93,52,343
166,88,910
155,67,896
174,52,602
361,269,1607
169,866,4113
250,104,1004
154,54,463
108,236,946
111,483,1457
426,321,2180
123,64,505
30,10,183
9,4,21
105,56,582
229,81,650
182,143,722
26,485,1940
161,45,366
208,47,611
0,0,3016
567,867,4006
88,1170,3941
102,33,447
104,267,1153
49,28,139
28,4,82
0,0,2061
0,0,1276
47,17,532
169,92,1089
76,40,273
0,0,996
44,86,375
0,0,2071
229,84,689
120,68,560
96,88,600
0,0,1669
163,112,1010
203,402,1918
0,0,742
129,68,629
247,111,1125
92,31,442
179,78,1110
169,98,426
0,0,314
172,43,418
195,98,613
111,69,679
214,94,805
214,242,1353
26,20,134
340,177,1653
35,21,212
88,170,787
34,19,171
221,99,954
408,198,1693
220,289,2272
270,100,714
125,66,467
38,55,158
399,185,2099
49,17,162
98,43,308
374,294,1822
0,0,1211
0,0,759
0,0,800
0,0,391
252,561,1359
605,155,1771
21,39,131
117,369,3677
113,27,489
225,235,1292
140,85,664
11,0,47
57,18,287
0,0,731
0,0,441
45,30,210
0,0,1376
0,0,875
99,45,506
106,84,537
528,144,1721
0,0,293
37,9,176
0,0,1024
97,95,811
0,0,172
0,0,383
0,0,1179
94,117,204
193,115,667
66,199,585
75,63,336
1135,476,5329
105,431,1273
150,142,800
398,132,1464
0,0,360
26,191,502
31,31,190
8,534,855
145,746,2360
161,80,599
0,0,486
133,81,4277
0,0,38
77,67,242
39,68,341
118,27,412
57,100,216
74,195,689
0,0,233
0,0,1084
422,259,2177
58,282,927
99,44,381
117,36,413
0,0,349
0,0,1069
54,35,305
317,136,1704
121,223,776
17,44,158
0,0,67
5,188,393
209,73,436
192,67,568
413,525,2900
585,211,2205
243,334,678
37,347,938
40,1013,2167
71,53,182
0,0,192
171,71,917
74,13,211
97,53,356
65,263,810
82,24,205
205,48,719
0,0,899
0,0,1052
32,390,1300
455,194,2705
60,244,664
245,78,851
150,364,648
357,125,1204
78,29,312
79,50,238
346,530,2555
60,15,252
252,125,489
74,56,373
86,18,304
0,0,257
202,141,749
52,25,259
0,0,143
27,183,406
0,0,201
513,238,1886
67,113,339
24,294,774
48,127,422
131,636,1645
98,35,229
30,31,106
110,10,301
1311,422,4196
104,82,437
44,165,425
28,62,256
70,372,1010
129,129,558
22,13,104
0,0,101
399,186,1291
175,79,650
100,275,850
160,922,2922
349,171,1277
154,630,1744
549,302,2408
131,222,869
311,171,1298
279,243,1955
43,24,156
123,52,287
309,382,1879
166,67,411
615,99,1365
53,23,188
959,345,3296
49,25,146
78,31,150
72,673,3094
23,94,301
120,160,632
57,192,694
197,673,3107
452,264,1985
229,78,627
1146,331,5162
229,41,1140
11,349,947
17,10,83
215,84,559
6,334,824
63,722,2335
188,48,508
134,75,631
173,18,563
682,252,1987
392,259,1581
292,545,2448
83,65,286
161,78,412
91,28,373
92,24,195
226,51,1012
41,98,516
144,138,769
230,34,735
311,207,2067
65,57,282
190,235,809
502,721,3195
181,253,1227
132,98,580
234,893,2401
184,61,562
223,66,549
286,291,1288
31,2,114
554,103,1236
77,9,281
66,12,122
67,21,187
0,0,322
0,0,1354
29,31,86
0,0,45
303,55,917
99,25,292
44,97,329
126,39,286
0,0,5582
113,56,356
80,30,159
301,333,1398
390,334,2177
137,78,660
793,391,3960
818,546,2935
181,46,443
106,262,1047
232,145,779
163,67,688
221,429,1812
254,517,3392
36,18,114
299,242,1196
119,299,1329
32,155,405
137,73,418
0,0,385
0,0,882
1163,274,4297
26,125,381
187,623,2171
77,145,525
222,111,944
