City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,pop by share of vote
Abington,-,1,1104,849,1971,3723.509895227008
Abington,-,2,925,739,1691,3194.5485706894324
Abington,-,3,978,887,1886,3562.9323502781012
Abington,-,4,1185,972,2183,4124.009183805459
Acton,-,1,1069,552,1668,3140.300768589684
Acton,-,2,1128,645,1821,3428.3499398092417
Acton,-,3,1372,662,2083,3921.6106120937125
Acton,-,4,1190,557,1790,3369.9870358366516
Acton,-,5,1210,505,1748,3290.9147143254004
Acton,-,6,1094,564,1689,3179.8369293453097
Acushnet,-,1,1194,405,1636,2982.3100107642626
Acushnet,-,2,1316,652,1993,3633.095263724435
Acushnet,-,3,1280,640,1945,3545.5947255113024
Adams,-,1,548,188,743,1606.945003682789
Adams,-,2,642,195,852,1842.687945003683
Adams,-,3,621,206,842,1821.0601522219495
Adams,-,4,550,183,738,1596.1311072919223
Adams,-,5,685,201,898,1942.1757917996563
Agawam,-,1,890,594,1527,3062.924096643147
Agawam,-,2,979,848,1883,3777.004632599245
Agawam,-,3,990,684,1712,3434.005274036063
Agawam,-,4,930,690,1670,3349.7598175468606
Agawam,-,5,1107,809,1958,3927.4429477585345
Agawam,-,6,931,780,1783,3576.4202123868577
Agawam,-,7,881,772,1697,3403.917611004205
Agawam,-,8,983,780,1801,3612.5254080250875
Alford,-,1,208,89,303,399.0
Amesbury,-,1,862,648,1531,3173.106967368023
Amesbury,-,2,719,508,1248,2586.569232707572
Amesbury,-,3,800,524,1344,2785.5360967620004
Amesbury,-,4,625,449,1096,2271.5383646213936
Amesbury,-,5,792,681,1493,3094.3492503464786
Amesbury,-,6,791,418,1225,2538.9000881945317
Amherst,-,1,762,94,901,2710.617149758454
Amherst,-,2,996,183,1216,3658.2801932367147
Amherst,-,3,610,99,729,2193.1630434782605
Amherst,-,4,649,71,735,2211.213768115942
Amherst,-,5,845,129,1015,3053.580917874396
Amherst,-,6,1318,223,1581,4756.365942028986
Amherst,-,7,1279,182,1511,4545.774154589372
Amherst,-,8,1416,258,1717,5165.515700483092
Amherst,-,9,1251,163,1476,4440.478260869565
Amherst,-,10,619,64,711,2139.0108695652175
Andover,-,1,1177,754,1972,3539.29259046525
Andover,-,2,948,848,1825,3275.460941987363
Andover,-,3,1107,814,1955,3508.781447443998
Andover,-,4,850,816,1694,3040.3456634118324
Andover,-,5,971,930,1936,3474.680758184951
Andover,-,6,941,960,1931,3465.706892590465
Andover,-,7,1053,904,1993,3576.982825962091
Andover,-,8,1144,965,2135,3831.840608845491
Andover,-,9,1014,916,1969,3533.9082711085584
Aquinnah,-,1,270,22,296,344.0
Arlington,-,1,649,189,853,1457.6826043136464
Arlington,-,2,812,327,1170,1999.4005240878855
Arlington,-,3,910,260,1202,2054.0849828663577
Arlington,-,4,812,218,1062,1814.8404757105423
Arlington,-,5,786,271,1085,1854.144930457569
Arlington,-,6,907,289,1228,2098.516105623866
Arlington,-,7,798,250,1072,1831.929369078815
Arlington,-,8,1031,218,1276,2180.5427937915742
