City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,pop by share of vote
Abington,-,1,1028,885,1969,3551.592565147586
Abington,-,2,861,782,1704,3073.5976287513895
Abington,-,3,954,918,1913,3450.582314437446
Abington,-,4,1251,1180,2511,4529.227491663579
Acton,-,1,1351,592,1994,3484.3157713794585
Acton,-,2,1260,593,1890,3302.5861624409113
Acton,-,3,1424,666,2130,3721.9621830683286
Acton,-,4,1342,527,1918,3351.513364847443
Acton,-,5,1358,484,1885,3293.849162011173
Acton,-,6,1159,615,1818,3176.773356252686
Acushnet,-,1,1002,530,1608,2921.310209190059
Acushnet,-,2,1094,781,1966,3571.7014124798857
Acushnet,-,3,1136,799,2019,3667.9883783300556
Adams,-,1,561,159,743,1596.7521346669919
Adams,-,2,645,181,859,1846.043181263723
Adams,-,3,564,201,803,1725.6957794584046
Adams,-,4,590,142,751,1613.9446206391804
Adams,-,5,706,210,943,2026.5642839717004
Agawam,-,1,784,662,1510,2928.838042729152
Agawam,-,2,993,937,1994,3867.617918676775
Agawam,-,3,983,714,1765,3423.443142660234
Agawam,-,4,891,729,1686,3270.212543073742
Agawam,-,5,1029,867,1949,3780.33466574776
Agawam,-,6,932,875,1874,3634.8625775327364
Agawam,-,7,927,809,1788,3468.054583046175
Agawam,-,8,1056,835,1944,3770.636526533425
Alford,-,1,261,57,323,399.0
Amesbury,-,1,982,705,1727,3314.5665616614165
Amesbury,-,2,817,510,1371,2631.3090654532725
Amesbury,-,3,942,512,1492,2863.5398436588493
Amesbury,-,4,632,436,1099,2109.269630148174
Amesbury,-,5,902,676,1621,3111.1247229028118
Amesbury,-,6,836,383,1261,2420.1901761754757
Amherst,-,1,796,90,930,2506.981525856072
Amherst,-,2,1023,136,1191,3210.553760531808
Amherst,-,3,828,106,970,2614.8086882584835
Amherst,-,3A,0,0,0,0.0
Amherst,-,4,973,117,1113,3000.290793847105
Amherst,-,4A,0,0,0,0.0
Amherst,-,5,956,108,1098,2959.855607946201
Amherst,-,6,1481,171,1703,4590.741439282677
Amherst,-,7,1252,159,1454,3919.5173533276648
Amherst,-,8,1659,215,1926,5191.877869676123
Amherst,-,9,1391,126,1599,4310.3908170364075
Amherst,-,9A,0,0,0,0.0
Amherst,-,10,839,79,953,2568.9821442374587
Amherst,-,10A,0,0,0,0.0
Andover,-,1,1242,711,1986,3382.934038377671
Andover,-,2,1075,848,1965,3347.1628325337983
Andover,-,3,1280,824,2145,3653.7731683384213
Andover,-,4,1020,828,1881,3204.078009158308
Andover,-,5,1075,904,2024,3447.662887047536
Andover,-,6,1041,944,2022,3444.2561055385954
Andover,-,7,1107,911,2071,3527.722252507632
Andover,-,8,1190,947,2175,3704.8748909725255
Andover,-,9,1147,881,2075,3534.5358155255126
Aquinnah,-,1,280,26,313,344.0
Arlington,-,1,622,186,832,1383.6961707470182
Arlington,-,2,860,318,1214,2018.9989799121154
Arlington,-,3,927,214,1177,1957.4644146264911
Arlington,-,4,867,209,1113,1851.026247645951
Arlington,-,5,807,317,1162,1932.5179692404267
Arlington,-,6,955,248,1249,2077.2073524795983
