City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Abington,-,1,844,705,1571,3010.0005993048067
Abington,-,2,742,741,1520,2912.285748531703
Abington,-,3,815,801,1648,3157.5308641975307
Abington,-,4,899,904,1830,3506.23876303488
Abington,-,5,844,910,1774,3398.9440249310796
Acton,-,1,1228,583,1845,3364.6464814506735
Acton,-,2,1216,722,1978,3607.1928131758445
Acton,-,3,1378,699,2143,3908.0961570454165
Acton,-,4,1462,636,2149,3919.038096822492
Acton,-,5,1454,565,2071,3776.7928797205122
Acton,-,6,1134,670,1836,3348.2335717850606
Acushnet,-,1,1034,574,1669,3185.5700259355317
Acushnet,-,2,959,803,1821,3475.687847350871
Acushnet,-,3,1053,819,1908,3641.742126713598
Adams,-,1,525,164,708,1528.206563215467
Adams,-,2,607,172,801,1728.945560925973
Adams,-,3,582,169,768,1657.7155939964387
Adams,-,4,590,129,740,1597.2780462986516
Adams,-,5,709,185,914,1972.85423556347
Agawam,-,1,850,665,1546,3044.0454199266082
Agawam,-,2,952,1042,2034,4004.908398532161
Agawam,-,3,890,821,1746,3437.841722633802
Agawam,-,4,856,751,1640,3229.129682198989
Agawam,-,5,1027,941,2008,3953.714879180226
Agawam,-,6,820,868,1730,3406.3380184172265
Agawam,-,7,900,869,1802,3548.104687391816
Agawam,-,8,993,913,1937,3813.9171917191716
Alford,-,1,233,64,306,494.0
Amesbury,-,1,863,718,1608,3072.047870468145
Amesbury,-,2,889,519,1438,2747.2666901325824
Amesbury,-,3,890,609,1554,2968.882083773319
Amesbury,-,4,734,455,1263,2412.933122140091
Amesbury,-,5,711,677,1408,2689.9523641910127
Amesbury,-,6,776,449,1252,2391.9178692948494
Amherst,-,1,958,149,1199,2921.712693298969
Amherst,-,2,1512,212,1817,4427.649677835052
Amherst,-,3,1054,177,1310,3192.196520618557
Amherst,-,4,1043,275,1367,3331.093621134021
Amherst,-,5,1240,131,1419,3457.806765463917
Amherst,-,6,1475,211,1765,4300.936533505154
Amherst,-,7,1376,159,1600,3898.865979381443
Amherst,-,8,1797,231,2129,5187.928543814433
Amherst,-,9,1409,167,1706,4157.165850515464
Amherst,-,10,934,199,1208,2943.6438144329895
Andover,-,1,945,704,1678,2958.644609665427
Andover,-,2,1087,1090,2212,3900.191821561338
Andover,-,3,1172,957,2171,3827.9007434944238
Andover,-,4,1020,1010,2064,3639.238661710037
Andover,-,5,1045,1048,2138,3769.7152416356876
Andover,-,6,988,1126,2141,3775.0048327137547
Andover,-,7,782,873,1689,2978.0397769516726
Andover,-,7A,252,213,477,841.0449814126395
Andover,-,8,1072,1044,2155,3799.689591078067
Andover,-,9,1035,1024,2094,3692.134572490706
Andover,-,9A,3,7,11,19.395167286245353
Aquinnah,-,1,252,38,299,311.0
Arlington,-,1,731,189,959,1565.055269873919
Arlington,-,2,941,340,1313,2142.7711880546985
Arlington,-,3,990,222,1261,2057.9089627852054
Arlington,-,4,948,237,1227,2002.4221231859215
Arlington,-,5,857,306,1194,1948.5672494572048
Arlington,-,6,921,230,1188,1938.7754542338018
Arlington,-,7,864,268,1175,1917.5598979164286
Arlington,-,8,1100,237,1375,2243.953072029863
Arlington,-,9,871,328,1229,2005.686054927056
Arlington,-,10,1033,275,1350,2203.153925265684
Arlington,-,11,875,419,1319,2152.5629832781015
Arlington,-,12,1001,382,1418,2314.127604464252
Arlington,-,13,737,586,1347,2198.2580276539825
Arlington,-,14,879,291,1204,1964.8869081628766
Arlington,-,15,842,380,1249,2038.3253723383993
Arlington,-,16,878,315,1216,1984.4704986096826
Arlington,-,17,789,224,1046,1707.0363006132634
Arlington,-,18,805,505,1340,2186.834266560012
Arlington,-,19,969,371,1370,2235.793242677027
Arlington,-,20,928,308,1266,2066.0687921380413
Arlington,-,21,891,281,1207,1969.7828057745783
Ashburnham,-,1,1632,1535,3254,6081.0
Ashby,-,1,827,961,1843,3074.0
Ashfield,-,1,892,187,1130,1737.0
Ashland,-,1,952,668,1661,3214.107638483965
Ashland,-,2,948,769,1747,3380.52139941691
Ashland,-,3,978,697,1711,3310.8598250728865
Ashland,-,4,1130,623,1795,3473.403498542274
Ashland,-,5,971,652,1661,3214.107638483965
Athol,-,1,878,810,1738,4220.753039832285
Athol,-,2,758,671,1476,3584.4830188679243
Athol,-,3,907,598,1556,3778.7639412997905
Attleboro,1,A,837,687,1568,3518.133923516393
Attleboro,1,B,859,754,1650,3702.117967986
Attleboro,2,A,958,813,1801,4040.9178547532038
Attleboro,2,B,911,833,1807,4054.3801019095167
Attleboro,3,A,931,659,1624,3643.781563641978
Attleboro,3,B,939,788,1772,3975.850326831026
Attleboro,4,A,796,496,1322,2966.181790107571
Attleboro,4,B,1009,994,2034,4563.701785990015
Attleboro,5,A,633,296,970,2176.396623603891
Attleboro,5,B,908,725,1664,3733.529878017397
Attleboro,6,A,843,658,1531,3435.116732719131
Attleboro,6,B,878,767,1686,3782.8914509238766
Auburn,-,1,910,873,1835,3348.1717763751126
Auburn,-,2,939,806,1791,3267.8886384129846
Auburn,-,3,964,905,1910,3485.018034265104
Auburn,-,4,910,740,1706,3112.796212804328
Auburn,-,5,797,797,1630,2974.125338142471
Avon,-,1,1222,1131,2413,4356.0
Ayer,-,1,1020,777,1838,3721.599236641221
Ayer,-,2,1005,781,1830,3705.400763358779
Barnstable,-,1,1248,1233,2524,4432.545737157068
Barnstable,-,2,1017,1033,2078,3649.2987487370797
Barnstable,-,3,974,649,1657,2909.955739488614
Barnstable,-,4,969,1001,2008,3526.367607056812
Barnstable,-,5,988,1356,2370,4162.09722546048
Barnstable,-,6,1042,1053,2127,3735.350547913267
Barnstable,-,7,1120,1156,2318,4070.7769487837104
Barnstable,-,8,844,544,1423,2499.014494443149
Barnstable,-,9,658,299,978,1717.523665190021
Barnstable,-,10,916,992,1939,3405.1926245434056
Barnstable,-,11,1156,1240,2432,4270.97909380586
Barnstable,-,12,1060,1118,2210,3881.1117587627264
Barnstable,-,13,955,681,1670,2932.7858086578067
Barre,-,1,708,662,1417,2824.5812407680946
Barre,-,2,637,617,1291,2573.4187592319054
Becket,-,1,686,259,975,1779.0
Bedford,-,1,1281,778,2108,3637.5903614457834
Bedford,-,2,1005,770,1822,3144.065293431792
Bedford,-,3,1201,757,2003,3456.401088223863
Bedford,-,4,982,756,1786,3081.943256898562
Belchertown,-,A,1119,649,1828,3475.453861129137
Belchertown,-,B,1009,800,1852,3521.083452303699
Belchertown,-,C,1133,902,2073,3941.25593770279
Belchertown,-,D,1339,563,1952,3711.2067488643743
Bellingham,-,1,802,803,1637,3114.571761416589
Bellingham,-,2,949,897,1876,3569.295433364399
Bellingham,-,3,857,752,1645,3129.792637465051
Bellingham,-,4,691,759,1488,2831.0829450139795
Bellingham,-,4A,79,94,178,338.66449207828515
Bellingham,-,5,885,828,1760,3348.592730661696
Belmont,-,1,1238,576,1846,3172.3234190410008
Belmont,-,2,1092,867,1984,3409.4743571924946
Belmont,-,3,1163,511,1714,2945.4833912439194
Belmont,-,4,1093,428,1556,2673.9627519110495
Belmont,-,5,1154,543,1745,2998.756428075052
Belmont,-,6,1269,524,1842,3165.4494788047255
Belmont,-,7,1212,507,1764,3031.4076441973593
Belmont,-,8,1092,796,1939,3332.142529534399
Berkley,-,1,853,885,1782,3422.529059316956
Berkley,-,2,720,804,1556,2988.470940683044
Berlin,-,1,921,830,1814,2866.0
Bernardston,-,1,809,329,1181,2129.0
Beverly,1,1,939,683,1659,3117.688772597526
Beverly,1,2,1090,764,1900,3570.5899143672696
Beverly,2,1,1001,452,1532,2879.023025689819
Beverly,2,2,1165,598,1809,3399.577450047574
Beverly,3,1,830,420,1287,2418.6048525214082
Beverly,3,2,1042,617,1701,3196.61760228354
Beverly,4,1,629,459,1121,2106.648049476689
Beverly,4,2,1347,728,2128,3999.060704091342
Beverly,5,1,1084,811,1924,3615.6921027592766
Beverly,5,2,985,806,1830,3439.04186489058
Beverly,6,1,1035,944,2027,3809.2556612749763
Beverly,6,2,1011,1046,2102,3950.2000000000003
Billerica,-,1,1093,836,1974,3923.722315519115
Billerica,-,2,982,919,1939,3854.152770917712
Billerica,-,3,910,882,1826,3629.5425269188972
Billerica,-,4,770,751,1557,3094.850884125259
Billerica,-,5,960,1071,2074,4122.492442951694
Billerica,-,6,757,790,1583,3146.53111725773
Billerica,-,7,903,807,1753,3484.4403338931147
Billerica,-,8,929,1104,2077,4128.455546774671
Billerica,-,9,854,934,1825,3627.554825644572
Billerica,-,10,921,983,1952,3879.9928874839475
Billerica,-,11,760,882,1686,3351.264348513286
Blackstone,-,1,764,593,1388,2883.998158379374
Blackstone,-,2,771,658,1457,3027.3669429097604
Blackstone,-,3,687,777,1499,3114.6348987108654
Blandford,-,1,300,348,667,1233.0
Bolton,-,1,1554,1463,3086,4897.0
Boston,1,1,645,188,863,2089.959736649139
Boston,1,2,464,139,621,1503.8991847730185
Boston,1,3,959,205,1194,2891.554954297881
Boston,1,4,286,90,388,939.6342732559278
Boston,1,5,484,183,691,1673.420832009913
Boston,1,6,414,138,573,1387.6557695248628
Boston,1,7,547,128,691,1673.420832009913
