City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote
Abington,-,1,818,717,1709,3065.346162477558
Abington,-,2,739,785,1671,2997.1875
Abington,-,3,773,808,1726,3095.8381956912026
Abington,-,4,877,878,1919,3442.012455116697
Abington,-,5,908,829,1887,3384.6156867145423
Acton,-,1,1459,438,2084,3523.5301920259117
Acton,-,2,1550,480,2228,3766.998688979718
Acton,-,3,1580,435,2235,3778.8339631371946
Acton,-,4,1675,414,2312,3909.0219788694376
Acton,-,5,1580,387,2167,3663.8627284645636
Acton,-,6,1354,401,1941,3281.752448523174
Acushnet,-,1,783,786,1702,3091.6265867418897
Acushnet,-,2,756,1043,1958,3556.642101551481
Acushnet,-,3,862,1005,2012,3654.731311706629
Adams,-,1,439,255,767,1595.0968137254902
Adams,-,2,476,270,829,1724.0355392156862
Adams,-,3,475,268,819,1703.2389705882354
Adams,-,4,446,233,740,1538.9460784313726
Adams,-,5,577,259,925,1923.6825980392157
Agawam,-,1,631,827,1605,3068.023795119984
Agawam,-,2,850,1069,2099,4012.325199973113
Agawam,-,3,770,921,1814,3467.5359279424615
Agawam,-,4,700,724,1564,2989.650601599785
Agawam,-,5,861,998,2050,3918.6596760099483
Agawam,-,6,783,882,1812,3463.71284533172
Agawam,-,7,750,991,1914,3658.690058479532
Agawam,-,8,863,1009,2019,3859.4018955434562
Alford,-,1,226,52,307,494.0
Amesbury,-,1,930,623,1740,3013.4460753031267
Amesbury,-,2,901,503,1576,2729.4201233780045
Amesbury,-,3,960,498,1622,2809.0859391618806
Amesbury,-,4,805,502,1457,2523.3281216762393
Amesbury,-,5,745,675,1595,2762.3255690278665
Amesbury,-,6,833,430,1412,2445.3941714528823
Amherst,-,1,955,101,1203,3019.796694544006
Amherst,-,2,1409,143,1731,4345.193747510952
Amherst,-,3,908,125,1154,2896.7958316739678
Amherst,-,4,910,162,1186,2977.1229257931764
Amherst,-,5,1023,95,1207,3029.8375813089074
Amherst,-,6,1464,134,1758,4412.969733174034
Amherst,-,7,1440,131,1717,4310.050643833798
Amherst,-,8,1644,124,1932,4849.748307447232
Amherst,-,9,1382,79,1645,4129.314682065578
Amherst,-,10,1222,154,1533,3848.1698526483474
Andover,-,1,1101,433,1697,2878.709227467811
Andover,-,2,1312,865,2376,4030.532188841202
Andover,-,3,1431,651,2292,3888.038626609442
Andover,-,4,1162,818,2190,3715.010729613734
Andover,-,5,1257,758,2219,3764.204935622318
Andover,-,6,1207,842,2254,3823.5772532188844
Andover,-,7,980,548,1682,2853.263948497854
Andover,-,7A,256,163,470,797.2854077253219
Andover,-,8,1278,685,2176,3691.2618025751076
Andover,-,9,1232,752,2200,3731.9742489270384
Andover,-,9A,6,7,16,27.141630901287556
Aquinnah,-,1,232,34,287,311.0
Arlington,-,1,802,173,1048,1646.456382237542
Arlington,-,2,1028,232,1370,2152.333247772359
Arlington,-,3,1049,169,1323,2078.4940779582707
Arlington,-,4,1022,195,1320,2073.780939459499
Arlington,-,5,932,233,1259,1977.94712331781
Arlington,-,6,946,178,1206,1894.6816765061787
Arlington,-,7,938,173,1203,1889.968538007407
Arlington,-,8,1169,153,1424,2237.1697407502475
Arlington,-,9,813,205,1108,1740.7191522129735
Arlington,-,10,1129,192,1424,2237.1697407502475
Arlington,-,11,1007,306,1408,2212.0330020901324
Arlington,-,12,1122,229,1455,2285.8721719042205
Arlington,-,13,846,375,1326,2083.2072164570423
Arlington,-,14,930,201,1217,1911.9631843350078
Arlington,-,15,1000,271,1394,2190.038355762532
Arlington,-,16,924,199,1213,1905.678999669979
Arlington,-,17,908,193,1221,1918.2473690000368
Arlington,-,18,958,323,1404,2205.7488174251034
Arlington,-,19,1003,268,1356,2130.3386014447583
Arlington,-,20,1014,225,1315,2065.925708628213
Arlington,-,21,999,159,1277,2006.2259543104399
Ashburnham,-,1,1439,1522,3399,6081.0
Ashby,-,1,722,974,1933,3074.0
Ashfield,-,1,836,184,1155,1737.0
Ashland,-,1,1121,536,1847,3286.218207162771
Ashland,-,2,1166,588,1941,3453.4648295089
Ashland,-,3,1139,565,1870,3327.1402530559726
Ashland,-,4,1147,576,1877,3339.5947887625994
Ashland,-,5,1111,503,1791,3186.5819215097576
Athol,-,1,733,856,1837,4208.822784810127
Athol,-,2,608,781,1625,3723.101265822785
Athol,-,3,735,698,1594,3652.075949367089
Attleboro,1,A,761,761,1638,3419.631914180355
Attleboro,1,B,779,758,1666,3478.0871605766006
Attleboro,2,A,894,774,1854,3870.572386379962
Attleboro,2,B,949,861,1988,4150.322494133423
Attleboro,3,A,933,650,1759,3672.2420861069872
Attleboro,3,B,949,694,1768,3691.0312724486375
Attleboro,4,A,815,485,1402,2926.937694554859
Attleboro,4,B,1072,1021,2283,4766.190268665294
Attleboro,5,A,689,349,1150,2400.84047698865
Attleboro,5,B,912,682,1775,3705.6450840476987
Attleboro,6,A,818,762,1734,3620.0499018246255
Attleboro,6,B,947,774,1864,3891.449260092907
Auburn,-,1,934,841,1979,3388.2656795346375
Auburn,-,2,959,822,1950,3338.614489687996
Auburn,-,3,968,839,1987,3401.9625594923323
Auburn,-,4,830,746,1809,3097.206980433633
Auburn,-,5,805,752,1730,2961.9502908514014
Avon,-,1,1254,1068,2512,4356.0
Ayer,-,1,1078,729,2065,3672.5945881226053
Ayer,-,2,1084,769,2111,3754.4054118773947
Barnstable,-,1,1278,1015,2491,4267.466376042456
Barnstable,-,2,1022,946,2142,3669.5756633813494
Barnstable,-,3,912,643,1683,2883.2380212282033
Barnstable,-,4,994,879,2037,3489.694503411675
Barnstable,-,5,1049,1115,2327,3986.5091357088704
Barnstable,-,6,1033,1006,2246,3847.74366944655
Barnstable,-,7,1252,994,2447,4192.08760424564
Barnstable,-,8,875,575,1598,2737.619939347991
Barnstable,-,9,620,341,1051,1800.524753601213
Barnstable,-,10,928,929,2036,3487.9813495072026
Barnstable,-,11,1124,1101,2424,4152.6850644427595
Barnstable,-,12,1050,1032,2272,3892.2856709628504
Barnstable,-,13,868,619,1626,2785.5882486732376
Barre,-,1,639,712,1521,2796.4434604904627
Barre,-,2,562,717,1415,2601.556539509537
Becket,-,1,571,368,1047,1779.0
Bedford,-,1,1419,548,2181,3601.6513761467886
Bedford,-,2,1165,648,1985,3277.981651376147
Bedford,-,3,1379,512,2070,3418.3486238532114
Bedford,-,4,1122,503,1830,3022.0183486238534
Belchertown,-,A,1103,698,2001,3482.139344262295
Belchertown,-,B,977,894,2104,3661.3799002138276
Belchertown,-,C,1048,955,2217,3858.0224518888094
Belchertown,-,D,1280,606,2096,3647.4583036350678
Bellingham,-,1,797,786,1766,3211.1235804943217
Bellingham,-,2,846,834,1889,3434.7748830995324
Bellingham,-,3,895,791,1849,3362.042752171009
Bellingham,-,4,687,711,1561,2838.371409485638
Bellingham,-,4A,104,92,213,387.29859719438883
Bellingham,-,5,704,845,1704,3098.3887775551107
Belmont,-,1,1326,339,1841,3098.9101490708595
Belmont,-,2,1248,501,1946,3275.6540739228103
Belmont,-,3,1317,366,1822,3066.9279150500306
Belmont,-,4,1132,322,1603,2698.290586073106
Belmont,-,5,1275,350,1791,3014.7463753318357
Belmont,-,6,1366,339,1849,3112.3763528691034
Belmont,-,7,1339,345,1868,3144.3585868899327
Belmont,-,8,1249,544,1971,3317.7359607923217
Berkley,-,1,793,1003,1965,3424.1954335417236
Berkley,-,2,662,923,1714,2986.8045664582764
Berlin,-,1,1009,745,1966,2866.0
Bernardston,-,1,711,382,1244,2129.0
Beverly,1,1,941,640,1757,3096.6409672957657
Beverly,1,2,1072,705,1991,3509.0564404586626
Beverly,2,1,1111,435,1747,3079.0163744255565
Beverly,2,2,1336,484,2024,3567.2175969303526
Beverly,3,1,916,396,1497,2638.401552670325
Beverly,3,2,1005,607,1810,3190.051309507875
Beverly,4,1,741,332,1172,2065.6022843885244
Beverly,4,2,1489,557,2242,3951.4337215009145
Beverly,5,1,1117,676,1987,3502.0066033105786
Beverly,5,2,1073,661,1933,3406.8338018114487
Beverly,6,1,1250,581,2070,3648.2907241333155
Beverly,6,2,1134,830,2183,3847.44862356668
Billerica,-,1,1087,834,2125,3824.8669380087667
Billerica,-,2,999,930,2143,3857.2658108954292
Billerica,-,3,957,929,2055,3698.8713212273015
Billerica,-,4,804,803,1751,3151.690356919223
Billerica,-,5,953,1093,2232,4017.4602379461494
Billerica,-,6,795,820,1791,3223.687852222918
Billerica,-,7,979,876,2022,3639.473387601753
Billerica,-,8,955,1065,2212,3981.4614902943017
Billerica,-,9,860,996,2018,3632.273638071384
Billerica,-,10,859,1061,2083,3749.2695679398876
Billerica,-,11,852,912,1926,3466.679398872887
Blackstone,-,1,578,734,1471,2871.9978369024443
Blackstone,-,2,670,776,1592,3108.2396712091713
Blackstone,-,3,602,817,1560,3045.7624918883844
Blandford,-,1,256,405,717,1233.0
Bolton,-,1,1891,1036,3345,4897.0
Boston,1,1,755,189,1016,2262.2653966239554
Boston,1,2,562,142,755,1681.1125732786284
Boston,1,3,1276,251,1636,3642.781681965346
Boston,1,4,366,88,492,1095.5064715934902
Boston,1,5,652,153,867,1930.4961603080408
Boston,1,6,556,138,746,1661.072820749479
Boston,1,7,604,143,806,1794.671170943807
Boston,1,8,859,187,1123,2500.515787803841
Boston,1,9,551,146,761,1694.472408298061
Boston,1,10,364,105,496,1104.413028273112
Boston,1,11,644,345,1058,2355.784241759985
Boston,1,12,582,364,1021,2273.3985924734825
Boston,1,13,927,361,1367,3043.8157452607743
Boston,1,14,425,219,678,1509.6613571959072
Boston,1,15,1,0,1,2.226639169905468
Boston,2,1,1164,384,1709,3805.3263413684444
Boston,2,2,1530,378,2067,4602.4631641946025
Boston,2,3,876,211,1200,2671.9670038865615
Boston,2,4,821,187,1118,2489.382591954313
Boston,2,5,875,280,1276,2841.191580799377
Boston,2,6,1028,381,1559,3471.330465882624
Boston,2,7,779,290,1176,2618.52766380883
Boston,3,1,1165,434,1758,3914.4316606938123
Boston,3,2,856,298,1263,2812.2452715906056
Boston,3,3,916,329,1371,3052.7223019403964
Boston,3,4,931,361,1422,3166.280899605575
Boston,3,5,1684,386,2229,4963.178709719287
Boston,3,6,2121,536,2904,6466.160149405479
Boston,3,7,2451,223,2836,6314.748685851907
