City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,pop by share of vote
Abington,-,1,1035,287,1435,3570.995910717328
Abington,-,2,973,236,1336,3324.63452036122
Abington,-,3,1078,299,1508,3752.656329868802
Abington,-,4,1170,274,1590,3956.71323905265
Acton,-,1,918,231,1272,2889.823667448877
Acton,-,2,1084,261,1490,3385.092189071405
Acton,-,3,1238,302,1748,3971.235668789809
Acton,-,4,1124,241,1517,3446.4327857861217
Acton,-,5,1122,222,1495,3396.4515588333893
Acton,-,6,1047,226,1427,3241.964130070399
Acushnet,-,1,958,129,1153,3120.0087882822904
Acushnet,-,2,1069,166,1330,3598.969374167776
Acushnet,-,3,1055,135,1272,3442.0218375499335
Adams,-,1,372,55,457,1501.5714285714284
Adams,-,2,450,55,530,1741.4285714285713
Adams,-,3,469,64,570,1872.857142857143
Adams,-,4,421,50,505,1659.2857142857142
Adams,-,5,519,55,619,2033.8571428571427
Agawam,-,1,742,198,1033,2967.8187015108206
Agawam,-,2,919,250,1325,3806.7374438546344
Agawam,-,3,867,202,1203,3456.230298080849
Agawam,-,4,820,219,1186,3407.3891384238464
Agawam,-,5,1000,254,1430,4108.403429971417
Agawam,-,6,825,237,1201,3450.4842792976724
Agawam,-,7,792,254,1157,3324.0718660677826
Agawam,-,8,858,252,1261,3622.864842792977
Alford,-,1,157,28,218,399.0
Amesbury,-,1,758,202,1062,3106.8646629912855
Amesbury,-,2,672,159,942,2755.806508980971
Amesbury,-,3,732,161,984,2878.676862884581
Amesbury,-,4,557,123,739,2161.9331317801884
Amesbury,-,5,739,225,1070,3130.268539925307
Amesbury,-,6,607,143,826,2416.4502934376665
Amherst,-,1,390,56,629,2720.543966265658
Amherst,-,2,794,87,1059,4580.375294555377
Amherst,-,3,256,33,359,1552.742899665137
Amherst,-,4,568,47,822,3555.3054694282523
Amherst,-,5,450,49,661,2858.9500186034975
Amherst,-,6,855,92,1165,5038.84534292447
Amherst,-,7,442,72,708,3062.2339079746994
Amherst,-,8,1286,174,1803,7798.316011410145
Amherst,-,9,515,64,784,3390.948282277068
Amherst,-,10,61,8,73,315.73880689569637
Andover,-,1,1030,290,1508,3429.937108749454
Andover,-,2,960,294,1435,3263.89903916145
