City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,pop by share of vote
Abington,-,1,894,518,1459,3583.0998822935935
Abington,-,2,775,466,1291,3170.515385908862
Abington,-,3,869,543,1450,3560.99714141584
Abington,-,4,1100,598,1747,4290.387590381705
Acton,-,1,850,372,1266,2954.775111927448
Acton,-,2,901,393,1437,3353.879807140397
Acton,-,3,1154,480,1696,3958.3717139249225
Acton,-,4,1043,404,1500,3500.9183790609577
Acton,-,5,1031,377,1466,3421.5642291355757
Acton,-,6,877,404,1346,3141.490758810699
Acushnet,-,1,924,238,1199,3045.75975
Acushnet,-,2,1006,370,1419,3604.61475
Acushnet,-,3,984,362,1382,3510.6254999999996
Adams,-,1,397,87,494,1561.9691313711414
Adams,-,2,472,90,579,1830.7290021536253
Adams,-,3,449,106,571,1805.4339554917444
Adams,-,4,403,77,491,1552.483488872936
Adams,-,5,533,95,651,2058.384422110553
Agawam,-,1,704,362,1109,2956.773020083365
Agawam,-,2,885,553,1504,4009.9067828723
Agawam,-,3,849,441,1342,3577.988632057598
Agawam,-,4,773,421,1246,3322.0371352785146
Agawam,-,5,877,515,1454,3876.5987116331944
Agawam,-,6,737,504,1296,3455.34520651762
Agawam,-,7,730,485,1266,3375.3603637741567
Agawam,-,8,774,527,1339,3569.9901477832514
Alford,-,1,183,48,256,399.0
Amesbury,-,1,721,456,1221,3348.1330221703615
Amesbury,-,2,614,287,927,2541.948658109685
Amesbury,-,3,700,315,1042,2857.2928821470246
Amesbury,-,4,480,265,761,2086.756126021003
Amesbury,-,5,701,448,1182,3241.1901983663943
Amesbury,-,6,600,249,866,2374.6791131855307
Amherst,-,1,461,51,521,2208.23456490034
Amherst,-,2,830,94,955,4047.723626640739
Amherst,-,3,345,48,406,1720.8123480797276
Amherst,-,3A,88,13,104,440.79922216820614
Amherst,-,4,323,34,366,1551.2741857073406
Amherst,-,4A,94,5,103,436.56076810889647
Amherst,-,5,631,67,720,3051.6869227029656
Amherst,-,6,1042,140,1206,5111.575595527468
Amherst,-,7,822,121,967,4098.585075352455
Amherst,-,8,1264,184,1489,6311.058094312105
Amherst,-,9,844,72,937,3971.431453573165
Amherst,-,9A,0,0,0,0.0
Amherst,-,10,323,27,358,1517.3665532328635
Amherst,-,10A,84,8,96,406.89158969372875
Andover,-,1,933,510,1493,3459.530663700408
Andover,-,2,802,543,1395,3232.448275862069
Andover,-,3,952,559,1563,3621.732369299222
Andover,-,4,742,518,1320,3058.660734149055
Andover,-,5,851,588,1478,3424.773155357805
Andover,-,6,815,628,1504,3485.01950315165
Andover,-,7,897,588,1542,3573.0718576195773
Andover,-,8,959,675,1679,3890.5237671486834
Andover,-,9,884,584,1511,3501.2396737115314
Aquinnah,-,1,197,15,214,344.0
Arlington,-,1,491,114,626,1312.9243481272574
Arlington,-,2,693,227,949,1990.3597545890852
Arlington,-,3,709,140,880,1845.644451041512
Arlington,-,4,680,131,833,1747.0702587699766
Arlington,-,5,668,168,857,1797.4060165256544
Arlington,-,6,728,183,937,1965.1918757112464
Arlington,-,7,637,175,841,1763.8488446885358
Arlington,-,8,893,175,1089,2283.985008163871
Arlington,-,9,756,221,1011,2120.3937954579187
Arlington,-,10,855,221,1105,2317.5421800009894
Arlington,-,11,780,233,1040,2181.216169412696
Arlington,-,12,939,249,1227,2573.415615259017
Arlington,-,13,690,339,1067,2237.843896887833
Arlington,-,14,719,185,940,1971.4838454307062
Arlington,-,15,813,230,1089,2283.985008163871
Arlington,-,16,820,240,1100,2307.05556380189
Arlington,-,17,466,141,619,1298.243085448518
Arlington,-,18,714,296,1043,2187.5081391321555
Arlington,-,19,818,217,1066,2235.7465736480135
Arlington,-,20,745,177,953,1998.7490475483648
Arlington,-,21,731,179,939,1969.3865221908861
Ashburnham,-,1,1408,907,2376,5546.0
Ashby,-,1,716,587,1346,2845.0
Ashfield,-,1,711,154,886,1800.0
Ashland,-,1,1035,504,1580,3813.309210526316
Ashland,-,2,1059,554,1651,3984.6667763157893
Ashland,-,3,911,429,1383,3337.852302631579
Ashland,-,4,1001,422,1466,3538.1717105263156
Athol,-,1,785,432,1257,4342.049220421889
Athol,-,2,599,393,1013,3499.2011617242433
Athol,-,3,646,331,1001,3457.749617853867
Attleboro,1,A,681,361,1062,3433.462649861666
Attleboro,1,B,681,356,1062,3433.462649861666
Attleboro,2,A,725,464,1223,3953.978173993237
Attleboro,2,B,812,497,1332,4306.376882877344
Attleboro,3,A,643,377,1041,3365.5693206271135
Attleboro,3,B,834,480,1352,4371.037196434061
Attleboro,4,A,470,255,747,2415.062711343375
Attleboro,4,B,801,554,1395,4510.056870581002
Attleboro,5,A,403,184,597,1930.1103596679989
Attleboro,5,B,679,383,1090,3523.9870888410696
Attleboro,6,A,630,357,1012,3271.811865969874
Attleboro,6,B,660,417,1099,3553.084229941592
Auburn,-,1,808,473,1334,3266.3895903911302
Auburn,-,2,808,422,1277,3126.821219587311
Auburn,-,3,891,436,1372,3359.4351709270095
Auburn,-,4,817,398,1250,3060.7098860486603
Auburn,-,5,799,412,1261,3087.6441330458883
Avon,-,1,1187,590,1847,4443.0
Ayer,-,1,820,449,1306,3973.620876826722
Ayer,-,2,673,392,1089,3313.3791231732775
Barnstable,-,1,1139,850,2030,4872.8355586788475
Barnstable,-,2,1040,628,1709,4102.3034333902215
Barnstable,-,3,795,444,1256,3014.916976207208
Barnstable,-,4,958,660,1646,3951.0775022588095
Barnstable,-,5,935,815,1796,4311.139243047886
Barnstable,-,6,957,640,1630,3912.670916574641
Barnstable,-,7,1141,779,1964,4714.408392731653
Barnstable,-,8,623,345,990,2376.4074892079107
Barnstable,-,9,520,175,704,1689.8897701034034
Barnstable,-,10,931,631,1596,3831.056921995784
Barnstable,-,11,1077,825,1939,4654.39810260014
Barnstable,-,12,912,563,1497,3593.4161730749925
Barnstable,-,13,767,378,1165,2796.479520128501
Barre,-,1,679,373,1082,2766.1330000000003
Barre,-,2,552,338,918,2346.867
Becket,-,1,418,155,588,1755.0
Bedford,-,1,1044,480,1561,3443.2215411558673
Bedford,-,2,728,348,1118,2466.0612959719792
Bedford,-,3,1069,509,1631,3597.626094570928
Bedford,-,4,878,485,1400,3088.0910683012257
Belchertown,-,A,812,344,1184,3010.0199960792
Belchertown,-,B,818,427,1263,3210.857478925701
Belchertown,-,C,889,527,1448,3681.173103313076
Belchertown,-,D,879,302,1206,3065.949421682023
Bellingham,-,1,741,435,1209,3125.3588791357192
Bellingham,-,2,723,405,1166,3014.200540175557
Bellingham,-,3,778,436,1243,3213.251519243754
Bellingham,-,4,745,482,1256,3246.857528696826
Bellingham,-,5,670,353,1050,2714.331532748143
Belmont,-,1,1014,400,1463,3206.4337349397592
Belmont,-,2,988,493,1527,3346.70151281819
Belmont,-,3,838,276,1137,2491.944741371501
Belmont,-,4,859,309,1195,2619.062415073829
Belmont,-,5,914,370,1316,2884.2561826252377
Belmont,-,6,1121,329,1502,3291.9094120844275
Belmont,-,7,944,319,1296,2840.422502038228
Belmont,-,8,960,590,1603,3513.2694990488267
Berkley,-,1,1290,820,2168,5749.0
Berlin,-,1,740,499,1276,2380.0
Bernardston,-,1,625,277,917,2155.0
Beverly,1,1,730,401,1158,2956.33380299731
Beverly,1,2,955,427,1437,3668.611118227232
Beverly,2,1,670,248,957,2443.187780197259
Beverly,2,2,780,322,1136,2900.1685666709363
Beverly,3,1,529,225,780,1991.3129242987063
Beverly,3,2,750,325,1111,2836.3444344818754
Beverly,4,1,889,380,1317,3362.2552837197386
Beverly,4,2,1084,453,1579,4031.1321890610993
Beverly,5,1,909,475,1432,3655.84629178942
Beverly,5,2,902,481,1439,3673.7170488023567
Beverly,6,1,978,579,1605,4097.509286537723
Beverly,6,2,992,622,1663,4245.581273216344
Billerica,-,1,768,442,1245,3544.7626177781026
Billerica,-,2,775,464,1273,3624.4841866919874
Billerica,-,3,776,461,1261,3590.317800014608
Billerica,-,4,727,487,1260,3587.4706011248268
Billerica,-,5,823,591,1453,4136.979986852677
Billerica,-,6,598,420,1047,2981.017237601344
Billerica,-,7,682,464,1174,3342.611496603608
Billerica,-,8,744,526,1309,3726.9833467241256
Billerica,-,9,703,434,1169,3328.3755021547
Billerica,-,10,812,490,1338,3809.552114527792
Billerica,-,11,692,442,1162,3308.4451099262287
Blackstone,-,1,600,271,901,2660.095238095238
Blackstone,-,2,615,348,989,2919.904761904762
Blackstone,-,3,625,437,1092,3224.0
Blandford,-,1,259,217,490,1214.0
Bolton,-,1,1241,883,2194,4159.0
Boston,1,1,360,89,494,1851.7359852342158
Boston,1,2,243,53,320,1199.5050916496944
Boston,1,3,503,88,641,2402.7586367107942
Boston,1,4,157,59,226,847.1504709775968
Boston,1,5,249,68,344,1289.4679735234217
Boston,1,6,226,52,305,1143.2782904786152
Boston,1,7,293,66,383,1435.6576565682283
Boston,1,8,340,84,464,1739.282382892057
Boston,1,9,253,54,345,1293.216426934827
Boston,1,10,175,40,225,843.4020175661914
Boston,1,11,443,133,645,2417.7524503564155
Boston,1,12,449,168,677,2537.702959521385
Boston,1,13,527,184,774,2901.3029404276986
Boston,1,14,280,98,418,1566.8535259674136
Boston,1,15,4,0,4,14.993813645621183
Boston,2,1,685,228,971,3639.7482624745417
Boston,2,2,633,179,855,3204.9276667515273
Boston,2,3,555,213,808,3028.7503564154786
Boston,2,4,418,122,576,2159.1091649694504
Boston,2,5,535,187,763,2860.0699529022404
Boston,2,6,671,232,962,3606.012181771894
Boston,2,7,438,140,619,2320.292661659878
Boston,3,1,1208,377,1673,6271.16255728106
Boston,3,2,456,142,637,2387.764823065173
Boston,3,3,445,123,600,2249.0720468431773
Boston,3,4,487,181,723,2710.1318164460286
Boston,3,5,935,261,1234,4625.591509674135
Boston,3,6,884,343,1270,4760.535832484725
Boston,3,7,1298,165,1504,5637.673930753564
Boston,3,8,884,199,1235,4629.339963085539
Boston,4,1,849,130,1013,3797.183305753564
Boston,4,2,856,188,1092,4093.3111252545827
Boston,4,3,534,81,633,2372.771009419552
Boston,4,4,833,84,951,3564.779194246436
Boston,4,5,500,99,624,2339.0349287169042
Boston,4,6,395,92,505,1892.968972759674
Boston,4,7,494,68,580,2174.102978615071
Boston,4,8,357,52,428,1604.3380600814664
Boston,4,9,184,14,215,805.9174834521385
Boston,4,10,149,21,174,652.2308935845214
Boston,5,1,1275,231,1638,6139.966687881874
Boston,5,2,669,103,797,2987.5173688900204
Boston,5,3,615,215,857,3212.424573574338
Boston,5,4,661,187,870,3261.154467922607
Boston,5,5,246,83,344,1289.4679735234217
Boston,5,6,558,195,776,2908.799847250509
Boston,5,7,727,251,1014,3800.9317591649697
Boston,5,8,630,222,891,3339.871989562118
Boston,5,9,798,241,1061,3977.109069501018
Boston,5,10,496,128,646,2421.500903767821
Boston,5,11,450,136,604,2264.065860488798
Boston,6,1,652,152,857,3212.424573574338
Boston,6,2,317,95,448,1679.3071283095724
Boston,6,3,411,131,572,2144.115351323829
Boston,6,4,417,158,615,2305.2988480142562
Boston,6,5,390,163,603,2260.317407077393
Boston,6,6,456,178,710,2661.4019220977593
Boston,6,7,476,155,685,2567.6905868126273
Boston,6,8,461,199,733,2747.6163505600816
Boston,6,9,451,250,758,2841.327685845214
Boston,7,1,428,191,697,2612.672027749491
Boston,7,2,487,234,796,2983.768915478615
Boston,7,3,615,306,1017,3812.1771193991854
Boston,7,4,481,187,736,2758.8617107942973
Boston,7,5,306,100,454,1701.797848778004
Boston,7,6,336,106,484,1814.251451120163
Boston,7,7,311,36,375,1405.6700292769858
Boston,7,8,270,83,379,1420.663842922607
Boston,7,9,317,81,416,1559.3566191446027
Boston,7,10,364,18,455,1705.5463021894093
Boston,8,1,292,14,329,1233.2411723523421
Boston,8,2,650,59,724,2713.880269857434
Boston,8,3,376,9,400,1499.3813645621183
Boston,8,4,201,4,218,817.1628436863543
Boston,8,5,415,21,487,1825.496811354379
Boston,8,6,152,13,185,693.4638811099796
Boston,8,7,297,16,333,1248.2349859979631
Boston,9,1,650,44,745,2792.597791496945
Boston,9,2,761,116,899,3369.8596168533604
Boston,9,3,969,33,1045,3917.1338149185335
Boston,9,4,559,15,618,2316.5442082484724
Boston,9,5,745,13,819,3069.983343940937
Boston,10,1,299,38,357,1338.1978678716905
Boston,10,2,351,32,408,1529.3689918533605
Boston,10,3,288,43,359,1345.694774694501
Boston,10,4,614,42,697,2612.672027749491
Boston,10,5,409,57,479,1795.5091840631364
Boston,10,6,355,31,403,1510.626724796334
Boston,10,7,471,26,551,2065.397829684318
Boston,10,8,537,48,600,2249.0720468431773
Boston,10,9,737,79,836,3133.707051934827
Boston,11,1,359,7,383,1435.6576565682283
Boston,11,2,510,20,573,2147.863804735234
Boston,11,3,386,14,421,1578.0988862016293
Boston,11,4,636,37,714,2676.395735743381
Boston,11,5,527,25,604,2264.065860488798
Boston,11,6,456,41,518,1941.698867107943
Boston,11,7,665,33,728,2728.874083503055
Boston,11,8,656,61,741,2777.603977851324
Boston,11,9,468,54,534,2001.674121690428
Boston,11,10,592,55,661,2477.7277049389004
Boston,12,1,646,12,694,2601.426667515275
Boston,12,2,743,16,809,3032.498809826884
Boston,12,3,394,9,434,1626.8287805498983
Boston,12,4,360,14,407,1525.6205384419552
Boston,12,5,318,6,346,1296.9648803462321
Boston,12,6,324,6,348,1304.4617871690427
Boston,12,7,762,18,822,3081.2287041751524
Boston,12,8,272,9,292,1094.5483961303462
Boston,12,9,369,11,409,1533.1174452647658
Boston,13,1,451,10,519,1945.4473205193483
Boston,13,2,171,7,192,719.7030549898168
Boston,13,3,394,44,492,1844.2390784114052
Boston,13,4,310,6,330,1236.9896257637474
Boston,13,5,256,18,306,1147.0267438900203
Boston,13,6,471,51,558,2091.637003564155
Boston,13,7,389,80,499,1870.4782522912424
Boston,13,8,333,79,436,1634.3256873727087
Boston,13,9,422,76,534,2001.674121690428
Boston,13,10,690,176,914,3426.0864180244403
Boston,14,1,604,19,670,2511.463785641548
Boston,14,2,817,26,894,3351.117349796334
Boston,14,3,436,7,470,1761.7731033604887
Boston,14,4,494,23,563,2110.379270621181
Boston,14,5,374,8,405,1518.1236316191446
Boston,14,6,357,13,398,1491.8844577393074
Boston,14,7,422,11,476,1784.2638238289205
Boston,14,8,414,14,457,1713.0432090122201
Boston,14,9,343,9,386,1446.903016802444
Boston,14,10,412,10,463,1735.5339294806518
Boston,14,11,306,12,333,1248.2349859979631
Boston,14,12,234,9,273,1023.3277813136457
Boston,14,13,392,9,428,1604.3380600814664
Boston,14,14,426,7,461,1728.0370226578411
Boston,15,1,446,22,505,1892.968972759674
Boston,15,2,317,9,355,1330.7009610488797
Boston,15,3,172,12,214,802.1690300407332
Boston,15,4,471,33,555,2080.391643329939
Boston,15,5,355,19,407,1525.6205384419552
Boston,15,6,207,58,278,1042.070048370672
Boston,15,7,297,17,334,1251.9834394093687
Boston,15,8,261,38,327,1225.7442655295315
Boston,15,9,259,31,328,1229.492718940937
Boston,16,1,312,57,404,1514.3751782077393
Boston,16,2,218,78,318,1192.008184826884
Boston,16,3,439,64,542,2031.6617489816701
Boston,16,4,437,63,524,1964.1895875763748
Boston,16,5,460,97,589,2207.839059317719
Boston,16,6,538,88,669,2507.7153322301424
Boston,16,7,509,158,718,2691.389549389002
Boston,16,8,492,121,649,2432.7462640020362
Boston,16,9,527,208,800,2998.7627291242366
Boston,16,10,359,114,508,1904.2143329938901
Boston,16,11,550,155,747,2800.0946983197555
Boston,16,12,594,176,841,3152.4493189918535
Boston,17,1,387,18,449,1683.0555817209774
Boston,17,2,265,36,321,1203.2535450610997
Boston,17,3,629,53,727,2725.1256300916493
Boston,17,4,777,83,917,3437.3317782586555
Boston,17,5,245,10,280,1049.5669551934827
Boston,17,6,504,42,577,2162.8576183808555
Boston,17,7,234,10,269,1008.3339676680245
Boston,17,8,436,13,476,1784.2638238289205
Boston,17,9,410,31,465,1743.0308363034624
Boston,17,10,572,22,621,2327.7895684826885
Boston,17,11,203,19,235,880.8865516802443
Boston,17,12,421,33,482,1806.7545442973524
Boston,17,13,548,101,697,2612.672027749491
Boston,17,14,437,46,509,1907.9627864052952
Boston,18,1,788,20,889,3332.3750827393073
Boston,18,2,579,12,649,2432.7462640020362
Boston,18,3,712,20,769,2882.560673370672
Boston,18,4,626,32,715,2680.144189154786
Boston,18,5,682,33,770,2886.3091267820773
Boston,18,6,748,54,878,3291.1420952138496
Boston,18,7,497,78,602,2256.568953665988
Boston,18,8,951,93,1093,4097.059578665988
Boston,18,9,629,114,775,2905.051393839104
Boston,18,10,811,148,1012,3793.4348523421586
Boston,18,11,461,54,557,2087.8885501527493
Boston,18,12,590,139,767,2875.0637665478616
Boston,18,13,356,34,420,1574.350432790224
Boston,18,14,344,51,422,1581.8473396130348
Boston,18,15,525,45,599,2245.3235934317718
Boston,18,16,660,225,945,3542.288473778004
Boston,18,17,568,119,736,2758.8617107942973
Boston,18,18,618,129,792,2968.775101832994
Boston,18,19,830,166,1048,3928.3791751527497
Boston,18,20,750,215,1033,3872.1523739816703
Boston,18,21,788,23,859,3219.9214803971486
Boston,18,22,666,180,892,3343.6204429735235
Boston,18,23,416,28,468,1754.2761965376783
Boston,19,1,619,45,685,2567.6905868126273
Boston,19,2,793,251,1096,4108.3049389002035
Boston,19,3,563,71,653,2447.740077647658
Boston,19,4,797,52,883,3309.8843622708755
Boston,19,5,685,61,786,2946.284381364562
Boston,19,6,888,47,968,3628.502902240326
Boston,19,7,757,83,865,3242.4122008655804
Boston,19,8,464,56,539,2020.416388747454
Boston,19,9,432,43,487,1825.496811354379
Boston,19,10,723,107,863,3234.91529404277
Boston,19,11,335,25,403,1510.626724796334
Boston,19,12,540,72,640,2399.0101832993887
Boston,19,13,407,67,504,1889.220519348269
Boston,20,1,707,133,879,3294.8905486252547
Boston,20,2,691,147,875,3279.8967349796335
Boston,20,3,548,223,830,3111.216331466395
Boston,20,4,639,108,770,2886.3091267820773
Boston,20,5,621,228,888,3328.6266293279023
Boston,20,6,738,244,1029,3857.1585603360486
Boston,20,7,450,146,621,2327.7895684826885
Boston,20,8,474,131,634,2376.5194628309573
Boston,20,9,486,133,651,2440.2431708248473
Boston,20,10,729,306,1095,4104.556485488798
Boston,20,11,367,133,517,1937.950413696538
Boston,20,12,465,179,696,2608.9235743380855
Boston,20,13,417,134,576,2159.1091649694504
Boston,20,14,447,190,671,2515.2122390529535
Boston,20,15,683,256,996,3733.459597759674
Boston,20,16,678,302,1046,3920.882268329939
Boston,20,17,802,342,1201,4501.892547097759
Boston,20,18,397,130,561,2102.8823637983705
Boston,20,19,462,183,682,2556.4452265784116
Boston,20,20,710,232,983,3684.729703411405
Boston,21,1,448,75,534,2001.674121690428
Boston,21,2,114,13,129,483.5504900712831
Boston,21,3,307,42,358,1341.9463212830958
Boston,21,4,229,30,269,1008.3339676680245
Boston,21,5,302,39,350,1311.9586939918534
Boston,21,6,385,64,463,1735.5339294806518
Boston,21,7,366,50,439,1645.5710476069248
Boston,21,8,388,68,479,1795.5091840631364
Boston,21,9,452,52,521,1952.944227342159
Boston,21,10,401,66,492,1844.2390784114052
Boston,21,11,413,74,504,1889.220519348269
Boston,21,12,573,98,714,2676.395735743381
Boston,21,13,803,132,980,3673.4843431771897
Boston,21,14,258,54,323,1210.7504518839105
Boston,21,15,378,72,456,1709.2947556008148
Boston,21,16,493,101,611,2290.3050343686355
Boston,22,1,553,106,690,2586.432853869654
Boston,22,2,527,102,665,2492.7215185845216
Boston,22,3,518,112,655,2455.2369844704685
Boston,22,4,427,85,543,2035.4102023930752
Boston,22,5,286,53,351,1315.7071474032587
Boston,22,6,297,62,371,1390.6762156313646
Boston,22,7,494,96,604,2264.065860488798
Boston,22,8,474,126,623,2335.2864753054987
Boston,22,9,400,82,500,1874.2267057026477
Boston,22,10,518,133,680,2548.948319755601
Boston,22,11,333,91,445,1668.0617680753564
Boston,22,12,378,75,478,1791.7607306517314
Boston,22,13,289,95,408,1529.3689918533605
Bourne,-,1,682,481,1191,2871.067602369302
Bourne,-,2,855,576,1458,3514.7074426989443
Bourne,-,3,584,381,992,2391.3510172547
Bourne,-,4,845,538,1428,3442.388359515838
Bourne,-,5,896,650,1581,3811.2156837496777
Bourne,-,6,608,480,1116,2690.2698944115373
Boxborough,-,1,1313,717,2091,4868.0
Boxford,-,1,566,582,1176,2434.6826973340303
Boxford,-,2,656,702,1397,2892.2208572922113
Boxford,-,3,592,626,1253,2594.0964453737583
Boylston,-,1,1139,784,1983,4083.0
Braintree,-,1,773,433,1261,2954.502562681812
Braintree,-,2,767,387,1221,2860.783210971049
Braintree,-,3,766,416,1227,2874.841113727663
Braintree,-,4,772,405,1236,2895.927967862585
Braintree,-,5,782,464,1307,3062.2798171491895
Braintree,-,6,658,301,1002,2347.66976035462
Braintree,-,7,747,341,1131,2649.9146696218313
Braintree,-,8,592,297,931,2181.317911068015
Braintree,-,9,808,458,1315,3081.023687491342
Braintree,-,10,751,363,1163,2724.8901509904417
Braintree,-,11,798,487,1329,3113.8254605901093
Braintree,-,12,806,451,1315,3081.023687491342
Brewster,-,1,1081,663,1775,3385.0085017948236
Brewster,-,2,1094,688,1829,3487.989042131117
Brewster,-,3,979,670,1689,3221.0024560740603
Bridgewater,-,1,939,631,1637,4863.494750501357
Bridgewater,-,2,907,622,1587,4714.945735519641
Bridgewater,-,3,980,688,1715,5095.231213872833
Bridgewater,-,4,271,185,475,1411.2156423262945
Bridgewater,-,5,361,246,634,1883.601509968149
Bridgewater,-,6,715,349,1095,3253.2234280995635
Bridgewater,-,7,809,484,1334,3963.287719712162
Brimfield,-,1,769,660,1470,3339.0
Brockton,1,A,527,171,735,3062.900574458683
Brockton,1,B,719,285,1047,4363.0706142289
Brockton,1,C,536,214,771,3212.92019443217
Brockton,1,D,938,397,1386,5775.755368979231
Brockton,2,A,291,49,370,1541.868316394167
Brockton,2,B,358,54,430,1791.901016349978
Brockton,2,C,269,48,341,1421.0191780821917
Brockton,2,D,514,182,723,3012.8940344675207
Brockton,3,A,438,133,602,2508.6614228899693
Brockton,3,B,477,106,619,2579.5040212107824
Brockton,3,C,804,395,1250,5209.014582412727
Brockton,3,D,801,375,1213,5054.82775077331
Brockton,4,A,291,64,383,1596.0420680512595
Brockton,4,B,579,196,807,3362.939814405656
Brockton,4,C,654,266,951,3963.018294299602
Brockton,4,D,691,249,968,4033.8608926204156
Brockton,5,A,431,79,542,2258.6287229341583
Brockton,5,B,680,252,958,3992.1887759611136
Brockton,5,C,541,166,742,3092.0710561201945
Brockton,5,D,718,270,1022,4258.890322580645
Brockton,6,A,444,152,624,2600.3400795404327
Brockton,6,B,725,243,981,4088.034644277508
Brockton,6,C,628,266,914,3808.8314626601855
Brockton,6,D,743,321,1101,4588.100044189129
Brockton,7,A,421,101,558,2325.304109589041
Brockton,7,B,696,170,895,3729.654441007512
Brockton,7,C,586,140,754,3142.0775961113563
Brockton,7,D,651,255,943,3929.680600972161
Brookfield,-,1,776,508,1319,3051.0
Brookline,-,1,962,187,1181,3356.850119071244
Brookline,-,2,663,114,796,2262.534034530661
Brookline,-,3,1099,176,1305,3709.3051696765233
Brookline,-,4,934,185,1158,3291.475391942846
Brookline,-,5,1021,172,1235,3510.3386088509624
Brookline,-,6,1133,140,1303,3703.6204107957924
Brookline,-,7,1002,138,1170,3325.583945227228
Brookline,-,8,1040,123,1201,3413.6977078785476
Brookline,-,9,1136,136,1298,3689.4085135939667
Brookline,-,10,906,175,1113,3163.568317126414
Brookline,-,11,1096,130,1252,3558.65905933717
Brookline,-,12,1181,187,1401,3982.1735959515777
Brookline,-,13,990,188,1223,3476.2300555665806
Brookline,-,14,1158,277,1474,4189.667295098234
Brookline,-,15,1099,391,1557,4425.584788648542
Brookline,-,16,1158,280,1489,4232.302986703711
Buckland,-,1,601,194,823,1991.0
Burlington,-,1,1028,658,1741,4201.172573839663
Burlington,-,2,838,437,1323,3192.5050632911393
Burlington,-,3,1077,591,1728,4169.80253164557
Burlington,-,4,896,434,1369,3303.5067510548524
Burlington,-,5,1026,614,1685,4066.0400843881857
Burlington,-,6,1015,556,1634,3942.9729957805907
Cambridge,1,1,692,150,859,2669.0357142857147
Cambridge,1,2,769,121,922,2864.785714285714
Cambridge,1,3,739,116,889,2762.25
Cambridge,2,1,787,50,875,2718.75
Cambridge,2,2,94,37,136,422.5714285714286
Cambridge,2,3,165,40,215,668.0357142857143
Cambridge,3,1,725,100,850,2641.0714285714284
Cambridge,3,2,796,82,910,2827.5
Cambridge,3,3,641,41,711,2209.1785714285716
Cambridge,4,1,1033,77,1139,3539.035714285714
Cambridge,4,2,1075,119,1237,3843.535714285714
Cambridge,4,3,346,36,394,1224.2142857142858
Cambridge,5,1,1047,92,1187,3688.178571428571
Cambridge,5,2,1108,90,1224,3803.142857142857
Cambridge,5,3,1144,131,1300,4039.285714285714
Cambridge,6,1,1078,123,1234,3834.2142857142853
Cambridge,6,2,958,103,1092,3393.0
Cambridge,6,3,1116,111,1257,3905.6785714285716
Cambridge,7,1,1059,106,1187,3688.178571428571
Cambridge,7,2,489,50,559,1736.892857142857
Cambridge,7,3,307,35,350,1087.5
Cambridge,8,1,715,72,802,2491.9285714285716
Cambridge,8,2,1112,127,1263,3924.3214285714284
Cambridge,8,3,231,21,257,798.5357142857142
Cambridge,9,1,1279,170,1488,4623.428571428571
Cambridge,9,2,1260,208,1500,4660.714285714285
Cambridge,9,3,1156,166,1360,4225.714285714285
Cambridge,10,1,1273,133,1436,4461.857142857142
Cambridge,10,2,1369,139,1542,4791.214285714286
Cambridge,10,3,824,64,922,2864.785714285714
Cambridge,11,1,613,30,677,2103.535714285714
Cambridge,11,2,1129,198,1363,4235.035714285715
Cambridge,11,3,1262,183,1483,4607.892857142857
Canton,-,1,957,397,1396,3218.8568257491675
Canton,-,2,1077,450,1608,3707.6803551609323
Canton,-,3,916,476,1449,3341.062708102109
Canton,-,4,924,579,1577,3636.2014428412876
Canton,-,5,1002,550,1623,3742.2669256381796
Canton,-,6,897,411,1357,3128.931742508324
Carlisle,-,1,1677,834,2629,4717.0
Carver,-,1,856,585,1481,3723.152721547458
Carver,-,2,835,545,1426,3584.885739991003
Carver,-,3,878,610,1539,3868.9615384615386
Charlemont,-,1,342,135,498,1358.0
Charlton,-,1,765,601,1397,3539.003823661719
Charlton,-,2,785,699,1528,3870.8645973909133
Charlton,-,3,869,616,1521,3853.1315789473683
Chatham,-,1,1032,814,1894,3187.9446138211383
Chatham,-,2,1082,899,2042,3437.0553861788617
Chelmsford,-,1,934,618,1613,3697.0588952071485
Chelmsford,-,2,837,447,1328,3043.8277822908203
Chelmsford,-,3,915,558,1533,3513.695775792039
Chelmsford,-,4,814,531,1411,3234.0670186839966
Chelmsford,-,5,908,616,1579,3619.129569455727
Chelmsford,-,6,1059,674,1813,4155.466693744923
Chelmsford,-,7,1086,791,1956,4483.228269699431
Chelmsford,-,8,1013,678,1763,4040.864744110479
Chelmsford,-,9,1013,708,1776,4070.6612510154346
Chelsea,1,1,194,28,241,1657.7778648383937
Chelsea,1,2,127,20,164,1128.1143976493634
Chelsea,1,3,166,32,207,1423.9004897159646
Chelsea,1,4,194,28,237,1630.2628795298726
Chelsea,2,1,524,150,708,4870.152399608228
Chelsea,2,2,179,21,224,1540.8391772771793
Chelsea,2,3,135,16,165,1134.9931439764935
