City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,pop by share of vote
Abington,-,1,1143,706,1969,3551.592565147586
Abington,-,2,969,617,1704,3073.5976287513895
Abington,-,3,1080,734,1913,3450.582314437446
Abington,-,4,1425,951,2511,4529.227491663579
Acton,-,1,1295,594,1994,3484.3157713794585
Acton,-,2,1242,563,1890,3302.5861624409113
Acton,-,3,1397,638,2130,3721.9621830683286
Acton,-,4,1320,506,1918,3351.513364847443
Acton,-,5,1274,513,1885,3293.849162011173
Acton,-,6,1153,568,1818,3176.773356252686
Acushnet,-,1,1095,374,1608,2921.310209190059
Acushnet,-,2,1222,586,1966,3571.7014124798857
Acushnet,-,3,1263,566,2019,3667.9883783300556
Adams,-,1,574,122,743,1596.7521346669919
Adams,-,2,678,135,859,1846.043181263723
Adams,-,3,610,143,803,1725.6957794584046
Adams,-,4,609,98,751,1613.9446206391804
Adams,-,5,722,164,943,2026.5642839717004
Agawam,-,1,892,509,1510,2928.838042729152
Agawam,-,2,1111,728,1994,3867.617918676775
Agawam,-,3,1103,534,1765,3423.443142660234
Agawam,-,4,988,546,1686,3270.212543073742
Agawam,-,5,1127,688,1949,3780.33466574776
Agawam,-,6,1052,665,1874,3634.8625775327364
Agawam,-,7,1017,651,1788,3468.054583046175
Agawam,-,8,1125,678,1944,3770.636526533425
Alford,-,1,253,56,323,399.0
Amesbury,-,1,971,661,1727,3314.5665616614165
Amesbury,-,2,845,428,1371,2631.3090654532725
Amesbury,-,3,953,466,1492,2863.5398436588493
Amesbury,-,4,641,365,1099,2109.269630148174
Amesbury,-,5,907,588,1621,3111.1247229028118
Amesbury,-,6,825,343,1261,2420.1901761754757
Amherst,-,1,772,74,930,2506.981525856072
Amherst,-,2,981,117,1191,3210.553760531808
Amherst,-,3,787,84,970,2614.8086882584835
Amherst,-,3A,0,0,0,0.0
Amherst,-,4,937,106,1113,3000.290793847105
Amherst,-,4A,0,0,0,0.0
Amherst,-,5,915,95,1098,2959.855607946201
Amherst,-,6,1431,159,1703,4590.741439282677
Amherst,-,7,1200,138,1454,3919.5173533276648
Amherst,-,8,1630,199,1926,5191.877869676123
Amherst,-,9,1335,101,1599,4310.3908170364075
Amherst,-,9A,0,0,0,0.0
Amherst,-,10,806,69,953,2568.9821442374587
Amherst,-,10A,0,0,0,0.0
Andover,-,1,1224,664,1986,3382.934038377671
Andover,-,2,1082,779,1965,3347.1628325337983
Andover,-,3,1290,736,2145,3653.7731683384213
Andover,-,4,1048,729,1881,3204.078009158308
Andover,-,5,1101,804,2024,3447.662887047536
Andover,-,6,1074,834,2022,3444.2561055385954
Andover,-,7,1154,810,2071,3527.722252507632
Andover,-,8,1186,882,2175,3704.8748909725255
Andover,-,9,1157,828,2075,3534.5358155255126
Aquinnah,-,1,258,35,313,344.0
Arlington,-,1,634,150,832,1383.6961707470182
Arlington,-,2,865,266,1214,2018.9989799121154
Arlington,-,3,931,178,1177,1957.4644146264911
Arlington,-,4,856,186,1113,1851.026247645951
Arlington,-,5,845,242,1162,1932.5179692404267
Arlington,-,6,936,218,1249,2077.2073524795983
Arlington,-,7,829,207,1082,1799.470260514752
Arlington,-,8,1066,209,1344,2235.201506591337
Arlington,-,9,909,314,1285,2137.0788214061517
Arlington,-,10,984,249,1315,2186.9717121782796
Arlington,-,11,881,345,1275,2120.4478578154426
Arlington,-,12,1041,318,1421,2363.259926239799
Arlington,-,13,798,456,1308,2175.3300376647835
Arlington,-,14,883,225,1165,1937.5072583176395
Arlington,-,15,993,314,1386,2305.0515536723165
Arlington,-,16,917,303,1273,2117.1216650973006
Arlington,-,17,632,176,854,1420.284290646579
Arlington,-,18,845,372,1275,2120.4478578154426
Arlington,-,19,926,305,1305,2170.3407485875705
Arlington,-,20,916,245,1227,2040.6192325800378
Arlington,-,21,897,260,1226,2038.9561362209668
Ashburnham,-,1,1865,1288,3390,5546.0
Ashby,-,1,947,796,1881,2845.0
Ashfield,-,1,893,172,1136,1800.0
Ashland,-,1,1400,669,2188,3786.1688679245285
Ashland,-,2,1323,758,2204,3813.855660377359
Ashland,-,3,1248,652,2000,3460.8490566037735
Ashland,-,4,1338,626,2088,3613.12641509434
Athol,-,1,1024,623,1761,4170.517501571998
