City/Town,Ward,Pct,Martha Coakley,Scott P. Brown,Total Votes Cast,pop by share of vote
Abington,-,1,518,1021,1554,3934.847141
Abington,-,2,464,824,1304,3301.827974
Abington,-,3,488,1021,1526,3863.948994
Abington,-,4,618,1297,1929,4884.375891
Acton,-,1,861,605,1472,3450.457393
Acton,-,2,843,698,1550,3633.29413
Acton,-,3,1046,731,1799,4216.965252
Acton,-,4,922,619,1559,3654.390677
Acton,-,5,921,570,1501,3518.435154
Acton,-,6,782,678,1472,3450.457393
Acushnet,-,1,499,559,1072,2897.380902
Acushnet,-,2,580,784,1378,3724.431794
Acushnet,-,3,548,796,1362,3681.187303
Adams,-,1,278,131,416,1455.571134
Adams,-,2,340,174,518,1812.465979
Adams,-,3,339,150,491,1717.993814
Adams,-,4,287,115,408,1427.579381
Adams,-,5,407,178,592,2071.389691
Agawam,-,1,397,714,1132,3052.803793
Agawam,-,2,475,1036,1531,4128.836226
Agawam,-,3,458,765,1241,3346.757515
Agawam,-,4,425,706,1157,3120.224372
Agawam,-,5,516,900,1437,3875.334851
Agawam,-,6,417,879,1310,3532.838312
Agawam,-,7,451,847,1316,3549.019251
Agawam,-,8,522,879,1421,3832.18568
Alford,-,1,157,68,227,494
Amesbury,-,1,521,792,1320,3521.225426
Amesbury,-,2,384,518,913,2435.514253
Amesbury,-,3,500,602,1117,2979.703637
Amesbury,-,4,292,422,725,1934.006389
Amesbury,-,5,429,753,1195,3187.776048
Amesbury,-,6,418,394,834,2224.774246
Amherst,-,1,440,73,520,2520.620354
Amherst,-,2,771,144,919,4454.711741
Amherst,-,3,398,68,470,2278.253012
Amherst,-,3A,0,0,0,0
Amherst,-,4,350,73,425,2060.122405
Amherst,-,4A,0,0,0,0
Amherst,-,5,625,94,727,3524.021148
Amherst,-,6,987,183,1176,5700.479877
Amherst,-,7,761,141,913,4425.62766
Amherst,-,8,1208,226,1445,7004.416175
Amherst,-,9,675,124,810,3926.350936
Amherst,-,9A,0,0,0,0
Amherst,-,10,339,54,397,1924.396693
Amherst,-,10A,0,0,0,0
Andover,-,1,782,729,1524,3530.444041
Andover,-,2,600,896,1504,3484.112755
Andover,-,3,764,932,1709,3959.008443
Andover,-,4,530,924,1461,3384.500488
Andover,-,5,607,941,1554,3599.940971
Andover,-,6,553,970,1528,3539.710299
Andover,-,7,649,968,1632,3780.632989
Andover,-,8,753,1025,1788,4142.017025
Andover,-,9,667,953,1632,3780.632989
Aquinnah,-,1,150,42,193,311
Arlington,-,1,421,175,599,1262.783841
Arlington,-,2,621,323,957,2017.502731
Arlington,-,3,639,233,879,1853.066772
Arlington,-,4,595,237,846,1783.497712
Arlington,-,5,567,324,899,1895.229838
Arlington,-,6,687,274,971,2047.016877
Arlington,-,7,548,229,786,1657.008513
Arlington,-,8,868,231,1108,2335.833883
Arlington,-,9,608,389,1003,2114.477784
Arlington,-,10,758,325,1092,2302.10343
Arlington,-,11,614,431,1052,2217.777297
Arlington,-,12,833,391,1236,2605.677508
Arlington,-,13,513,576,1094,2306.319736
Arlington,-,14,650,278,937,1975.339664
Arlington,-,15,716,406,1136,2394.862176
Arlington,-,16,705,372,1084,2285.238203
Arlington,-,17,389,177,575,1212.188161
Arlington,-,18,565,498,1074,2264.15667
Arlington,-,19,703,369,1083,2283.13005
Arlington,-,20,635,306,950,2002.745658
Arlington,-,21,652,303,962,2028.043498
Ashburnham,-,1,866,1575,2469,6081
Ashby,-,1,475,949,1440,3074
Ashfield,-,1,671,212,895,1737
Ashland,-,1,738,887,1637,4225.690884
Ashland,-,2,738,986,1742,4496.733976
Ashland,-,3,686,781,1479,3817.835563
Ashland,-,4,735,816,1570,4052.739577
Athol,-,1,450,828,1302,4504.888889
Athol,-,2,341,711,1077,3726.394265
Athol,-,3,380,568,969,3352.716846
Attleboro,1,A,382,707,1100,3535.523114
Attleboro,1,B,397,713,1119,3596.591241
Attleboro,2,A,432,760,1200,3856.934307
Attleboro,2,B,497,967,1472,4731.172749
Attleboro,3,A,427,653,1091,3506.596107
Attleboro,3,B,537,882,1432,4602.608273
Attleboro,4,A,300,423,731,2349.515815
Attleboro,4,B,467,1001,1480,4756.885645
Attleboro,5,A,233,309,552,1774.189781
Attleboro,5,B,390,745,1145,3680.158151
Attleboro,6,A,370,656,1041,3345.890511
Attleboro,6,B,399,791,1200,3856.934307
Auburn,-,1,500,842,1350,3348.215106
Auburn,-,2,503,751,1272,3154.762678
Auburn,-,3,511,850,1387,3439.981002
Auburn,-,4,447,780,1243,3082.838057
Auburn,-,5,446,814,1275,3162.203156
Avon,-,1,706,1155,1884,4356
Ayer,-,1,531,767,1315,3908.165266
Ayer,-,2,458,700,1184,3518.834734
Barnstable,-,1,757,1236,2012,4531.913676
Barnstable,-,2,646,1031,1695,3817.889504
Barnstable,-,3,503,633,1154,2599.318281
Barnstable,-,4,629,995,1634,3680.49053
Barnstable,-,5,507,1195,1712,3856.181021
Barnstable,-,6,626,1067,1708,3847.171252
Barnstable,-,7,753,1255,2024,4558.942982
Barnstable,-,8,397,557,969,2182.616477
Barnstable,-,9,334,346,689,1551.932665
Barnstable,-,10,610,1033,1658,3734.549143
Barnstable,-,11,745,1317,2074,4671.565092
Barnstable,-,12,533,1011,1556,3504.80004
Barnstable,-,13,504,656,1179,2655.629336
Barre,-,1,405,658,1076,2881.075397
Barre,-,2,324,605,940,2516.924603
Becket,-,1,384,225,619,1779
Bedford,-,1,796,755,1565,3515.904874
Bedford,-,2,549,625,1182,2655.462979
Bedford,-,3,944,783,1741,3911.303761
Bedford,-,4,687,738,1441,3237.328386
Belchertown,-,A,639,610,1261,3395.659743
Belchertown,-,B,600,781,1393,3751.113419
Belchertown,-,C,662,886,1567,4219.665993
Belchertown,-,D,728,472,1219,3282.560846
Bellingham,-,1,419,856,1291,3317.798899
Bellingham,-,2,423,734,1169,3004.265618
Bellingham,-,3,507,815,1338,3438.58631
Bellingham,-,4,447,985,1455,3739.269866
Bellingham,-,5,383,707,1102,2832.079308
Belmont,-,1,955,564,1528,3427.293605
Belmont,-,2,778,770,1561,3501.312381
Belmont,-,3,770,433,1211,2716.264762
Belmont,-,4,686,411,1118,2507.666395
Belmont,-,5,762,535,1305,2927.106122
Belmont,-,6,971,468,1442,3234.39619
Belmont,-,7,810,481,1303,2922.620136
Belmont,-,8,801,745,1557,3492.340408
Berkley,-,1,746,1618,2398,6411
Berlin,-,1,538,825,1386,2866
Bernardston,-,1,445,378,842,2129
Beverly,1,1,460,642,1114,2872.216435
Beverly,1,2,589,811,1420,3661.173553
Beverly,2,1,486,435,947,2441.641799
Beverly,2,2,610,502,1126,2903.15593
Beverly,3,1,348,408,768,1980.127668
Beverly,3,2,456,625,1097,2828.385484
Beverly,4,1,649,680,1338,3449.753671
Beverly,4,2,787,693,1496,3857.123686
Beverly,5,1,533,807,1353,3488.42804
Beverly,5,2,598,843,1455,3751.413746
Beverly,6,1,617,874,1500,3867.436851
Beverly,6,2,611,1080,1707,4401.143137
Billerica,-,1,479,739,1237,3381.603899
Billerica,-,2,464,865,1344,3674.11127
Billerica,-,3,500,826,1335,3649.507846
Billerica,-,4,507,887,1406,3843.601522
Billerica,-,5,478,1060,1557,4256.392297
Billerica,-,6,384,752,1149,3141.03709
Billerica,-,7,498,831,1345,3676.844983
Billerica,-,8,430,940,1386,3788.927247
Billerica,-,9,375,879,1265,3458.147884
Billerica,-,10,470,950,1430,3909.210651
Billerica,-,11,387,858,1267,3463.615311
Blackstone,-,1,343,590,940,2656.36819
Blackstone,-,2,355,662,1034,2922.005009
Blackstone,-,3,354,850,1220,3447.6268
Blandford,-,1,196,343,550,1233
Bolton,-,1,996,1362,2376,4897
Boston,1,1,315,196,520,2087.727642
Boston,1,2,167,127,300,1204.458255
Boston,1,3,423,206,637,2557.466362
Boston,1,4,107,95,202,811.0018917
Boston,1,5,213,159,376,1509.58768
Boston,1,6,164,126,294,1180.36909
Boston,1,7,196,115,317,1272.71089
Boston,1,8,247,163,414,1662.152392
Boston,1,9,152,117,274,1100.071873
Boston,1,10,100,62,166,666.4669011
Boston,1,11,253,317,576,2312.55985
Boston,1,12,253,351,616,2473.154284
Boston,1,13,332,347,686,2754.194543
Boston,1,14,170,206,377,1513.602541
Boston,1,15,0,0,0,0
Boston,2,1,532,518,1059,4251.73764
Boston,2,2,529,442,985,3954.637937
Boston,2,3,491,392,886,3557.166713
Boston,2,4,302,293,603,2420.961093
Boston,2,5,413,431,849,3408.616862
Boston,2,6,481,490,985,3954.637937
Boston,2,7,338,349,696,2794.343152
Boston,3,1,871,837,1722,6913.590384
Boston,3,2,370,324,698,2802.372873
Boston,3,3,363,288,659,2645.7933
Boston,3,4,357,376,739,2966.982168
Boston,3,5,811,511,1335,5359.839235
Boston,3,6,796,651,1459,5857.68198
Boston,3,7,1337,421,1776,7130.39287
Boston,3,8,786,469,1274,5114.932723
Boston,4,1,811,267,1085,4356.124022
Boston,4,2,817,408,1231,4942.293707
Boston,4,3,513,136,651,2613.674413
Boston,4,4,752,220,984,3950.623077
Boston,4,5,408,209,620,2489.213727
Boston,4,6,375,171,555,2228.247772
Boston,4,7,371,119,495,1987.356121
Boston,4,8,307,119,432,1734.419887
Boston,4,9,137,22,162,650.4074577
Boston,4,10,94,30,124,497.8427454
Boston,5,1,1136,495,1645,6604.446099
Boston,5,2,621,235,864,3468.839775
Boston,5,3,567,361,935,3753.894895
Boston,5,4,649,306,961,3858.281277
Boston,5,5,221,136,360,1445.349906
Boston,5,6,488,381,875,3513.003244
Boston,5,7,631,449,1085,4356.124022
Boston,5,8,566,374,953,3826.16239
Boston,5,9,736,463,1204,4833.892464
Boston,5,10,458,221,688,2762.224265
Boston,5,11,410,229,645,2589.585248
Boston,6,1,724,423,1150,4617.089978
Boston,6,2,248,256,517,2075.68306
Boston,6,3,333,344,682,2738.1351
Boston,6,4,312,436,756,3035.234803
Boston,6,5,299,456,763,3063.338829
Boston,6,6,283,469,759,3047.279385
Boston,6,7,286,416,712,2858.580925
Boston,6,8,285,475,771,3095.457715
Boston,6,9,251,529,787,3159.695489
Boston,7,1,252,478,735,2950.922725
Boston,7,2,323,567,896,3597.315322
Boston,7,3,385,607,1007,4042.964876
Boston,7,4,305,413,731,2934.863281
Boston,7,5,244,274,525,2107.801946
Boston,7,6,266,199,470,1886.9846
Boston,7,7,184,81,267,1071.967847
Boston,7,8,207,180,404,1622.003783
Boston,7,9,276,145,430,1726.390166
Boston,7,10,303,45,349,1401.186437
Boston,8,1,269,37,306,1228.54742
Boston,8,2,629,173,814,3268.096732
Boston,8,3,319,11,332,1332.933802
Boston,8,4,152,6,161,646.3925969
Boston,8,5,377,19,398,1597.914618
Boston,8,6,116,26,143,574.1251016
Boston,8,7,260,21,284,1140.220481
Boston,9,1,521,85,610,2449.065119
Boston,9,2,686,175,866,3476.869496
Boston,9,3,851,75,946,3798.058364
Boston,9,4,440,26,479,1923.118347
Boston,9,5,617,30,651,2613.674413
Boston,10,1,242,51,297,1192.413673
Boston,10,2,264,56,326,1308.844637
Boston,10,3,234,72,311,1248.621724
Boston,10,4,420,124,555,2228.247772
Boston,10,5,354,86,447,1794.6428
Boston,10,6,312,60,376,1509.58768
Boston,10,7,380,34,420,1686.241557
Boston,10,8,506,91,603,2420.961093
Boston,10,9,770,133,909,3649.508513
Boston,11,1,350,19,371,1489.513375
Boston,11,2,423,20,444,1782.598217
Boston,11,3,344,17,362,1453.379628
Boston,11,4,510,40,558,2240.292354
Boston,11,5,546,29,585,2348.693597
Boston,11,6,478,58,541,2172.03972
Boston,11,7,678,57,744,2987.056473
Boston,11,8,695,93,791,3175.754932
Boston,11,9,475,63,545,2188.099163
Boston,11,10,616,53,674,2706.016213
Boston,12,1,506,16,528,2119.846529
Boston,12,2,687,18,710,2850.551204
Boston,12,3,302,21,332,1332.933802
Boston,12,4,292,17,315,1264.681168
Boston,12,5,286,9,299,1200.443394
Boston,12,6,273,10,287,1152.265064
Boston,12,7,646,24,683,2742.149961
Boston,12,8,210,9,220,883.269387
Boston,12,9,328,8,338,1357.022967
Boston,13,1,395,24,424,1702.301
Boston,13,2,134,8,144,578.1399624
Boston,13,3,308,73,387,1553.751149
Boston,13,4,267,11,286,1148.250203
Boston,13,5,249,13,278,1116.131316
Boston,13,6,366,86,463,1858.880574
Boston,13,7,289,178,474,1903.044043
Boston,13,8,284,146,437,1754.494192
Boston,13,9,360,129,494,1983.34126
Boston,13,10,547,393,958,3846.236694
Boston,14,1,515,22,540,2168.024859
Boston,14,2,696,29,734,2946.907864
Boston,14,3,350,10,362,1453.379628
Boston,14,4,405,22,429,1722.375305
Boston,14,5,295,12,308,1236.577142
Boston,14,6,292,16,312,1252.636585
Boston,14,7,315,18,336,1348.993246
Boston,14,8,411,9,421,1690.256418
Boston,14,9,249,13,266,1067.952986
Boston,14,10,343,14,364,1461.409349
Boston,14,11,246,9,258,1035.834099
Boston,14,12,226,8,235,943.4922998
Boston,14,13,331,11,347,1393.156715
Boston,14,14,403,14,418,1678.211835
Boston,15,1,401,21,427,1714.345583
Boston,15,2,263,12,276,1108.101595
Boston,15,3,179,23,206,827.0613351
Boston,15,4,466,69,544,2184.084302
Boston,15,5,340,12,359,1441.335045
Boston,15,6,178,105,288,1156.279925
Boston,15,7,251,20,272,1092.042151
Boston,15,8,203,66,273,1096.057012
Boston,15,9,240,70,314,1260.666307
Boston,16,1,259,106,375,1505.572819
Boston,16,2,175,168,346,1389.141854
Boston,16,3,363,117,484,1943.192651
Boston,16,4,300,155,461,1850.850852
Boston,16,5,344,223,575,2308.544989
Boston,16,6,462,163,631,2533.377196
Boston,16,7,325,331,664,2665.867605
Boston,16,8,411,272,691,2774.268847
Boston,16,9,321,491,825,3312.260201
Boston,16,10,247,301,554,2224.232911
Boston,16,11,393,362,764,3067.35369
Boston,16,12,365,459,833,3344.379088
Boston,17,1,315,22,338,1357.022967
Boston,17,2,233,36,273,1096.057012
Boston,17,3,577,53,639,2565.496083
Boston,17,4,699,123,831,3336.349366
Boston,17,5,214,13,229,919.4031347
Boston,17,6,457,61,524,2103.787085
Boston,17,7,221,10,231,927.4328564
Boston,17,8,370,20,391,1569.810592
Boston,17,9,402,59,464,1862.895434
Boston,17,10,477,24,506,2031.51959
Boston,17,11,168,19,192,770.8532832
Boston,17,12,367,54,425,1706.315861
Boston,17,13,502,207,723,2902.744395
Boston,17,14,385,95,482,1935.16293
Boston,18,1,662,31,704,2826.462039
Boston,18,2,531,12,548,2200.143746
Boston,18,3,617,14,636,2553.451501
Boston,18,4,559,29,594,2384.827345
Boston,18,5,670,37,714,2866.610647
Boston,18,6,761,62,830,3332.334506
Boston,18,7,420,125,551,2212.188328
Boston,18,8,851,171,1033,4147.351258
Boston,18,9,499,215,723,2902.744395
Boston,18,10,754,250,1015,4075.083763
Boston,18,11,387,92,482,1935.16293
Boston,18,12,457,238,709,2846.536343
Boston,18,13,287,71,361,1449.364767
Boston,18,14,291,59,354,1421.260741
Boston,18,15,487,57,547,2196.128885
Boston,18,16,468,448,923,3705.716565
Boston,18,17,449,224,685,2750.179682
Boston,18,18,537,259,805,3231.962984
Boston,18,19,671,278,962,3862.296138
Boston,18,20,492,470,978,3926.533911
Boston,18,21,734,32,772,3099.472576
Boston,18,22,523,366,901,3617.389626
Boston,18,23,349,46,399,1601.929479
Boston,19,1,652,53,707,2838.506621
Boston,19,2,744,371,1124,4512.703596
Boston,19,3,589,113,708,2842.521482
Boston,19,4,823,79,908,3645.493652
Boston,19,5,717,98,823,3304.23048
Boston,19,6,950,86,1046,4199.544449
Boston,19,7,699,125,833,3344.379088
Boston,19,8,502,75,586,2352.708458
Boston,19,9,442,64,507,2035.534451
Boston,19,10,642,187,837,3360.438532
Boston,19,11,342,45,391,1569.810592
Boston,19,12,450,114,569,2284.455824
Boston,19,13,389,123,517,2075.68306
Boston,20,1,517,263,800,3211.88868
