City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Abington,-,1,659,901,1571,3010.0005993048067
Abington,-,2,609,898,1520,2912.285748531703
Abington,-,3,645,993,1648,3157.5308641975307
Abington,-,4,715,1100,1830,3506.23876303488
Abington,-,5,684,1077,1774,3398.9440249310796
Acton,-,1,1102,732,1845,3364.6464814506735
Acton,-,2,1048,920,1978,3607.1928131758445
Acton,-,3,1255,876,2143,3908.0961570454165
Acton,-,4,1303,832,2149,3919.038096822492
Acton,-,5,1273,781,2071,3776.7928797205122
Acton,-,6,996,824,1836,3348.2335717850606
Acushnet,-,1,952,686,1669,3185.5700259355317
Acushnet,-,2,884,907,1821,3475.687847350871
Acushnet,-,3,929,954,1908,3641.742126713598
Adams,-,1,458,242,708,1528.206563215467
Adams,-,2,536,257,801,1728.945560925973
Adams,-,3,516,241,768,1657.7155939964387
Adams,-,4,553,182,740,1597.2780462986516
Adams,-,5,629,277,914,1972.85423556347
Agawam,-,1,725,805,1546,3044.0454199266082
Agawam,-,2,804,1215,2034,4004.908398532161
Agawam,-,3,759,974,1746,3437.841722633802
Agawam,-,4,718,901,1640,3229.129682198989
Agawam,-,5,866,1118,2008,3953.714879180226
Agawam,-,6,670,1051,1730,3406.3380184172265
Agawam,-,7,737,1053,1802,3548.104687391816
Agawam,-,8,830,1090,1937,3813.9171917191716
Alford,-,1,216,87,306,494.0
Amesbury,-,1,724,875,1608,3072.047870468145
Amesbury,-,2,744,684,1438,2747.2666901325824
Amesbury,-,3,755,788,1554,2968.882083773319
Amesbury,-,4,611,641,1263,2412.933122140091
Amesbury,-,5,595,804,1408,2689.9523641910127
Amesbury,-,6,647,594,1252,2391.9178692948494
Amherst,-,1,925,260,1199,2921.712693298969
Amherst,-,2,1464,339,1817,4427.649677835052
Amherst,-,3,969,315,1310,3192.196520618557
Amherst,-,4,922,417,1367,3331.093621134021
Amherst,-,5,1194,204,1419,3457.806765463917
Amherst,-,6,1462,292,1765,4300.936533505154
Amherst,-,7,1355,231,1600,3898.865979381443
Amherst,-,8,1811,300,2129,5187.928543814433
Amherst,-,9,1371,311,1706,4157.165850515464
Amherst,-,10,857,333,1208,2943.6438144329895
Andover,-,1,848,820,1678,2958.644609665427
Andover,-,2,949,1246,2212,3900.191821561338
Andover,-,3,1030,1121,2171,3827.9007434944238
Andover,-,4,873,1181,2064,3639.238661710037
Andover,-,5,896,1225,2138,3769.7152416356876
Andover,-,6,829,1298,2141,3775.0048327137547
