City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Abington,-,1,202,323,529,2971.2104708362613
Abington,-,2,209,312,526,2954.360505973296
Abington,-,3,219,321,547,3072.310260014055
Abington,-,4,248,360,613,3443.009486999297
Abington,-,5,265,365,631,3544.1092761770906
Acton,-,1,485,216,701,2991.770293945883
Acton,-,2,472,317,792,3380.1456102783727
Acton,-,3,677,319,1001,4272.128479657387
Acton,-,4,671,295,974,4156.896242943352
Acton,-,5,654,222,881,3759.9852053727855
Acton,-,6,461,323,788,3363.074167802219
Acushnet,-,1,447,370,845,3392.842946219798
Acushnet,-,2,385,419,826,3316.5541699142636
Acushnet,-,3,418,457,895,3593.602883865939
Adams,-,1,138,65,203,1537.90625
Adams,-,2,145,76,222,1681.8482142857142
Adams,-,3,156,64,221,1674.2723214285713
Adams,-,4,154,51,207,1568.2098214285716
Adams,-,5,187,79,267,2022.763392857143
Agawam,-,1,166,279,446,2656.754922496858
Agawam,-,2,253,493,752,4479.550900712191
Agawam,-,3,214,286,502,2990.338500209468
Agawam,-,4,196,325,522,3109.475492249686
Agawam,-,5,252,425,680,4050.657729367407
Agawam,-,6,193,395,588,3502.6275659824046
Agawam,-,7,199,389,593,3532.4118139924594
Agawam,-,8,270,417,691,4116.183074989526
Alford,-,1,106,37,146,494.0
Amesbury,-,1,279,317,599,3492.1292517006805
Amesbury,-,2,227,184,412,2401.9319727891157
Amesbury,-,3,260,235,499,2909.1360544217687
Amesbury,-,4,180,189,375,2186.2244897959185
Amesbury,-,5,190,278,471,2745.8979591836737
Amesbury,-,6,251,184,437,2547.680272108844
Amherst,-,1,309,30,343,2517.841032608696
Amherst,-,2,576,91,671,4925.572399068323
Amherst,-,3,209,30,240,1761.754658385093
Amherst,-,4,176,12,189,1387.381793478261
Amherst,-,5,457,51,510,3743.7286490683227
Amherst,-,6,698,98,798,5857.834239130435
Amherst,-,7,570,83,659,4837.484666149068
Amherst,-,8,885,121,1007,7392.028920807454
Amherst,-,9,478,37,517,3795.113159937888
Amherst,-,10,203,14,218,1600.2604813664595
Andover,-,1,373,320,695,3351.931289947705
Andover,-,2,378,413,795,3834.223561882626
Andover,-,3,403,393,800,3858.3381754793727
Andover,-,4,312,423,736,3549.671121441023
Andover,-,5,304,390,701,3380.8688262638
Andover,-,6,293,429,725,3496.618971528181
Andover,-,7,283,347,634,3057.733004067403
Andover,-,7A,81,98,179,863.3031667635096
Andover,-,8,374,477,854,4118.77600232423
Andover,-,9,327,427,759,3660.5983439860547
Andover,-,9A,2,4,6,28.937536316095294
Aquinnah,-,1,105,21,126,311.0
Arlington,-,1,300,69,377,1243.0497152531937
Arlington,-,2,457,164,625,2060.7588117592736
Arlington,-,3,504,105,612,2017.8950284746807
Arlington,-,4,462,111,576,1899.1953209173464
Arlington,-,5,341,114,457,1506.8268431583808
Arlington,-,6,442,119,565,1862.9259658303833
Arlington,-,7,391,120,514,1694.7680467908267
Arlington,-,8,634,132,771,2542.1520701862396
Arlington,-,9,453,164,622,2050.867169462829
Arlington,-,10,597,133,736,2426.7495767277205
Arlington,-,11,515,184,703,2317.941511466831
Arlington,-,12,639,215,858,2829.0096967831305
Arlington,-,13,347,288,636,2097.0281668462367
Arlington,-,14,467,134,604,1991.517315684162
Arlington,-,15,443,191,640,2110.217023241496
Arlington,-,16,512,190,708,2334.427581960905
Arlington,-,17,307,103,412,1358.452208711713
Arlington,-,18,404,270,679,2238.8083730952744
Arlington,-,19,514,187,705,2324.5359396644603
Arlington,-,20,489,134,624,2057.4615976604587
Arlington,-,21,437,127,570,1879.4120363244574
Ashburnham,-,1,530,752,1304,6081.0
Ashby,-,1,343,534,890,3074.0
Ashfield,-,1,423,121,547,1737.0
Ashland,-,1,308,229,540,2860.862068965517
Ashland,-,2,313,322,636,3369.4597701149423
Ashland,-,3,338,295,638,3380.055555555555
Ashland,-,4,406,258,668,3538.9923371647506
Ashland,-,5,351,295,650,3443.630268199234
Athol,-,1,220,378,603,4559.498694516971
Athol,-,2,177,263,445,3364.804177545692
Athol,-,3,206,276,484,3659.697127937337
Attleboro,1,A,198,200,402,3268.865137101287
Attleboro,1,B,183,221,406,3301.391158365977
Attleboro,2,A,260,311,572,4651.221040850587
Attleboro,2,B,210,241,453,3683.571908226077
Attleboro,3,A,252,274,528,4293.434806939004
Attleboro,3,B,275,301,576,4683.747062115277
Attleboro,4,A,161,172,337,2740.317291550084
Attleboro,4,B,250,373,623,5065.927811975378
Attleboro,5,A,127,102,233,1894.640738668159
Attleboro,5,B,183,243,429,3488.4157806379408
Attleboro,6,A,173,180,355,2886.684387241186
Attleboro,6,B,189,255,447,3634.782876329043
Auburn,-,1,288,416,709,3424.0131264916467
Auburn,-,2,285,427,714,3448.1599045346065
Auburn,-,3,290,439,730,3525.4295942720764
Auburn,-,4,253,347,605,2921.7601431980906
Auburn,-,5,219,372,594,2868.6372315035796
Avon,-,1,389,475,868,4356.0
Ayer,-,1,308,345,658,3866.2705696202534
Ayer,-,2,261,339,606,3560.7294303797466
Barnstable,-,1,568,701,1272,5068.8207389119125
Barnstable,-,2,349,568,921,3670.113129353673
Barnstable,-,3,274,339,616,2454.7119301648886
Barnstable,-,4,394,557,954,3801.6155541839344
Barnstable,-,5,429,782,1215,4841.680186932369
Barnstable,-,6,389,535,928,3698.0075831055465
Barnstable,-,7,507,700,1213,4833.710343003263
Barnstable,-,8,227,277,506,2016.3705140640157
Barnstable,-,9,172,127,302,1203.4464332951238
Barnstable,-,10,276,437,717,2857.1890485847807
Barnstable,-,11,448,657,1111,4427.2483026188165
Barnstable,-,12,322,545,870,3466.8821091614495
Barnstable,-,13,357,355,716,2853.2041266202273
Barre,-,1,213,359,572,3051.0434782608695
Barre,-,2,156,275,440,2346.9565217391305
Becket,-,1,266,109,375,1779.0
Bedford,-,1,514,366,891,3653.9778325123157
Bedford,-,2,353,325,681,2792.770935960591
Bedford,-,3,571,344,920,3772.9064039408863
Bedford,-,4,405,348,756,3100.344827586207
Belchertown,-,A,356,287,648,3787.929768555467
Belchertown,-,B,262,288,554,3238.4461292897045
Belchertown,-,C,286,346,634,3706.0917797286515
Belchertown,-,D,446,223,670,3916.532322426177
