City/Town,Ward,Pct,Edward J. Markey,Brian J. Herr,Total Votes Cast,pop by share of vote
Abington,-,1,548,479,1068,2887.1943176052764
Abington,-,2,564,483,1086,2935.854895991882
Abington,-,3,579,541,1172,3168.3443260612207
Abington,-,4,662,588,1304,3525.1885675629965
Abington,-,5,640,579,1283,3468.4178927786234
Acton,-,1,833,374,1244,3121.961538461538
Acton,-,2,869,517,1426,3578.7115384615386
Acton,-,3,1049,540,1640,4115.7692307692305
Acton,-,4,1110,456,1611,4042.9903846153848
Acton,-,5,1042,411,1506,3779.480769230769
Acton,-,6,798,476,1309,3285.0865384615386
Acushnet,-,1,639,321,1000,3275.993640699523
Acushnet,-,2,610,442,1109,3633.076947535771
Acushnet,-,3,575,421,1036,3393.929411764706
Adams,-,1,289,91,395,1497.5759606791778
Adams,-,2,335,110,460,1744.012511170688
Adams,-,3,313,99,431,1634.0638963360143
Adams,-,4,318,76,406,1539.2806076854333
Adams,-,5,410,117,546,2070.067024128686
Agawam,-,1,508,475,1046,2886.8544254658386
Agawam,-,2,730,741,1568,4327.521739130435
Agawam,-,3,599,513,1199,3309.1189829192544
Agawam,-,4,534,470,1059,2922.733113354037
Agawam,-,5,721,646,1469,4054.2917313664593
Agawam,-,6,554,595,1228,3389.156055900621
Agawam,-,7,609,651,1359,3750.7028338509317
Agawam,-,8,678,631,1376,3797.6211180124224
Alford,-,1,155,46,209,494.0
Amesbury,-,1,631,507,1184,3242.905298570227
Amesbury,-,2,570,323,926,2536.258704793944
Amesbury,-,3,606,421,1059,2900.5377628259043
Amesbury,-,4,492,346,870,2382.8780487804875
Amesbury,-,5,504,501,1037,2840.281076534903
Amesbury,-,6,525,309,869,2380.139108494533
Amherst,-,1,463,57,534,2545.4179480715907
Amherst,-,2,883,125,1037,4943.068187547266
Amherst,-,3,375,61,450,2145.01512477943
Amherst,-,4,313,63,387,1844.71300731031
Amherst,-,5,623,56,711,3389.1238971514995
Amherst,-,6,959,117,1110,5291.037307789261
Amherst,-,7,850,105,996,4747.633476178473
Amherst,-,8,1182,165,1392,6635.246785984372
Amherst,-,9,779,56,862,4108.895639021931
