City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Abington,-,1,"1,035",287,"1,435",,
Abington,-,2,973,236,"1,336",,
Abington,-,3,"1,078",299,"1,508",,
Abington,-,4,"1,170",274,"1,590",,
Acton,-,1,918,231,"1,272",,
Acton,-,2,"1,084",261,"1,490",,
Acton,-,3,"1,238",302,"1,748",,
Acton,-,4,"1,124",241,"1,517",,
Acton,-,5,"1,122",222,"1,495",,
Acton,-,6,"1,047",226,"1,427",,
Acushnet,-,1,958,129,"1,153",,
Acushnet,-,2,"1,069",166,"1,330",,
Acushnet,-,3,"1,055",135,"1,272",,
Adams,-,1,372,55,457,,
Adams,-,2,450,55,530,,
Adams,-,3,469,64,570,,
Adams,-,4,421,50,505,,
Adams,-,5,519,55,619,,
Agawam,-,1,742,198,"1,033",,
Agawam,-,2,919,250,"1,325",,
Agawam,-,3,867,202,"1,203",,
Agawam,-,4,820,219,"1,186",,
Agawam,-,5,"1,000",254,"1,430",,
Agawam,-,6,825,237,"1,201",,
Agawam,-,7,792,254,"1,157",,
Agawam,-,8,858,252,"1,261",,
Alford,-,1,157,28,218,,
Amesbury,-,1,758,202,"1,062",,
Amesbury,-,2,672,159,942,,
Amesbury,-,3,732,161,984,,
Amesbury,-,4,557,123,739,,
Amesbury,-,5,739,225,"1,070",,
Amesbury,-,6,607,143,826,,
Amherst,-,1,390,56,629,,
Amherst,-,2,794,87,"1,059",,
Amherst,-,3,256,33,359,,
Amherst,-,4,568,47,822,,
Amherst,-,5,450,49,661,,
Amherst,-,6,855,92,"1,165",,
Amherst,-,7,442,72,708,,
Amherst,-,8,"1,286",174,"1,803",,
Amherst,-,9,515,64,784,,
Amherst,-,10,61,8,73,,
Andover,-,1,"1,030",290,"1,508",,
Andover,-,2,960,294,"1,435",,
Andover,-,3,"1,043",332,"1,528",,
Andover,-,4,859,303,"1,319",,
Andover,-,5,999,328,"1,495",,
Andover,-,6,"1,012",344,"1,545",,
Andover,-,7,996,329,"1,516",,
Andover,-,8,"1,157",393,"1,804",,
Andover,-,9,"1,034",370,"1,588",,
Aquinnah,-,1,170,13,192,,
Arlington,-,1,484,90,644,,
Arlington,-,2,693,130,934,,
Arlington,-,3,701,105,912,,
Arlington,-,4,634,90,833,,
Arlington,-,5,672,97,860,,
Arlington,-,6,713,127,964,,
Arlington,-,7,636,107,849,,
Arlington,-,8,778,127,"1,120",,
Arlington,-,9,721,139,973,,
Arlington,-,10,800,135,"1,114",,
Arlington,-,11,782,144,"1,061",,
Arlington,-,12,939,125,"1,246",,
Arlington,-,13,784,190,"1,124",,
Arlington,-,14,741,124,984,,
Arlington,-,15,790,138,"1,056",,
Arlington,-,16,781,156,"1,076",,
Arlington,-,17,531,118,735,,
Arlington,-,18,820,171,"1,114",,
Arlington,-,19,820,135,"1,090",,
Arlington,-,20,681,125,964,,
Arlington,-,21,685,114,908,,
Ashburnham,-,1,"1,646",491,"2,306",,
Ashby,-,1,828,290,"1,231",,
Ashfield,-,1,558,110,798,,
Ashland,-,1,"1,249",284,"1,678",,
Ashland,-,2,"1,241",295,"1,667",,
Ashland,-,3,"1,111",251,"1,489",,
Ashland,-,4,"1,169",271,"1,591",,
Athol,-,1,835,222,"1,169",,
Athol,-,2,736,187,"1,010",,
Athol,-,3,693,152,925,,
Attleboro,1,A,766,162,"1,001",,
Attleboro,1,B,762,172,"1,005",,
Attleboro,2,A,804,248,"1,174",,
Attleboro,2,B,801,215,"1,101",,
Attleboro,3,A,717,205,"1,036",,
Attleboro,3,B,830,218,"1,173",,
Attleboro,4,A,414,102,574,,
Attleboro,4,B,892,255,"1,244",,
Attleboro,5,A,413,93,543,,
Attleboro,5,B,758,168,998,,
Attleboro,6,A,666,192,935,,
Attleboro,6,B,699,156,939,,
