City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,,,,,
Abington,-,1,"1,104",849,"1,971",,,,,
Abington,-,2,925,739,"1,691",,,,,
Abington,-,3,978,887,"1,886",,,,,
Abington,-,4,"1,185",972,"2,183",,,,,
Acton,-,1,"1,069",552,"1,668",,,,,
Acton,-,2,"1,128",645,"1,821",,,,,
Acton,-,3,"1,372",662,"2,083",,,,,
Acton,-,4,"1,190",557,"1,790",,,,,
Acton,-,5,"1,210",505,"1,748",,,,,
Acton,-,6,"1,094",564,"1,689",,,,,
Acushnet,-,1,"1,194",405,"1,636",,,,,
Acushnet,-,2,"1,316",652,"1,993",,,,,
Acushnet,-,3,"1,280",640,"1,945",,,,,
Adams,-,1,548,188,743,,,,,
Adams,-,2,642,195,852,,,,,
Adams,-,3,621,206,842,,,,,
Adams,-,4,550,183,738,,,,,
Adams,-,5,685,201,898,,,,,
Agawam,-,1,890,594,"1,527",,,,,
Agawam,-,2,979,848,"1,883",,,,,
Agawam,-,3,990,684,"1,712",,,,,
Agawam,-,4,930,690,"1,670",,,,,
Agawam,-,5,"1,107",809,"1,958",,,,,
Agawam,-,6,931,780,"1,783",,,,,
Agawam,-,7,881,772,"1,697",,,,,
Agawam,-,8,983,780,"1,801",,,,,
Alford,-,1,208,89,303,,,,,
Amesbury,-,1,862,648,"1,531",,,,,
Amesbury,-,2,719,508,"1,248",,,,,
Amesbury,-,3,800,524,"1,344",,,,,
Amesbury,-,4,625,449,"1,096",,,,,
Amesbury,-,5,792,681,"1,493",,,,,
Amesbury,-,6,791,418,"1,225",,,,,
Amherst,-,1,762,94,901,,,,,
Amherst,-,2,996,183,"1,216",,,,,
Amherst,-,3,610,99,729,,,,,
Amherst,-,4,649,71,735,,,,,
Amherst,-,5,845,129,"1,015",,,,,
Amherst,-,6,"1,318",223,"1,581",,,,,
Amherst,-,7,"1,279",182,"1,511",,,,,
Amherst,-,8,"1,416",258,"1,717",,,,,
Amherst,-,9,"1,251",163,"1,476",,,,,
Amherst,-,10,619,64,711,,,,,
Andover,-,1,"1,177",754,"1,972",,,,,
Andover,-,2,948,848,"1,825",,,,,
Andover,-,3,"1,107",814,"1,955",,,,,
Andover,-,4,850,816,"1,694",,,,,
Andover,-,5,971,930,"1,936",,,,,
Andover,-,6,941,960,"1,931",,,,,
Andover,-,7,"1,053",904,"1,993",,,,,
Andover,-,8,"1,144",965,"2,135",,,,,
Andover,-,9,"1,014",916,"1,969",,,,,
Aquinnah,-,1,270,22,296,,,,,
Arlington,-,1,649,189,853,,,,,
Arlington,-,2,812,327,"1,170",,,,,
Arlington,-,3,910,260,"1,202",,,,,
Arlington,-,4,812,218,"1,062",,,,,
Arlington,-,5,786,271,"1,085",,,,,
Arlington,-,6,907,289,"1,228",,,,,
Arlington,-,7,798,250,"1,072",,,,,
Arlington,-,8,"1,031",218,"1,276",,,,,
Arlington,-,9,828,336,"1,183",,,,,
Arlington,-,10,980,303,"1,309",,,,,
Arlington,-,11,832,375,"1,225",,,,,
Arlington,-,12,"1,012",353,"1,385",,,,,
Arlington,-,13,784,506,"1,307",,,,,
Arlington,-,14,892,264,"1,183",,,,,
Arlington,-,15,908,364,"1,296",,,,,
Arlington,-,16,883,318,"1,228",,,,,
Arlington,-,17,647,236,907,,,,,
Arlington,-,18,796,441,"1,252",,,,,
Arlington,-,19,893,358,"1,277",,,,,
Arlington,-,20,849,298,"1,179",,,,,
Arlington,-,21,847,254,"1,126",,,,,
Ashburnham,-,1,"1,654","1,426","3,126",,,,,
Ashby,-,1,829,891,"1,751",,,,,
Ashfield,-,1,839,236,"1,104",,,,,
Ashland,-,1,"1,205",771,"2,007",,,,,
Ashland,-,2,"1,185",828,"2,038",,,,,
Ashland,-,3,"1,109",690,"1,823",,,,,
Ashland,-,4,"1,230",757,"2,011",,,,,
Athol,-,1,902,751,"1,686",,,,,
Athol,-,2,768,701,"1,496",,,,,
Athol,-,3,805,643,"1,475",,,,,
Attleboro,1,A,884,600,"1,510",,,,,
Attleboro,1,B,855,645,"1,532",,,,,
Attleboro,2,A,892,719,"1,637",,,,,
Attleboro,2,B,950,792,"1,769",,,,,
Attleboro,3,A,790,597,"1,411",,,,,
Attleboro,3,B,909,837,"1,788",,,,,
Attleboro,4,A,570,481,"1,067",,,,,
Attleboro,4,B,989,828,"1,837",,,,,
Attleboro,5,A,542,316,880,,,,,
Attleboro,5,B,849,663,"1,537",,,,,
Attleboro,6,A,824,595,"1,453",,,,,
Attleboro,6,B,803,641,"1,463",,,,,
Auburn,-,1,"1,006",821,"1,843",,,,,
Auburn,-,2,"1,049",688,"1,756",,,,,
Auburn,-,3,996,801,"1,819",,,,,
Auburn,-,4,"1,005",711,"1,735",,,,,
Auburn,-,5,946,717,"1,685",,,,,
Avon,-,1,"1,357","1,046","2,453",,,,,
Ayer,-,1,849,702,"1,580",,,,,
Ayer,-,2,767,614,"1,405",,,,,
Barnstable,-,1,"1,251","1,168","2,462",,,,,
Barnstable,-,2,"1,108",974,"2,112",,,,,
Barnstable,-,3,923,712,"1,665",,,,,
Barnstable,-,4,"1,009","1,053","2,093",,,,,
Barnstable,-,5,990,"1,209","2,243",,,,,
