City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Abington,-,1,894,518,"1,459",
Abington,-,2,775,466,"1,291",
Abington,-,3,869,543,"1,450",
Abington,-,4,"1,100",598,"1,747",
Acton,-,1,850,372,"1,266",
Acton,-,2,901,393,"1,437",
Acton,-,3,"1,154",480,"1,696",
Acton,-,4,"1,043",404,"1,500",
Acton,-,5,"1,031",377,"1,466",
Acton,-,6,877,404,"1,346",
Acushnet,-,1,924,238,"1,199",
Acushnet,-,2,"1,006",370,"1,419",
Acushnet,-,3,984,362,"1,382",
Adams,-,1,397,87,494,
Adams,-,2,472,90,579,
Adams,-,3,449,106,571,
Adams,-,4,403,77,491,
Adams,-,5,533,95,651,
Agawam,-,1,704,362,"1,109",
Agawam,-,2,885,553,"1,504",
Agawam,-,3,849,441,"1,342",
Agawam,-,4,773,421,"1,246",
Agawam,-,5,877,515,"1,454",
Agawam,-,6,737,504,"1,296",
Agawam,-,7,730,485,"1,266",
Agawam,-,8,774,527,"1,339",
Alford,-,1,183,48,256,
Amesbury,-,1,721,456,"1,221",
Amesbury,-,2,614,287,927,
Amesbury,-,3,700,315,"1,042",
Amesbury,-,4,480,265,761,
Amesbury,-,5,701,448,"1,182",
Amesbury,-,6,600,249,866,
Amherst,-,1,461,51,521,
Amherst,-,2,830,94,955,
Amherst,-,3,345,48,406,
Amherst,-,3A,88,13,104,
Amherst,-,4,323,34,366,
Amherst,-,4A,94,5,103,
Amherst,-,5,631,67,720,
Amherst,-,6,"1,042",140,"1,206",
Amherst,-,7,822,121,967,
Amherst,-,8,"1,264",184,"1,489",
Amherst,-,9,844,72,937,
Amherst,-,9A,0,0,0,
Amherst,-,10,323,27,358,
Amherst,-,10A,84,8,96,
Andover,-,1,933,510,"1,493",
Andover,-,2,802,543,"1,395",
Andover,-,3,952,559,"1,563",
Andover,-,4,742,518,"1,320",
Andover,-,5,851,588,"1,478",
Andover,-,6,815,628,"1,504",
Andover,-,7,897,588,"1,542",
Andover,-,8,959,675,"1,679",
Andover,-,9,884,584,"1,511",
Aquinnah,-,1,197,15,214,
Arlington,-,1,491,114,626,
Arlington,-,2,693,227,949,
Arlington,-,3,709,140,880,
Arlington,-,4,680,131,833,
Arlington,-,5,668,168,857,
Arlington,-,6,728,183,937,
Arlington,-,7,637,175,841,
Arlington,-,8,893,175,"1,089",
Arlington,-,9,756,221,"1,011",
Arlington,-,10,855,221,"1,105",
Arlington,-,11,780,233,"1,040",
Arlington,-,12,939,249,"1,227",
Arlington,-,13,690,339,"1,067",
Arlington,-,14,719,185,940,
Arlington,-,15,813,230,"1,089",
Arlington,-,16,820,240,"1,100",
Arlington,-,17,466,141,619,
Arlington,-,18,714,296,"1,043",
Arlington,-,19,818,217,"1,066",
Arlington,-,20,745,177,953,
Arlington,-,21,731,179,939,
Ashburnham,-,1,"1,408",907,"2,376",
Ashby,-,1,716,587,"1,346",
Ashfield,-,1,711,154,886,
Ashland,-,1,"1,035",504,"1,580",
Ashland,-,2,"1,059",554,"1,651",
Ashland,-,3,911,429,"1,383",
Ashland,-,4,"1,001",422,"1,466",
Athol,-,1,785,432,"1,257",
Athol,-,2,599,393,"1,013",
Athol,-,3,646,331,"1,001",
Attleboro,1,A,681,361,"1,062",
Attleboro,1,B,681,356,"1,062",
Attleboro,2,A,725,464,"1,223",
Attleboro,2,B,812,497,"1,332",
Attleboro,3,A,643,377,"1,041",
Attleboro,3,B,834,480,"1,352",
Attleboro,4,A,470,255,747,
Attleboro,4,B,801,554,"1,395",
Attleboro,5,A,403,184,597,
Attleboro,5,B,679,383,"1,090",
Attleboro,6,A,630,357,"1,012",
Attleboro,6,B,660,417,"1,099",
Auburn,-,1,808,473,"1,334",
Auburn,-,2,808,422,"1,277",
Auburn,-,3,891,436,"1,372",
Auburn,-,4,817,398,"1,250",
Auburn,-,5,799,412,"1,261",
Avon,-,1,"1,187",590,"1,847",
Ayer,-,1,820,449,"1,306",
Ayer,-,2,673,392,"1,089",
Barnstable,-,1,"1,139",850,"2,030",
Barnstable,-,2,"1,040",628,"1,709",
Barnstable,-,3,795,444,"1,256",
Barnstable,-,4,958,660,"1,646",
Barnstable,-,5,935,815,"1,796",
Barnstable,-,6,957,640,"1,630",
Barnstable,-,7,"1,141",779,"1,964",
Barnstable,-,8,623,345,990,
Barnstable,-,9,520,175,704,
Barnstable,-,10,931,631,"1,596",
Barnstable,-,11,"1,077",825,"1,939",
Barnstable,-,12,912,563,"1,497",
Barnstable,-,13,767,378,"1,165",
Barre,-,1,679,373,"1,082",
Barre,-,2,552,338,918,
Becket,-,1,418,155,588,
Bedford,-,1,"1,044",480,"1,561",
Bedford,-,2,728,348,"1,118",
Bedford,-,3,"1,069",509,"1,631",
Bedford,-,4,878,485,"1,400",
