City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,,,,,,
Abington,-,1,"1,028",885,"1,969",,,,,,
Abington,-,2,861,782,"1,704",,,,,,
Abington,-,3,954,918,"1,913",,,,,,
Abington,-,4,"1,251","1,180","2,511",,,,,,
Acton,-,1,"1,351",592,"1,994",,,,,,
Acton,-,2,"1,260",593,"1,890",,,,,,
Acton,-,3,"1,424",666,"2,130",,,,,,
Acton,-,4,"1,342",527,"1,918",,,,,,
Acton,-,5,"1,358",484,"1,885",,,,,,
Acton,-,6,"1,159",615,"1,818",,,,,,
Acushnet,-,1,"1,002",530,"1,608",,,,,,
Acushnet,-,2,"1,094",781,"1,966",,,,,,
Acushnet,-,3,"1,136",799,"2,019",,,,,,
Adams,-,1,561,159,743,,,,,,
Adams,-,2,645,181,859,,,,,,
Adams,-,3,564,201,803,,,,,,
Adams,-,4,590,142,751,,,,,,
Adams,-,5,706,210,943,,,,,,
Agawam,-,1,784,662,"1,510",,,,,,
Agawam,-,2,993,937,"1,994",,,,,,
Agawam,-,3,983,714,"1,765",,,,,,
Agawam,-,4,891,729,"1,686",,,,,,
Agawam,-,5,"1,029",867,"1,949",,,,,,
Agawam,-,6,932,875,"1,874",,,,,,
Agawam,-,7,927,809,"1,788",,,,,,
Agawam,-,8,"1,056",835,"1,944",,,,,,
Alford,-,1,261,57,323,,,,,,
Amesbury,-,1,982,705,"1,727",,,,,,
Amesbury,-,2,817,510,"1,371",,,,,,
Amesbury,-,3,942,512,"1,492",,,,,,
Amesbury,-,4,632,436,"1,099",,,,,,
Amesbury,-,5,902,676,"1,621",,,,,,
Amesbury,-,6,836,383,"1,261",,,,,,
Amherst,-,1,796,90,930,,,,,,
Amherst,-,2,"1,023",136,"1,191",,,,,,
Amherst,-,3,828,106,970,,,,,,
Amherst,-,3A,0,0,0,,,,,,
Amherst,-,4,973,117,"1,113",,,,,,
Amherst,-,4A,0,0,0,,,,,,
Amherst,-,5,956,108,"1,098",,,,,,
Amherst,-,6,"1,481",171,"1,703",,,,,,
Amherst,-,7,"1,252",159,"1,454",,,,,,
Amherst,-,8,"1,659",215,"1,926",,,,,,
Amherst,-,9,"1,391",126,"1,599",,,,,,
Amherst,-,9A,0,0,0,,,,,,
Amherst,-,10,839,79,953,,,,,,
Amherst,-,10A,0,0,0,,,,,,
Andover,-,1,"1,242",711,"1,986",,,,,,
Andover,-,2,"1,075",848,"1,965",,,,,,
Andover,-,3,"1,280",824,"2,145",,,,,,
Andover,-,4,"1,020",828,"1,881",,,,,,
Andover,-,5,"1,075",904,"2,024",,,,,,
Andover,-,6,"1,041",944,"2,022",,,,,,
Andover,-,7,"1,107",911,"2,071",,,,,,
Andover,-,8,"1,190",947,"2,175",,,,,,
Andover,-,9,"1,147",881,"2,075",,,,,,
Aquinnah,-,1,280,26,313,,,,,,
Arlington,-,1,622,186,832,,,,,,
Arlington,-,2,860,318,"1,214",,,,,,
Arlington,-,3,927,214,"1,177",,,,,,
Arlington,-,4,867,209,"1,113",,,,,,
Arlington,-,5,807,317,"1,162",,,,,,
Arlington,-,6,955,248,"1,249",,,,,,
Arlington,-,7,819,235,"1,082",,,,,,
Arlington,-,8,"1,085",218,"1,344",,,,,,
Arlington,-,9,863,377,"1,285",,,,,,
Arlington,-,10,"1,014",275,"1,315",,,,,,
Arlington,-,11,855,391,"1,275",,,,,,
Arlington,-,12,"1,027",362,"1,421",,,,,,
Arlington,-,13,737,541,"1,308",,,,,,
Arlington,-,14,875,245,"1,165",,,,,,
Arlington,-,15,953,404,"1,386",,,,,,
Arlington,-,16,923,316,"1,273",,,,,,
Arlington,-,17,637,187,854,,,,,,
Arlington,-,18,799,450,"1,275",,,,,,
Arlington,-,19,911,365,"1,305",,,,,,
Arlington,-,20,917,274,"1,227",,,,,,
Arlington,-,21,912,275,"1,226",,,,,,
Ashburnham,-,1,"1,787","1,486","3,390",,,,,,
Ashby,-,1,885,932,"1,881",,,,,,
Ashfield,-,1,903,198,"1,136",,,,,,
Ashland,-,1,"1,317",816,"2,188",,,,,,
Ashland,-,2,"1,227",910,"2,204",,,,,,
Ashland,-,3,"1,222",726,"2,000",,,,,,
Ashland,-,4,"1,294",732,"2,088",,,,,,
Athol,-,1,977,721,"1,761",,,,,,
Athol,-,2,808,676,"1,541",,,,,,
Athol,-,3,862,559,"1,469",,,,,,
Attleboro,1,A,857,655,"1,570",,,,,,
Attleboro,1,B,858,714,"1,623",,,,,,
Attleboro,2,A,888,716,"1,641",,,,,,
Attleboro,2,B,"1,074",903,"2,024",,,,,,
Attleboro,3,A,839,581,"1,462",,,,,,
Attleboro,3,B,"1,048",830,"1,923",,,,,,
Attleboro,4,A,674,433,"1,148",,,,,,
Attleboro,4,B,"1,042",870,"1,963",,,,,,
