City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,,
Abington,-,1,"1,143",706,"1,969",,
Abington,-,2,969,617,"1,704",,
Abington,-,3,"1,080",734,"1,913",,
Abington,-,4,"1,425",951,"2,511",,
Acton,-,1,"1,295",594,"1,994",,
Acton,-,2,"1,242",563,"1,890",,
Acton,-,3,"1,397",638,"2,130",,
Acton,-,4,"1,320",506,"1,918",,
Acton,-,5,"1,274",513,"1,885",,
Acton,-,6,"1,153",568,"1,818",,
Acushnet,-,1,"1,095",374,"1,608",,
Acushnet,-,2,"1,222",586,"1,966",,
Acushnet,-,3,"1,263",566,"2,019",,
Adams,-,1,574,122,743,,
Adams,-,2,678,135,859,,
Adams,-,3,610,143,803,,
Adams,-,4,609,98,751,,
Adams,-,5,722,164,943,,
Agawam,-,1,892,509,"1,510",,
Agawam,-,2,"1,111",728,"1,994",,
Agawam,-,3,"1,103",534,"1,765",,
Agawam,-,4,988,546,"1,686",,
Agawam,-,5,"1,127",688,"1,949",,
Agawam,-,6,"1,052",665,"1,874",,
Agawam,-,7,"1,017",651,"1,788",,
Agawam,-,8,"1,125",678,"1,944",,
Alford,-,1,253,56,323,,
Amesbury,-,1,971,661,"1,727",,
Amesbury,-,2,845,428,"1,371",,
Amesbury,-,3,953,466,"1,492",,
Amesbury,-,4,641,365,"1,099",,
Amesbury,-,5,907,588,"1,621",,
Amesbury,-,6,825,343,"1,261",,
Amherst,-,1,772,74,930,,
Amherst,-,2,981,117,"1,191",,
Amherst,-,3,787,84,970,,
Amherst,-,3A,0,0,0,,
Amherst,-,4,937,106,"1,113",,
Amherst,-,4A,0,0,0,,
Amherst,-,5,915,95,"1,098",,
Amherst,-,6,"1,431",159,"1,703",,
Amherst,-,7,"1,200",138,"1,454",,
Amherst,-,8,"1,630",199,"1,926",,
Amherst,-,9,"1,335",101,"1,599",,
Amherst,-,9A,0,0,0,,
Amherst,-,10,806,69,953,,
Amherst,-,10A,0,0,0,,
Andover,-,1,"1,224",664,"1,986",,
Andover,-,2,"1,082",779,"1,965",,
Andover,-,3,"1,290",736,"2,145",,
Andover,-,4,"1,048",729,"1,881",,
Andover,-,5,"1,101",804,"2,024",,
Andover,-,6,"1,074",834,"2,022",,
Andover,-,7,"1,154",810,"2,071",,
Andover,-,8,"1,186",882,"2,175",,
Andover,-,9,"1,157",828,"2,075",,
Aquinnah,-,1,258,35,313,,
Arlington,-,1,634,150,832,,
Arlington,-,2,865,266,"1,214",,
Arlington,-,3,931,178,"1,177",,
Arlington,-,4,856,186,"1,113",,
Arlington,-,5,845,242,"1,162",,
Arlington,-,6,936,218,"1,249",,
Arlington,-,7,829,207,"1,082",,
Arlington,-,8,"1,066",209,"1,344",,
Arlington,-,9,909,314,"1,285",,
Arlington,-,10,984,249,"1,315",,
Arlington,-,11,881,345,"1,275",,
Arlington,-,12,"1,041",318,"1,421",,
Arlington,-,13,798,456,"1,308",,
Arlington,-,14,883,225,"1,165",,
Arlington,-,15,993,314,"1,386",,
Arlington,-,16,917,303,"1,273",,
Arlington,-,17,632,176,854,,
Arlington,-,18,845,372,"1,275",,
Arlington,-,19,926,305,"1,305",,
Arlington,-,20,916,245,"1,227",,
Arlington,-,21,897,260,"1,226",,
Ashburnham,-,1,"1,865","1,288","3,390",,
Ashby,-,1,947,796,"1,881",,
Ashfield,-,1,893,172,"1,136",,
Ashland,-,1,"1,400",669,"2,188",,
Ashland,-,2,"1,323",758,"2,204",,
Ashland,-,3,"1,248",652,"2,000",,
Ashland,-,4,"1,338",626,"2,088",,
Athol,-,1,"1,024",623,"1,761",,
Athol,-,2,894,537,"1,541",,
Athol,-,3,874,487,"1,469",,
Attleboro,1,A,980,497,"1,570",,
Attleboro,1,B,"1,006",495,"1,623",,
Attleboro,2,A,969,575,"1,641",,
Attleboro,2,B,"1,228",644,"2,024",,
Attleboro,3,A,904,488,"1,462",,
Attleboro,3,B,"1,152",672,"1,923",,
Attleboro,4,A,725,340,"1,148",,
Attleboro,4,B,"1,163",682,"1,963",,
Attleboro,5,A,640,224,930,,
Attleboro,5,B,"1,014",504,"1,623",,
Attleboro,6,A,934,469,"1,502",,
Attleboro,6,B,"1,018",563,"1,676",,
Auburn,-,1,"1,024",702,"1,844",,
Auburn,-,2,"1,035",575,"1,755",,
Auburn,-,3,"1,131",618,"1,859",,
Auburn,-,4,996,619,"1,745",,
Auburn,-,5,980,623,"1,747",,
Avon,-,1,"1,410",842,"2,424",,
Ayer,-,1,"1,026",666,"1,809",,
Ayer,-,2,879,619,"1,585",,
Barnstable,-,1,"1,272","1,136","2,512",,
Barnstable,-,2,"1,096",878,"2,053",,
Barnstable,-,3,899,631,"1,600",,
Barnstable,-,4,959,916,"1,976",,
Barnstable,-,5,962,"1,090","2,139",,
Barnstable,-,6,"1,123",896,"2,092",,
Barnstable,-,7,"1,193","1,119","2,410",,
Barnstable,-,8,757,466,"1,291",,
Barnstable,-,9,665,286,"1,009",,
Barnstable,-,10,"1,101",944,"2,136",,
Barnstable,-,11,"1,217","1,114","2,416",,
Barnstable,-,12,"1,020",877,"1,979",,
Barnstable,-,13,907,603,"1,596",,
Barre,-,1,779,548,"1,438",,
Barre,-,2,699,476,"1,271",,
Becket,-,1,659,223,959,,
Bedford,-,1,"1,237",653,"1,991",,
Bedford,-,2,903,509,"1,498",,
Bedford,-,3,"1,343",679,"2,114",,
Bedford,-,4,"1,054",660,"1,832",,
Belchertown,-,A,"1,147",504,"1,779",,
Belchertown,-,B,"1,239",611,"1,985",,
Belchertown,-,C,"1,335",704,"2,184",,
Belchertown,-,D,"1,251",417,"1,785",,
Bellingham,-,1,988,628,"1,715",,
Bellingham,-,2,870,559,"1,515",,
Bellingham,-,3,"1,047",584,"1,744",,
Bellingham,-,4,"1,044",724,"1,907",,
Bellingham,-,5,953,477,"1,532",,
Belmont,-,1,"1,244",472,"1,820",,
Belmont,-,2,"1,171",649,"1,910",,
Belmont,-,3,"1,072",360,"1,530",,
Belmont,-,4,"1,057",359,"1,499",,
Belmont,-,5,"1,130",455,"1,686",,
Belmont,-,6,"1,283",409,"1,794",,
Belmont,-,7,"1,152",407,"1,667",,
Belmont,-,8,"1,135",642,"1,906",,
Berkley,-,1,"1,812","1,158","3,275",,
Berlin,-,1,876,663,"1,653",,
Bernardston,-,1,850,314,"1,245",,
Beverly,1,1,960,493,"1,538",,
Beverly,1,2,"1,169",596,"1,884",,
Beverly,2,1,999,374,"1,475",,
Beverly,2,2,"1,049",446,"1,619",,
Beverly,3,1,786,311,"1,177",,
Beverly,3,2,"1,001",474,"1,550",,
Beverly,4,1,"1,051",532,"1,683",,
Beverly,4,2,"1,355",545,"2,005",,
Beverly,5,1,"1,069",629,"1,799",,
Beverly,5,2,"1,109",647,"1,840",,
Beverly,6,1,"1,133",709,"1,959",,
Beverly,6,2,"1,185",812,"2,085",,
Billerica,-,1,"1,014",587,"1,722",,
Billerica,-,2,"1,043",648,"1,814",,
Billerica,-,3,"1,041",653,"1,791",,
Billerica,-,4,"1,032",673,"1,827",,
Billerica,-,5,"1,067",818,"2,019",,
Billerica,-,6,845,581,"1,510",,
Billerica,-,7,"1,016",677,"1,811",,
Billerica,-,8,977,750,"1,858",,
Billerica,-,9,939,668,"1,700",,
Billerica,-,10,"1,027",700,"1,861",,
Billerica,-,11,884,636,"1,633",,
Blackstone,-,1,787,387,"1,252",,
Blackstone,-,2,861,458,"1,420",,
Blackstone,-,3,896,594,"1,598",,
Blandford,-,1,350,280,701,,
Bolton,-,1,"1,584","1,148","2,895",,
Boston,1,1,512,138,715,,
Boston,1,2,359,106,513,,
Boston,1,3,790,165,"1,062",,
Boston,1,4,199,66,302,,
Boston,1,5,400,108,572,,
Boston,1,6,364,92,509,,
Boston,1,7,476,78,627,,
Boston,1,8,523,132,790,,
Boston,1,9,348,95,492,,
Boston,1,10,247,60,345,,
Boston,1,11,558,216,856,,
Boston,1,12,595,248,920,,
Boston,1,13,737,220,"1,035",,
Boston,1,14,355,150,557,,
Boston,1,15,0,0,0,,
Boston,2,1,872,390,"1,361",,
Boston,2,2,"1,004",337,"1,446",,
Boston,2,3,741,332,"1,125",,
Boston,2,4,610,243,914,,
Boston,2,5,774,314,"1,152",,
Boston,2,6,869,342,"1,319",,
Boston,2,7,558,290,912,,
Boston,3,1,"1,526",561,"2,251",,
Boston,3,2,699,256,"1,043",,
Boston,3,3,710,206,"1,011",,
Boston,3,4,738,250,"1,086",,
Boston,3,5,"1,279",419,"1,832",,
Boston,3,6,"1,477",525,"2,133",,
Boston,3,7,"1,883",275,"2,293",,
Boston,3,8,"1,411",406,"2,101",,
Boston,4,1,"1,100",234,"1,420",,
Boston,4,2,"1,343",352,"1,812",,
Boston,4,3,764,119,921,,
Boston,4,4,"1,146",153,"1,393",,
Boston,4,5,789,152,"1,017",,
Boston,4,6,700,129,897,,
Boston,4,7,790,124,997,,
Boston,4,8,654,92,826,,
Boston,4,9,433,20,500,,
Boston,4,10,376,40,461,,
Boston,5,1,"1,638",391,"2,301",,
Boston,5,2,"1,174",179,"1,475",,
Boston,5,3,929,320,"1,317",,
Boston,5,4,"1,152",260,"1,519",,
Boston,5,5,368,107,505,,
Boston,5,6,793,320,"1,189",,
Boston,5,7,"1,072",393,"1,552",,
Boston,5,8,976,358,"1,420",,
Boston,5,9,"1,356",420,"1,881",,
Boston,5,10,999,218,"1,316",,
Boston,5,11,634,168,851,,
Boston,6,1,"1,188",327,"1,628",,
Boston,6,2,523,164,761,,
Boston,6,3,625,264,952,,
Boston,6,4,694,268,"1,050",,
Boston,6,5,623,278,994,,
Boston,6,6,577,337,989,,
Boston,6,7,616,283,980,,
Boston,6,8,586,336,"1,011",,
Boston,6,9,528,404,"1,018",,
Boston,7,1,524,333,934,,
Boston,7,2,629,424,"1,138",,
