City/Town,Ward,Pct,Scott P. Brown,Martha Coakley,Total Votes Cast,,
Abington,-,1,"1,021",518,"1,554",,
Abington,-,2,824,464,"1,304",,
Abington,-,3,"1,021",488,"1,526",,
Abington,-,4,"1,297",618,"1,929",,
Acton,-,1,605,861,"1,472",,
Acton,-,2,698,843,"1,550",,
Acton,-,3,731,"1,046","1,799",,
Acton,-,4,619,922,"1,559",,
Acton,-,5,570,921,"1,501",,
Acton,-,6,678,782,"1,472",,
Acushnet,-,1,559,499,"1,072",,
Acushnet,-,2,784,580,"1,378",,
Acushnet,-,3,796,548,"1,362",,
Adams,-,1,131,278,416,,
Adams,-,2,174,340,518,,
Adams,-,3,150,339,491,,
Adams,-,4,115,287,408,,
Adams,-,5,178,407,592,,
Agawam,-,1,714,397,"1,132",,
Agawam,-,2,"1,036",475,"1,531",,
Agawam,-,3,765,458,"1,241",,
Agawam,-,4,706,425,"1,157",,
Agawam,-,5,900,516,"1,437",,
Agawam,-,6,879,417,"1,310",,
Agawam,-,7,847,451,"1,316",,
Agawam,-,8,879,522,"1,421",,
Alford,-,1,68,157,227,,
Amesbury,-,1,792,521,"1,320",,
Amesbury,-,2,518,384,913,,
Amesbury,-,3,602,500,"1,117",,
Amesbury,-,4,422,292,725,,
Amesbury,-,5,753,429,"1,195",,
Amesbury,-,6,394,418,834,,
Amherst,-,1,73,440,520,,
Amherst,-,2,144,771,919,,
Amherst,-,3,68,398,470,,
Amherst,-,3A,0,0,0,,
Amherst,-,4,73,350,425,,
Amherst,-,4A,0,0,0,,
Amherst,-,5,94,625,727,,
Amherst,-,6,183,987,"1,176",,
Amherst,-,7,141,761,913,,
Amherst,-,8,226,"1,208","1,445",,
Amherst,-,9,124,675,810,,
Amherst,-,9A,0,0,0,,
Amherst,-,10,54,339,397,,
Amherst,-,10A,0,0,0,,
Andover,-,1,729,782,"1,524",,
Andover,-,2,896,600,"1,504",,
Andover,-,3,932,764,"1,709",,
Andover,-,4,924,530,"1,461",,
Andover,-,5,941,607,"1,554",,
Andover,-,6,970,553,"1,528",,
Andover,-,7,968,649,"1,632",,
Andover,-,8,"1,025",753,"1,788",,
Andover,-,9,953,667,"1,632",,
Aquinnah,-,1,42,150,193,,
Arlington,-,1,175,421,599,,
Arlington,-,2,323,621,957,,
Arlington,-,3,233,639,879,,
Arlington,-,4,237,595,846,,
Arlington,-,5,324,567,899,,
Arlington,-,6,274,687,971,,
Arlington,-,7,229,548,786,,
Arlington,-,8,231,868,"1,108",,
Arlington,-,9,389,608,"1,003",,
Arlington,-,10,325,758,"1,092",,
Arlington,-,11,431,614,"1,052",,
Arlington,-,12,391,833,"1,236",,
Arlington,-,13,576,513,"1,094",,
Arlington,-,14,278,650,937,,
Arlington,-,15,406,716,"1,136",,
Arlington,-,16,372,705,"1,084",,
Arlington,-,17,177,389,575,,
Arlington,-,18,498,565,"1,074",,
Arlington,-,19,369,703,"1,083",,
Arlington,-,20,306,635,950,,
Arlington,-,21,303,652,962,,
Ashburnham,-,1,"1,575",866,"2,469",,
Ashby,-,1,949,475,"1,440",,
Ashfield,-,1,212,671,895,,
Ashland,-,1,887,738,"1,637",,
Ashland,-,2,986,738,"1,742",,
Ashland,-,3,781,686,"1,479",,
Ashland,-,4,816,735,"1,570",,
Athol,-,1,828,450,"1,302",,
Athol,-,2,711,341,"1,077",,
Athol,-,3,568,380,969,,
Attleboro,1,A,707,382,"1,100",,
Attleboro,1,B,713,397,"1,119",,
Attleboro,2,A,760,432,"1,200",,
Attleboro,2,B,967,497,"1,472",,
Attleboro,3,A,653,427,"1,091",,
Attleboro,3,B,882,537,"1,432",,
