City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,,,,
Abington,-,1,844,705,"1,571",,,,
Abington,-,2,742,741,"1,520",,,,
Abington,-,3,815,801,"1,648",,,,
Abington,-,4,899,904,"1,830",,,,
Abington,-,5,844,910,"1,774",,,,
Acton,-,1,"1,228",583,"1,845",,,,
Acton,-,2,"1,216",722,"1,978",,,,
Acton,-,3,"1,378",699,"2,143",,,,
Acton,-,4,"1,462",636,"2,149",,,,
Acton,-,5,"1,454",565,"2,071",,,,
Acton,-,6,"1,134",670,"1,836",,,,
Acushnet,-,1,"1,034",574,"1,669",,,,
Acushnet,-,2,959,803,"1,821",,,,
Acushnet,-,3,"1,053",819,"1,908",,,,
Adams,-,1,525,164,708,,,,
Adams,-,2,607,172,801,,,,
Adams,-,3,582,169,768,,,,
Adams,-,4,590,129,740,,,,
Adams,-,5,709,185,914,,,,
Agawam,-,1,850,665,"1,546",,,,
Agawam,-,2,952,"1,042","2,034",,,,
Agawam,-,3,890,821,"1,746",,,,
Agawam,-,4,856,751,"1,640",,,,
Agawam,-,5,"1,027",941,"2,008",,,,
Agawam,-,6,820,868,"1,730",,,,
Agawam,-,7,900,869,"1,802",,,,
Agawam,-,8,993,913,"1,937",,,,
Alford,-,1,233,64,306,,,,
Amesbury,-,1,863,718,"1,608",,,,
Amesbury,-,2,889,519,"1,438",,,,
Amesbury,-,3,890,609,"1,554",,,,
Amesbury,-,4,734,455,"1,263",,,,
Amesbury,-,5,711,677,"1,408",,,,
Amesbury,-,6,776,449,"1,252",,,,
Amherst,-,1,958,149,"1,199",,,,
Amherst,-,2,"1,512",212,"1,817",,,,
Amherst,-,3,"1,054",177,"1,310",,,,
Amherst,-,4,"1,043",275,"1,367",,,,
Amherst,-,5,"1,240",131,"1,419",,,,
Amherst,-,6,"1,475",211,"1,765",,,,
Amherst,-,7,"1,376",159,"1,600",,,,
Amherst,-,8,"1,797",231,"2,129",,,,
Amherst,-,9,"1,409",167,"1,706",,,,
Amherst,-,10,934,199,"1,208",,,,
Andover,-,1,945,704,"1,678",,,,
Andover,-,2,"1,087","1,090","2,212",,,,
Andover,-,3,"1,172",957,"2,171",,,,
Andover,-,4,"1,020","1,010","2,064",,,,
Andover,-,5,"1,045","1,048","2,138",,,,
Andover,-,6,988,"1,126","2,141",,,,
Andover,-,7,782,873,"1,689",,,,
Andover,-,7A,252,213,477,,,,
Andover,-,8,"1,072","1,044","2,155",,,,
Andover,-,9,"1,035","1,024","2,094",,,,
Andover,-,9A,3,7,11,,,,
Aquinnah,-,1,252,38,299,,,,
Arlington,-,1,731,189,959,,,,
Arlington,-,2,941,340,"1,313",,,,
Arlington,-,3,990,222,"1,261",,,,
Arlington,-,4,948,237,"1,227",,,,
Arlington,-,5,857,306,"1,194",,,,
Arlington,-,6,921,230,"1,188",,,,
Arlington,-,7,864,268,"1,175",,,,
Arlington,-,8,"1,100",237,"1,375",,,,
Arlington,-,9,871,328,"1,229",,,,
Arlington,-,10,"1,033",275,"1,350",,,,
Arlington,-,11,875,419,"1,319",,,,
Arlington,-,12,"1,001",382,"1,418",,,,
Arlington,-,13,737,586,"1,347",,,,
Arlington,-,14,879,291,"1,204",,,,
Arlington,-,15,842,380,"1,249",,,,
Arlington,-,16,878,315,"1,216",,,,
Arlington,-,17,789,224,"1,046",,,,
Arlington,-,18,805,505,"1,340",,,,
Arlington,-,19,969,371,"1,370",,,,
Arlington,-,20,928,308,"1,266",,,,
Arlington,-,21,891,281,"1,207",,,,
Ashburnham,-,1,"1,632","1,535","3,254",,,,
Ashby,-,1,827,961,"1,843",,,,
Ashfield,-,1,892,187,"1,130",,,,
Ashland,-,1,952,668,"1,661",,,,
Ashland,-,2,948,769,"1,747",,,,
Ashland,-,3,978,697,"1,711",,,,
Ashland,-,4,"1,130",623,"1,795",,,,
Ashland,-,5,971,652,"1,661",,,,
Athol,-,1,878,810,"1,738",,,,
Athol,-,2,758,671,"1,476",,,,
Athol,-,3,907,598,"1,556",,,,
Attleboro,1,A,837,687,"1,568",,,,
Attleboro,1,B,859,754,"1,650",,,,
Attleboro,2,A,958,813,"1,801",,,,
Attleboro,2,B,911,833,"1,807",,,,
Attleboro,3,A,931,659,"1,624",,,,
Attleboro,3,B,939,788,"1,772",,,,
Attleboro,4,A,796,496,"1,322",,,,
Attleboro,4,B,"1,009",994,"2,034",,,,
Attleboro,5,A,633,296,970,,,,
Attleboro,5,B,908,725,"1,664",,,,
Attleboro,6,A,843,658,"1,531",,,,
Attleboro,6,B,878,767,"1,686",,,,
Auburn,-,1,910,873,"1,835",,,,
Auburn,-,2,939,806,"1,791",,,,
Auburn,-,3,964,905,"1,910",,,,
Auburn,-,4,910,740,"1,706",,,,
Auburn,-,5,797,797,"1,630",,,,
Avon,-,1,"1,222","1,131","2,413",,,,
Ayer,-,1,"1,020",777,"1,838",,,,
Ayer,-,2,"1,005",781,"1,830",,,,
Barnstable,-,1,"1,248","1,233","2,524",,,,
Barnstable,-,2,"1,017","1,033","2,078",,,,
Barnstable,-,3,974,649,"1,657",,,,
Barnstable,-,4,969,"1,001","2,008",,,,
Barnstable,-,5,988,"1,356","2,370",,,,
Barnstable,-,6,"1,042","1,053","2,127",,,,
Barnstable,-,7,"1,120","1,156","2,318",,,,
Barnstable,-,8,844,544,"1,423",,,,
Barnstable,-,9,658,299,978,,,,
Barnstable,-,10,916,992,"1,939",,,,
Barnstable,-,11,"1,156","1,240","2,432",,,,
Barnstable,-,12,"1,060","1,118","2,210",,,,
Barnstable,-,13,955,681,"1,670",,,,
Barre,-,1,708,662,"1,417",,,,
Barre,-,2,637,617,"1,291",,,,
Becket,-,1,686,259,975,,,,
Bedford,-,1,"1,281",778,"2,108",,,,
Bedford,-,2,"1,005",770,"1,822",,,,
Bedford,-,3,"1,201",757,"2,003",,,,
Bedford,-,4,982,756,"1,786",,,,
Belchertown,-,A,"1,119",649,"1,828",,,,
Belchertown,-,B,"1,009",800,"1,852",,,,
Belchertown,-,C,"1,133",902,"2,073",,,,
Belchertown,-,D,"1,339",563,"1,952",,,,
Bellingham,-,1,802,803,"1,637",,,,
Bellingham,-,2,949,897,"1,876",,,,
Bellingham,-,3,857,752,"1,645",,,,
Bellingham,-,4,691,759,"1,488",,,,
Bellingham,-,4A,79,94,178,,,,
Bellingham,-,5,885,828,"1,760",,,,
Belmont,-,1,"1,238",576,"1,846",,,,
Belmont,-,2,"1,092",867,"1,984",,,,
Belmont,-,3,"1,163",511,"1,714",,,,
Belmont,-,4,"1,093",428,"1,556",,,,
Belmont,-,5,"1,154",543,"1,745",,,,
Belmont,-,6,"1,269",524,"1,842",,,,
Belmont,-,7,"1,212",507,"1,764",,,,
Belmont,-,8,"1,092",796,"1,939",,,,
Berkley,-,1,853,885,"1,782",,,,
Berkley,-,2,720,804,"1,556",,,,
Berlin,-,1,921,830,"1,814",,,,
Bernardston,-,1,809,329,"1,181",,,,
Beverly,1,1,939,683,"1,659",,,,
Beverly,1,2,"1,090",764,"1,900",,,,
Beverly,2,1,"1,001",452,"1,532",,,,
Beverly,2,2,"1,165",598,"1,809",,,,
Beverly,3,1,830,420,"1,287",,,,
Beverly,3,2,"1,042",617,"1,701",,,,
Beverly,4,1,629,459,"1,121",,,,
Beverly,4,2,"1,347",728,"2,128",,,,
Beverly,5,1,"1,084",811,"1,924",,,,
Beverly,5,2,985,806,"1,830",,,,
Beverly,6,1,"1,035",944,"2,027",,,,
Beverly,6,2,"1,011","1,046","2,102",,,,
Billerica,-,1,"1,093",836,"1,974",,,,
Billerica,-,2,982,919,"1,939",,,,
Billerica,-,3,910,882,"1,826",,,,
Billerica,-,4,770,751,"1,557",,,,
Billerica,-,5,960,"1,071","2,074",,,,
Billerica,-,6,757,790,"1,583",,,,
Billerica,-,7,903,807,"1,753",,,,
Billerica,-,8,929,"1,104","2,077",,,,
Billerica,-,9,854,934,"1,825",,,,
Billerica,-,10,921,983,"1,952",,,,
Billerica,-,11,760,882,"1,686",,,,
Blackstone,-,1,764,593,"1,388",,,,
Blackstone,-,2,771,658,"1,457",,,,
Blackstone,-,3,687,777,"1,499",,,,
Blandford,-,1,300,348,667,,,,
Bolton,-,1,"1,554","1,463","3,086",,,,
Boston,1,1,645,188,863,,,,
Boston,1,2,464,139,621,,,,
Boston,1,3,959,205,"1,194",,,,
Boston,1,4,286,90,388,,,,
Boston,1,5,484,183,691,,,,
