City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Abington,-,1,659,901,"1,571",
Abington,-,2,609,898,"1,520",
Abington,-,3,645,993,"1,648",
Abington,-,4,715,"1,100","1,830",
Abington,-,5,684,"1,077","1,774",
Acton,-,1,"1,102",732,"1,845",
Acton,-,2,"1,048",920,"1,978",
Acton,-,3,"1,255",876,"2,143",
Acton,-,4,"1,303",832,"2,149",
Acton,-,5,"1,273",781,"2,071",
Acton,-,6,996,824,"1,836",
Acushnet,-,1,952,686,"1,669",
Acushnet,-,2,884,907,"1,821",
Acushnet,-,3,929,954,"1,908",
Adams,-,1,458,242,708,
Adams,-,2,536,257,801,
Adams,-,3,516,241,768,
Adams,-,4,553,182,740,
Adams,-,5,629,277,914,
Agawam,-,1,725,805,"1,546",
Agawam,-,2,804,"1,215","2,034",
Agawam,-,3,759,974,"1,746",
Agawam,-,4,718,901,"1,640",
Agawam,-,5,866,"1,118","2,008",
Agawam,-,6,670,"1,051","1,730",
Agawam,-,7,737,"1,053","1,802",
Agawam,-,8,830,"1,090","1,937",
Alford,-,1,216,87,306,
Amesbury,-,1,724,875,"1,608",
Amesbury,-,2,744,684,"1,438",
Amesbury,-,3,755,788,"1,554",
Amesbury,-,4,611,641,"1,263",
Amesbury,-,5,595,804,"1,408",
Amesbury,-,6,647,594,"1,252",
Amherst,-,1,925,260,"1,199",
Amherst,-,2,"1,464",339,"1,817",
Amherst,-,3,969,315,"1,310",
Amherst,-,4,922,417,"1,367",
Amherst,-,5,"1,194",204,"1,419",
Amherst,-,6,"1,462",292,"1,765",
Amherst,-,7,"1,355",231,"1,600",
Amherst,-,8,"1,811",300,"2,129",
Amherst,-,9,"1,371",311,"1,706",
Amherst,-,10,857,333,"1,208",
Andover,-,1,848,820,"1,678",
Andover,-,2,949,"1,246","2,212",
Andover,-,3,"1,030","1,121","2,171",
Andover,-,4,873,"1,181","2,064",
Andover,-,5,896,"1,225","2,138",
Andover,-,6,829,"1,298","2,141",
Andover,-,7,684,997,"1,689",
Andover,-,7A,214,261,477,
Andover,-,8,914,"1,221","2,155",
Andover,-,9,866,"1,213","2,094",
Andover,-,9A,3,8,11,
Aquinnah,-,1,238,60,299,
Arlington,-,1,708,243,959,
Arlington,-,2,867,433,"1,313",
Arlington,-,3,946,301,"1,261",
Arlington,-,4,897,320,"1,227",
Arlington,-,5,769,416,"1,194",
Arlington,-,6,870,306,"1,188",
Arlington,-,7,827,340,"1,175",
Arlington,-,8,"1,085",284,"1,375",
Arlington,-,9,848,371,"1,229",
Arlington,-,10,976,368,"1,350",
Arlington,-,11,820,491,"1,319",
Arlington,-,12,952,460,"1,418",
Arlington,-,13,679,655,"1,347",
Arlington,-,14,845,351,"1,204",
Arlington,-,15,775,470,"1,249",
Arlington,-,16,824,389,"1,216",
Arlington,-,17,732,308,"1,046",
Arlington,-,18,721,609,"1,340",
Arlington,-,19,888,467,"1,370",
Arlington,-,20,865,392,"1,266",
Arlington,-,21,854,340,"1,207",
Ashburnham,-,1,"1,424","1,803","3,254",
Ashby,-,1,703,"1,132","1,843",
Ashfield,-,1,879,247,"1,130",
Ashland,-,1,814,839,"1,661",
Ashland,-,2,777,963,"1,747",
Ashland,-,3,834,867,"1,711",
Ashland,-,4,928,861,"1,795",
Ashland,-,5,822,828,"1,661",
Athol,-,1,730,991,"1,738",
Athol,-,2,623,842,"1,476",
Athol,-,3,742,802,"1,556",
Attleboro,1,A,721,825,"1,568",
Attleboro,1,B,701,932,"1,650",
Attleboro,2,A,789,998,"1,801",
Attleboro,2,B,766,"1,029","1,807",
Attleboro,3,A,780,838,"1,624",
Attleboro,3,B,803,954,"1,772",
Attleboro,4,A,656,655,"1,322",
Attleboro,4,B,820,"1,201","2,034",
Attleboro,5,A,561,394,970,
Attleboro,5,B,768,894,"1,664",
Attleboro,6,A,701,830,"1,531",
Attleboro,6,B,741,942,"1,686",
Auburn,-,1,767,"1,060","1,835",
Auburn,-,2,755,"1,025","1,791",
Auburn,-,3,784,"1,118","1,910",
Auburn,-,4,756,940,"1,706",
Auburn,-,5,657,962,"1,630",
Avon,-,1,"1,059","1,335","2,413",
Ayer,-,1,845,988,"1,838",
Ayer,-,2,826,989,"1,830",
Barnstable,-,1,"1,102","1,401","2,524",
Barnstable,-,2,882,"1,183","2,078",
Barnstable,-,3,824,825,"1,657",
Barnstable,-,4,868,"1,136","2,008",
Barnstable,-,5,885,"1,474","2,370",
Barnstable,-,6,930,"1,181","2,127",
Barnstable,-,7,"1,000","1,311","2,318",
Barnstable,-,8,756,648,"1,423",
Barnstable,-,9,596,371,978,
Barnstable,-,10,818,"1,109","1,939",
Barnstable,-,11,"1,027","1,391","2,432",
Barnstable,-,12,903,"1,294","2,210",
Barnstable,-,13,866,792,"1,670",
Barre,-,1,595,814,"1,417",
Barre,-,2,507,773,"1,291",
Becket,-,1,641,314,975,
Bedford,-,1,"1,130",963,"2,108",
Bedford,-,2,866,943,"1,822",
Bedford,-,3,"1,088",900,"2,003",
Bedford,-,4,869,903,"1,786",
Belchertown,-,A,992,824,"1,828",
Belchertown,-,B,857,988,"1,852",
Belchertown,-,C,980,"1,085","2,073",
Belchertown,-,D,"1,238",709,"1,952",
Bellingham,-,1,638,994,"1,637",
Bellingham,-,2,802,"1,061","1,876",
Bellingham,-,3,690,946,"1,645",
Bellingham,-,4,582,896,"1,488",
Bellingham,-,4A,63,114,178,
Bellingham,-,5,701,"1,048","1,760",
Belmont,-,1,"1,159",676,"1,846",
Belmont,-,2,998,969,"1,984",
Belmont,-,3,"1,079",618,"1,714",
Belmont,-,4,998,549,"1,556",
Belmont,-,5,"1,067",662,"1,745",
Belmont,-,6,"1,211",619,"1,842",
Belmont,-,7,"1,144",606,"1,764",
Belmont,-,8,"1,012",913,"1,939",
Berkley,-,1,717,"1,049","1,782",
Berkley,-,2,636,905,"1,556",
Berlin,-,1,779,"1,025","1,814",
Bernardston,-,1,708,464,"1,181",
Beverly,1,1,767,875,"1,659",
Beverly,1,2,900,991,"1,900",
