City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,,
Abington,-,1,202,323,529,,
Abington,-,2,209,312,526,,
Abington,-,3,219,321,547,,
Abington,-,4,248,360,613,,
Abington,-,5,265,365,631,,
Acton,-,1,485,216,701,,
Acton,-,2,472,317,792,,
Acton,-,3,677,319,"1,001",,
Acton,-,4,671,295,974,,
Acton,-,5,654,222,881,,
Acton,-,6,461,323,788,,
Acushnet,-,1,447,370,845,,
Acushnet,-,2,385,419,826,,
Acushnet,-,3,418,457,895,,
Adams,-,1,138,65,203,,
Adams,-,2,145,76,222,,
Adams,-,3,156,64,221,,
Adams,-,4,154,51,207,,
Adams,-,5,187,79,267,,
Agawam,-,1,166,279,446,,
Agawam,-,2,253,493,752,,
Agawam,-,3,214,286,502,,
Agawam,-,4,196,325,522,,
Agawam,-,5,252,425,680,,
Agawam,-,6,193,395,588,,
Agawam,-,7,199,389,593,,
Agawam,-,8,270,417,691,,
Alford,-,1,106,37,146,,
Amesbury,-,1,279,317,599,,
Amesbury,-,2,227,184,412,,
Amesbury,-,3,260,235,499,,
Amesbury,-,4,180,189,375,,
Amesbury,-,5,190,278,471,,
Amesbury,-,6,251,184,437,,
Amherst,-,1,309,30,343,,
Amherst,-,2,576,91,671,,
Amherst,-,3,209,30,240,,
Amherst,-,4,176,12,189,,
Amherst,-,5,457,51,510,,
Amherst,-,6,698,98,798,,
Amherst,-,7,570,83,659,,
Amherst,-,8,885,121,"1,007",,
Amherst,-,9,478,37,517,,
Amherst,-,10,203,14,218,,
Andover,-,1,373,320,695,,
Andover,-,2,378,413,795,,
Andover,-,3,403,393,800,,
Andover,-,4,312,423,736,,
Andover,-,5,304,390,701,,
Andover,-,6,293,429,725,,
Andover,-,7,283,347,634,,
Andover,-,7A,81,98,179,,
Andover,-,8,374,477,854,,
Andover,-,9,327,427,759,,
Andover,-,9A,2,4,6,,
Aquinnah,-,1,105,21,126,,
Arlington,-,1,300,69,377,,
Arlington,-,2,457,164,625,,
Arlington,-,3,504,105,612,,
Arlington,-,4,462,111,576,,
Arlington,-,5,341,114,457,,
Arlington,-,6,442,119,565,,
Arlington,-,7,391,120,514,,
Arlington,-,8,634,132,771,,
Arlington,-,9,453,164,622,,
Arlington,-,10,597,133,736,,
Arlington,-,11,515,184,703,,
Arlington,-,12,639,215,858,,
Arlington,-,13,347,288,636,,
Arlington,-,14,467,134,604,,
Arlington,-,15,443,191,640,,
Arlington,-,16,512,190,708,,
Arlington,-,17,307,103,412,,
Arlington,-,18,404,270,679,,
Arlington,-,19,514,187,705,,
Arlington,-,20,489,134,624,,
Arlington,-,21,437,127,570,,
Ashburnham,-,1,530,752,"1,304",,
Ashby,-,1,343,534,890,,
Ashfield,-,1,423,121,547,,
Ashland,-,1,308,229,540,,
Ashland,-,2,313,322,636,,
Ashland,-,3,338,295,638,,
Ashland,-,4,406,258,668,,
Ashland,-,5,351,295,650,,
Athol,-,1,220,378,603,,
Athol,-,2,177,263,445,,
Athol,-,3,206,276,484,,
Attleboro,1,A,198,200,402,,
Attleboro,1,B,183,221,406,,
Attleboro,2,A,260,311,572,,
Attleboro,2,B,210,241,453,,
Attleboro,3,A,252,274,528,,
Attleboro,3,B,275,301,576,,
Attleboro,4,A,161,172,337,,
Attleboro,4,B,250,373,623,,
Attleboro,5,A,127,102,233,,
Attleboro,5,B,183,243,429,,
Attleboro,6,A,173,180,355,,
Attleboro,6,B,189,255,447,,
Auburn,-,1,288,416,709,,
Auburn,-,2,285,427,714,,
Auburn,-,3,290,439,730,,
Auburn,-,4,253,347,605,,
Auburn,-,5,219,372,594,,
Avon,-,1,389,475,868,,
Ayer,-,1,308,345,658,,
Ayer,-,2,261,339,606,,
Barnstable,-,1,568,701,"1,272",,
Barnstable,-,2,349,568,921,,
Barnstable,-,3,274,339,616,,
Barnstable,-,4,394,557,954,,
Barnstable,-,5,429,782,"1,215",,
Barnstable,-,6,389,535,928,,
Barnstable,-,7,507,700,"1,213",,
Barnstable,-,8,227,277,506,,
Barnstable,-,9,172,127,302,,
Barnstable,-,10,276,437,717,,
Barnstable,-,11,448,657,"1,111",,
Barnstable,-,12,322,545,870,,
Barnstable,-,13,357,355,716,,
Barre,-,1,213,359,572,,
Barre,-,2,156,275,440,,
Becket,-,1,266,109,375,,
Bedford,-,1,514,366,891,,
Bedford,-,2,353,325,681,,
Bedford,-,3,571,344,920,,
Bedford,-,4,405,348,756,,
Belchertown,-,A,356,287,648,,
Belchertown,-,B,262,288,554,,
Belchertown,-,C,286,346,634,,
Belchertown,-,D,446,223,670,,
Bellingham,-,1,184,305,491,,
Bellingham,-,2,257,303,561,,
Bellingham,-,3,213,275,491,,
Bellingham,-,4,127,244,371,,
Bellingham,-,4A,13,26,39,,
Bellingham,-,5,144,227,373,,
Belmont,-,1,698,275,980,,
Belmont,-,2,535,334,871,,
Belmont,-,3,548,249,797,,
Belmont,-,4,457,192,654,,
Belmont,-,5,507,273,781,,
Belmont,-,6,682,240,926,,
Belmont,-,7,584,239,831,,
Belmont,-,8,565,389,960,,
Berkley,-,1,149,285,437,,
Berkley,-,2,140,238,382,,
Berlin,-,1,343,419,768,,
Bernardston,-,1,224,190,419,,
Beverly,1,1,251,291,547,,
Beverly,1,2,292,308,602,,
Beverly,2,1,283,164,451,,
Beverly,2,2,412,239,654,,
Beverly,3,1,224,152,376,,
Beverly,3,2,259,214,476,,
Beverly,4,1,234,226,463,,
Beverly,4,2,502,306,809,,
Beverly,5,1,332,274,611,,
Beverly,5,2,305,316,625,,
Beverly,6,1,390,389,782,,
Beverly,6,2,303,442,747,,
Billerica,-,1,283,305,592,,
Billerica,-,2,323,388,717,,
Billerica,-,3,259,340,603,,
Billerica,-,4,224,318,545,,
Billerica,-,5,321,463,789,,
Billerica,-,6,196,337,533,,
Billerica,-,7,256,352,609,,
Billerica,-,8,235,439,678,,
Billerica,-,9,202,373,579,,
Billerica,-,10,248,425,679,,
Billerica,-,11,206,358,571,,
Blackstone,-,1,149,217,370,,
Blackstone,-,2,174,256,433,,
Blackstone,-,3,140,258,399,,
Blandford,-,1,98,191,292,,
Bolton,-,1,583,703,"1,294",,
Boston,1,1,241,84,328,,
Boston,1,2,149,46,197,,
Boston,1,3,395,93,490,,
Boston,1,4,94,46,140,,
Boston,1,5,146,63,210,,
Boston,1,6,140,48,189,,
Boston,1,7,161,53,219,,
Boston,1,8,241,76,324,,
Boston,1,9,122,31,156,,
Boston,1,10,76,24,101,,
Boston,1,11,220,143,369,,
Boston,1,12,193,159,353,,
Boston,1,13,285,144,432,,
Boston,1,14,109,83,192,,
Boston,1,15,0,0,0,,
Boston,2,1,321,203,528,,
Boston,2,2,335,192,530,,
Boston,2,3,286,161,453,,
Boston,2,4,171,117,292,,
Boston,2,5,237,164,405,,
Boston,2,6,339,198,545,,
Boston,2,7,224,157,383,,
Boston,3,1,530,402,939,,
Boston,3,2,226,155,385,,
Boston,3,3,168,106,275,,
Boston,3,4,221,150,371,,
Boston,3,5,525,238,765,,
Boston,3,6,496,267,770,,
Boston,3,7,836,167,"1,009",,
Boston,3,8,629,165,799,,
Boston,4,1,521,138,661,,
Boston,4,2,523,197,720,,
Boston,4,3,312,41,354,,
Boston,4,4,435,91,527,,
Boston,4,5,326,69,397,,
Boston,4,6,243,80,325,,
Boston,4,7,211,36,247,,
Boston,4,8,196,52,249,,
Boston,4,9,100,5,105,,
Boston,4,10,43,14,57,,
Boston,5,1,875,198,"1,075",,
Boston,5,2,183,33,218,,
Boston,5,2A,122,35,158,,
Boston,5,3,346,182,529,,
Boston,5,4,355,135,492,,
Boston,5,5,151,80,232,,
Boston,5,6,289,196,486,,
Boston,5,7,349,199,550,,
Boston,5,8,326,159,486,,
Boston,5,9,402,202,609,,
Boston,5,10,240,83,323,,
Boston,5,11,268,122,392,,
Boston,6,1,467,199,671,,
Boston,6,2,157,87,247,,
Boston,6,3,187,133,325,,
Boston,6,4,168,169,343,,
Boston,6,5,165,171,343,,
Boston,6,6,196,231,437,,
Boston,6,7,179,203,389,,
Boston,6,8,169,207,382,,
Boston,6,9,153,242,403,,
Boston,7,1,165,201,374,,
Boston,7,2,151,240,399,,
Boston,7,3,251,293,559,,
Boston,7,4,176,188,373,,
Boston,7,5,161,121,290,,
Boston,7,6,164,70,236,,
Boston,7,7,176,44,222,,
Boston,7,8,156,94,255,,
Boston,7,9,165,74,240,,
Boston,7,10,189,24,214,,
Boston,8,1,183,26,212,,
Boston,8,2,410,63,476,,
Boston,8,3,214,5,219,,
Boston,8,4,104,3,107,,
Boston,8,5,238,16,254,,
Boston,8,6,64,14,78,,
Boston,8,7,158,10,169,,
Boston,9,1,332,52,386,,
Boston,9,2,434,75,509,,
Boston,9,3,573,37,612,,
Boston,9,4,301,14,318,,
Boston,9,5,469,23,493,,
Boston,10,1,209,31,240,,
Boston,10,2,186,28,215,,
Boston,10,3,145,24,170,,
Boston,10,4,340,40,381,,
Boston,10,5,221,39,261,,
Boston,10,6,190,21,211,,
Boston,10,7,257,19,278,,
Boston,10,8,383,52,443,,
Boston,10,9,498,50,551,,
Boston,11,1,204,11,217,,
Boston,11,2,335,9,347,,
Boston,11,3,230,5,235,,
Boston,11,4,413,27,444,,
Boston,11,5,362,19,382,,
Boston,11,6,352,29,386,,
Boston,11,7,456,37,495,,
Boston,11,8,408,42,452,,
Boston,11,9,328,34,363,,
Boston,11,10,399,24,428,,
Boston,12,1,365,8,375,,
Boston,12,2,424,13,438,,
Boston,12,3,236,11,248,,
Boston,12,4,213,6,220,,
Boston,12,5,233,4,239,,
Boston,12,6,194,6,202,,
Boston,12,7,475,20,496,,
Boston,12,8,146,1,147,,
Boston,12,9,221,14,236,,
Boston,13,1,303,18,321,,
Boston,13,2,81,3,85,,
Boston,13,3,164,30,196,,
Boston,13,4,179,9,189,,
Boston,13,5,156,32,191,,
Boston,13,6,249,50,304,,
Boston,13,7,204,92,297,,
Boston,13,8,171,62,235,,
Boston,13,9,240,60,304,,
Boston,13,10,402,191,602,,
Boston,14,1,367,18,387,,
Boston,14,2,461,16,478,,
Boston,14,3,198,3,203,,
Boston,14,4,219,5,224,,
Boston,14,5,206,3,209,,
Boston,14,6,216,9,225,,
Boston,14,7,186,7,194,,
Boston,14,8,276,10,287,,
Boston,14,9,197,10,209,,
Boston,14,10,231,12,244,,
Boston,14,11,174,1,177,,
Boston,14,12,155,3,159,,
Boston,14,13,226,5,231,,
Boston,14,14,296,4,300,,
Boston,15,1,241,16,257,,
Boston,15,2,159,6,166,,
Boston,15,3,125,3,129,,
Boston,15,4,320,37,359,,
Boston,15,5,210,8,220,,
Boston,15,6,124,60,187,,
Boston,15,7,187,12,202,,
Boston,15,8,138,29,167,,
Boston,15,9,189,49,243,,
Boston,16,1,172,50,222,,
Boston,16,2,117,75,194,,
Boston,16,3,217,53,277,,
Boston,16,4,208,60,273,,
Boston,16,5,236,106,343,,
Boston,16,6,285,67,355,,
Boston,16,7,205,180,394,,
Boston,16,8,286,172,467,,
Boston,16,9,216,244,466,,
Boston,16,10,186,168,358,,
Boston,16,11,302,178,483,,
Boston,16,12,255,275,535,,
Boston,17,1,229,14,243,,
Boston,17,2,138,18,157,,
Boston,17,3,360,33,394,,
Boston,17,4,448,55,505,,
Boston,17,5,150,3,155,,
Boston,17,6,271,24,296,,
Boston,17,7,148,3,151,,
Boston,17,8,229,9,239,,
Boston,17,9,291,26,320,,
Boston,17,10,332,9,343,,
Boston,17,11,114,13,127,,
Boston,17,12,247,25,272,,
Boston,17,13,425,102,530,,
Boston,17,14,280,38,320,,
Boston,18,1,466,19,486,,
Boston,18,2,386,5,392,,
Boston,18,3,422,10,433,,
Boston,18,4,361,14,376,,
Boston,18,5,484,17,503,,
Boston,18,6,489,38,528,,
Boston,18,7,311,53,364,,
Boston,18,8,557,75,634,,
Boston,18,9,344,107,456,,
Boston,18,10,508,109,619,,
Boston,18,11,289,51,342,,
Boston,18,12,314,136,452,,
Boston,18,13,178,31,212,,
Boston,18,14,176,28,205,,
Boston,18,15,366,27,393,,
Boston,18,16,356,237,600,,
Boston,18,17,323,116,445,,
Boston,18,18,422,112,536,,
Boston,18,19,448,128,584,,
Boston,18,20,374,252,628,,
Boston,18,21,473,19,493,,
Boston,18,22,343,165,510,,
Boston,18,23,295,16,314,,
Boston,19,1,446,25,472,,
Boston,19,2,514,206,721,,
Boston,19,3,393,60,455,,
Boston,19,4,577,36,614,,
Boston,19,5,472,63,536,,
Boston,19,6,648,44,693,,
Boston,19,7,511,55,571,,
Boston,19,8,345,32,377,,
Boston,19,9,293,29,324,,
Boston,19,10,439,80,520,,
Boston,19,11,235,27,263,,
Boston,19,12,343,61,406,,
Boston,19,13,230,58,290,,
Boston,20,1,437,158,603,,
Boston,20,2,404,121,530,,
Boston,20,3,293,196,494,,
Boston,20,4,416,88,507,,
Boston,20,5,347,277,631,,
Boston,20,6,435,277,715,,
Boston,20,7,245,153,408,,
Boston,20,8,276,123,401,,
Boston,20,9,293,128,422,,
Boston,20,10,355,305,663,,
Boston,20,11,195,109,305,,
Boston,20,12,230,189,421,,
Boston,20,13,208,165,373,,
Boston,20,14,216,211,431,,
Boston,20,15,339,268,610,,
Boston,20,16,339,345,690,,
Boston,20,17,413,310,730,,
Boston,20,18,230,144,379,,
Boston,20,19,229,172,402,,
Boston,20,20,356,195,560,,
Boston,21,1,197,42,241,,
Boston,21,2,44,5,49,,
Boston,21,3,109,15,126,,
Boston,21,4,108,23,132,,
Boston,21,5,160,28,188,,
Boston,21,6,221,58,279,,
Boston,21,7,175,41,219,,
Boston,21,8,195,38,236,,
Boston,21,9,205,33,238,,
Boston,21,10,183,56,241,,
Boston,21,11,205,71,279,,
Boston,21,12,300,72,373,,
Boston,21,13,455,127,584,,
Boston,21,14,131,27,159,,
Boston,21,15,166,31,197,,
Boston,21,16,271,101,374,,
Boston,22,1,264,85,351,,
Boston,22,2,266,80,348,,
Boston,22,3,244,104,349,,
Boston,22,4,236,90,328,,
Boston,22,5,120,41,163,,
Boston,22,6,126,51,179,,
Boston,22,7,253,97,354,,
Boston,22,8,192,120,313,,
Boston,22,9,195,65,264,,
Boston,22,10,280,120,403,,
Boston,22,11,161,89,253,,
Boston,22,12,190,85,278,,
Boston,22,13,157,79,237,,
Bourne,-,1,176,299,480,,
Bourne,-,2,253,490,747,,
Bourne,-,3,127,217,345,,
Bourne,-,4,272,459,733,,
Bourne,-,5,333,422,760,,
Bourne,-,6,263,353,620,,
Bourne,-,7,213,378,596,,
Boxborough,-,1,736,591,"1,334",,
Boxford,-,1,202,449,655,,
Boxford,-,2,264,491,763,,
Boxford,-,3,249,456,708,,
Boylston,-,1,419,660,"1,086",,
Braintree,-,1A,252,405,662,,
Braintree,-,1B,218,306,529,,
Braintree,-,2A,301,456,762,,
Braintree,-,2B,283,409,701,,
Braintree,-,3A,262,281,543,,
Braintree,-,3B,293,319,620,,
Braintree,-,4A,245,263,513,,
Braintree,-,4B,195,264,460,,
Braintree,-,5A,291,390,688,,
Braintree,-,5B,268,373,646,,
Braintree,-,6A,290,461,759,,
Braintree,-,6B,293,446,749,,
Brewster,-,1,580,516,"1,099",,
Brewster,-,2,542,499,"1,048",,
Brewster,-,3,424,470,902,,
Bridgewater,-,1,231,454,688,,
Bridgewater,-,2,252,430,687,,
Bridgewater,-,3,274,504,780,,
Bridgewater,-,4,127,179,307,,
Bridgewater,-,5,82,103,185,,
Bridgewater,-,6,176,209,389,,
Bridgewater,-,7,260,364,626,,
Brimfield,-,1,283,520,809,,
Brockton,1,A,228,94,324,,
Brockton,1,B,312,220,539,,
Brockton,1,C,210,147,359,,
Brockton,1,D,306,284,600,,
Brockton,2,A,256,18,275,,
Brockton,2,B,175,47,222,,
Brockton,2,C,163,31,195,,
Brockton,2,D,223,133,359,,
Brockton,3,A,277,115,393,,
Brockton,3,B,220,55,276,,
Brockton,3,C,269,269,542,,
Brockton,3,D,300,272,575,,
Brockton,4,A,142,36,180,,
Brockton,4,B,241,130,374,,
Brockton,4,C,236,163,402,,
Brockton,4,D,248,154,408,,
Brockton,5,A,191,56,249,,
Brockton,5,B,303,144,452,,
Brockton,5,C,248,103,354,,
Brockton,5,D,304,172,479,,
Brockton,6,A,128,98,227,,
Brockton,6,B,255,221,481,,
