City/Town,Ward,Pct,Edward J. Markey,Brian J. Herr,Total Votes Cast,,
Abington,-,1,548,479,"1,068",,
Abington,-,2,564,483,"1,086",,
Abington,-,3,579,541,"1,172",,
Abington,-,4,662,588,"1,304",,
Abington,-,5,640,579,"1,283",,
Acton,-,1,833,374,"1,244",,
Acton,-,2,869,517,"1,426",,
Acton,-,3,"1,049",540,"1,640",,
Acton,-,4,"1,110",456,"1,611",,
Acton,-,5,"1,042",411,"1,506",,
Acton,-,6,798,476,"1,309",,
Acushnet,-,1,639,321,"1,000",,
Acushnet,-,2,610,442,"1,109",,
Acushnet,-,3,575,421,"1,036",,
Adams,-,1,289,91,395,,
Adams,-,2,335,110,460,,
Adams,-,3,313,99,431,,
Adams,-,4,318,76,406,,
Adams,-,5,410,117,546,,
Agawam,-,1,508,475,"1,046",,
Agawam,-,2,730,741,"1,568",,
Agawam,-,3,599,513,"1,199",,
Agawam,-,4,534,470,"1,059",,
Agawam,-,5,721,646,"1,469",,
Agawam,-,6,554,595,"1,228",,
Agawam,-,7,609,651,"1,359",,
Agawam,-,8,678,631,"1,376",,
Alford,-,1,155,46,209,,
Amesbury,-,1,631,507,"1,184",,
Amesbury,-,2,570,323,926,,
Amesbury,-,3,606,421,"1,059",,
Amesbury,-,4,492,346,870,,
Amesbury,-,5,504,501,"1,037",,
Amesbury,-,6,525,309,869,,
Amherst,-,1,463,57,534,,
Amherst,-,2,883,125,"1,037",,
Amherst,-,3,375,61,450,,
Amherst,-,4,313,63,387,,
Amherst,-,5,623,56,711,,
Amherst,-,6,959,117,"1,110",,
Amherst,-,7,850,105,996,,
Amherst,-,8,"1,182",165,"1,392",,
Amherst,-,9,779,56,862,,
Amherst,-,10,382,47,455,,
Andover,-,1,692,450,"1,178",,
Andover,-,2,814,723,"1,591",,
Andover,-,3,837,638,"1,507",,
Andover,-,4,678,707,"1,429",,
Andover,-,5,690,767,"1,505",,
Andover,-,6,663,715,"1,439",,
Andover,-,7,611,563,"1,205",,
Andover,-,7A,157,163,332,,
Andover,-,8,748,755,"1,551",,
Andover,-,9,724,687,"1,465",,
Andover,-,9A,1,8,9,,
Aquinnah,-,1,171,22,200,,
Arlington,-,1,558,112,700,,
Arlington,-,2,764,202,997,,
Arlington,-,3,715,143,877,,
Arlington,-,4,683,150,861,,
Arlington,-,5,631,161,815,,
Arlington,-,6,658,158,848,,
Arlington,-,7,595,167,788,,
Arlington,-,8,859,182,"1,074",,
Arlington,-,9,678,198,914,,
Arlington,-,10,830,173,"1,044",,
Arlington,-,11,762,255,"1,052",,
Arlington,-,12,919,244,"1,204",,
Arlington,-,13,637,363,"1,037",,
Arlington,-,14,686,184,894,,
Arlington,-,15,735,217,990,,
Arlington,-,16,718,232,979,,
Arlington,-,17,559,151,728,,
Arlington,-,18,673,332,"1,043",,
Arlington,-,19,801,240,"1,067",,
Arlington,-,20,720,188,936,,
Arlington,-,21,703,164,893,,
Ashburnham,-,1,"1,092","1,036","2,194",,
Ashby,-,1,602,653,"1,304",,
Ashfield,-,1,679,156,867,,
Ashland,-,1,594,455,"1,083",,
Ashland,-,2,600,589,"1,224",,
Ashland,-,3,614,482,"1,127",,
Ashland,-,4,711,425,"1,174",,
Ashland,-,5,632,468,"1,128",,
Athol,-,1,597,581,"1,245",,
Athol,-,2,476,516,"1,029",,
Athol,-,3,586,464,"1,099",,
Attleboro,1,A,484,424,947,,
Attleboro,1,B,526,456,"1,030",,
Attleboro,2,A,623,534,"1,207",,
Attleboro,2,B,595,522,"1,156",,
Attleboro,3,A,564,433,"1,041",,
Attleboro,3,B,592,538,"1,185",,
Attleboro,4,A,438,315,780,,
Attleboro,4,B,689,673,"1,438",,
Attleboro,5,A,341,164,519,,
Attleboro,5,B,517,429,974,,
Attleboro,6,A,477,414,933,,
Attleboro,6,B,551,486,"1,085",,
