City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,,,,,,,,,
Abington,-,1,818,717,"1,709",,,,,,,,,
Abington,-,2,739,785,"1,671",,,,,,,,,
Abington,-,3,773,808,"1,726",,,,,,,,,
Abington,-,4,877,878,"1,919",,,,,,,,,
Abington,-,5,908,829,"1,887",,,,,,,,,
Acton,-,1,"1,459",438,"2,084",,,,,,,,,
Acton,-,2,"1,550",480,"2,228",,,,,,,,,
Acton,-,3,"1,580",435,"2,235",,,,,,,,,
Acton,-,4,"1,675",414,"2,312",,,,,,,,,
Acton,-,5,"1,580",387,"2,167",,,,,,,,,
Acton,-,6,"1,354",401,"1,941",,,,,,,,,
Acushnet,-,1,783,786,"1,702",,,,,,,,,
Acushnet,-,2,756,"1,043","1,958",,,,,,,,,
Acushnet,-,3,862,"1,005","2,012",,,,,,,,,
Adams,-,1,439,255,767,,,,,,,,,
Adams,-,2,476,270,829,,,,,,,,,
Adams,-,3,475,268,819,,,,,,,,,
Adams,-,4,446,233,740,,,,,,,,,
Adams,-,5,577,259,925,,,,,,,,,
Agawam,-,1,631,827,"1,605",,,,,,,,,
Agawam,-,2,850,"1,069","2,099",,,,,,,,,
Agawam,-,3,770,921,"1,814",,,,,,,,,
Agawam,-,4,700,724,"1,564",,,,,,,,,
Agawam,-,5,861,998,"2,050",,,,,,,,,
Agawam,-,6,783,882,"1,812",,,,,,,,,
Agawam,-,7,750,991,"1,914",,,,,,,,,
Agawam,-,8,863,"1,009","2,019",,,,,,,,,
Alford,-,1,226,52,307,,,,,,,,,
Amesbury,-,1,930,623,"1,740",,,,,,,,,
Amesbury,-,2,901,503,"1,576",,,,,,,,,
Amesbury,-,3,960,498,"1,622",,,,,,,,,
Amesbury,-,4,805,502,"1,457",,,,,,,,,
Amesbury,-,5,745,675,"1,595",,,,,,,,,
Amesbury,-,6,833,430,"1,412",,,,,,,,,
Amherst,-,1,955,101,"1,203",,,,,,,,,
Amherst,-,2,"1,409",143,"1,731",,,,,,,,,
Amherst,-,3,908,125,"1,154",,,,,,,,,
Amherst,-,4,910,162,"1,186",,,,,,,,,
Amherst,-,5,"1,023",95,"1,207",,,,,,,,,
Amherst,-,6,"1,464",134,"1,758",,,,,,,,,
Amherst,-,7,"1,440",131,"1,717",,,,,,,,,
Amherst,-,8,"1,644",124,"1,932",,,,,,,,,
Amherst,-,9,"1,382",79,"1,645",,,,,,,,,
Amherst,-,10,"1,222",154,"1,533",,,,,,,,,
Andover,-,1,"1,101",433,"1,697",,,,,,,,,
Andover,-,2,"1,312",865,"2,376",,,,,,,,,
Andover,-,3,"1,431",651,"2,292",,,,,,,,,
Andover,-,4,"1,162",818,"2,190",,,,,,,,,
Andover,-,5,"1,257",758,"2,219",,,,,,,,,
Andover,-,6,"1,207",842,"2,254",,,,,,,,,
Andover,-,7,980,548,"1,682",,,,,,,,,
Andover,-,7A,256,163,470,,,,,,,,,
Andover,-,8,"1,278",685,"2,176",,,,,,,,,
Andover,-,9,"1,232",752,"2,200",,,,,,,,,
Andover,-,9A,6,7,16,,,,,,,,,
Aquinnah,-,1,232,34,287,,,,,,,,,
Arlington,-,1,802,173,"1,048",,,,,,,,,
Arlington,-,2,"1,028",232,"1,370",,,,,,,,,
Arlington,-,3,"1,049",169,"1,323",,,,,,,,,
Arlington,-,4,"1,022",195,"1,320",,,,,,,,,
Arlington,-,5,932,233,"1,259",,,,,,,,,
Arlington,-,6,946,178,"1,206",,,,,,,,,
Arlington,-,7,938,173,"1,203",,,,,,,,,
Arlington,-,8,"1,169",153,"1,424",,,,,,,,,
Arlington,-,9,813,205,"1,108",,,,,,,,,
Arlington,-,10,"1,129",192,"1,424",,,,,,,,,
Arlington,-,11,"1,007",306,"1,408",,,,,,,,,
Arlington,-,12,"1,122",229,"1,455",,,,,,,,,
Arlington,-,13,846,375,"1,326",,,,,,,,,
Arlington,-,14,930,201,"1,217",,,,,,,,,
Arlington,-,15,"1,000",271,"1,394",,,,,,,,,
Arlington,-,16,924,199,"1,213",,,,,,,,,
Arlington,-,17,908,193,"1,221",,,,,,,,,
Arlington,-,18,958,323,"1,404",,,,,,,,,
Arlington,-,19,"1,003",268,"1,356",,,,,,,,,
Arlington,-,20,"1,014",225,"1,315",,,,,,,,,
Arlington,-,21,999,159,"1,277",,,,,,,,,
Ashburnham,-,1,"1,439","1,522","3,399",,,,,,,,,
Ashby,-,1,722,974,"1,933",,,,,,,,,
Ashfield,-,1,836,184,"1,155",,,,,,,,,
Ashland,-,1,"1,121",536,"1,847",,,,,,,,,
Ashland,-,2,"1,166",588,"1,941",,,,,,,,,
Ashland,-,3,"1,139",565,"1,870",,,,,,,,,
Ashland,-,4,"1,147",576,"1,877",,,,,,,,,
Ashland,-,5,"1,111",503,"1,791",,,,,,,,,
Athol,-,1,733,856,"1,837",,,,,,,,,
Athol,-,2,608,781,"1,625",,,,,,,,,
Athol,-,3,735,698,"1,594",,,,,,,,,
Attleboro,1,A,761,761,"1,638",,,,,,,,,
Attleboro,1,B,779,758,"1,666",,,,,,,,,
Attleboro,2,A,894,774,"1,854",,,,,,,,,
Attleboro,2,B,949,861,"1,988",,,,,,,,,
Attleboro,3,A,933,650,"1,759",,,,,,,,,
Attleboro,3,B,949,694,"1,768",,,,,,,,,
Attleboro,4,A,815,485,"1,402",,,,,,,,,
Attleboro,4,B,"1,072","1,021","2,283",,,,,,,,,
Attleboro,5,A,689,349,"1,150",,,,,,,,,
Attleboro,5,B,912,682,"1,775",,,,,,,,,
Attleboro,6,A,818,762,"1,734",,,,,,,,,
Attleboro,6,B,947,774,"1,864",,,,,,,,,
Auburn,-,1,934,841,"1,979",,,,,,,,,
Auburn,-,2,959,822,"1,950",,,,,,,,,
Auburn,-,3,968,839,"1,987",,,,,,,,,
Auburn,-,4,830,746,"1,809",,,,,,,,,
Auburn,-,5,805,752,"1,730",,,,,,,,,
Avon,-,1,"1,254","1,068","2,512",,,,,,,,,
Ayer,-,1,"1,078",729,"2,065",,,,,,,,,
Ayer,-,2,"1,084",769,"2,111",,,,,,,,,
Barnstable,-,1,"1,278","1,015","2,491",,,,,,,,,
Barnstable,-,2,"1,022",946,"2,142",,,,,,,,,
Barnstable,-,3,912,643,"1,683",,,,,,,,,
Barnstable,-,4,994,879,"2,037",,,,,,,,,
Barnstable,-,5,"1,049","1,115","2,327",,,,,,,,,
Barnstable,-,6,"1,033","1,006","2,246",,,,,,,,,
Barnstable,-,7,"1,252",994,"2,447",,,,,,,,,
Barnstable,-,8,875,575,"1,598",,,,,,,,,
Barnstable,-,9,620,341,"1,051",,,,,,,,,
Barnstable,-,10,928,929,"2,036",,,,,,,,,
Barnstable,-,11,"1,124","1,101","2,424",,,,,,,,,
Barnstable,-,12,"1,050","1,032","2,272",,,,,,,,,
Barnstable,-,13,868,619,"1,626",,,,,,,,,
Barre,-,1,639,712,"1,521",,,,,,,,,
Barre,-,2,562,717,"1,415",,,,,,,,,
Becket,-,1,571,368,"1,047",,,,,,,,,
Bedford,-,1,"1,419",548,"2,181",,,,,,,,,
Bedford,-,2,"1,165",648,"1,985",,,,,,,,,
Bedford,-,3,"1,379",512,"2,070",,,,,,,,,
Bedford,-,4,"1,122",503,"1,830",,,,,,,,,
Belchertown,-,A,"1,103",698,"2,001",,,,,,,,,
Belchertown,-,B,977,894,"2,104",,,,,,,,,
Belchertown,-,C,"1,048",955,"2,217",,,,,,,,,
Belchertown,-,D,"1,280",606,"2,096",,,,,,,,,
Bellingham,-,1,797,786,"1,766",,,,,,,,,
Bellingham,-,2,846,834,"1,889",,,,,,,,,
Bellingham,-,3,895,791,"1,849",,,,,,,,,
Bellingham,-,4,687,711,"1,561",,,,,,,,,
Bellingham,-,4A,104,92,213,,,,,,,,,
Bellingham,-,5,704,845,"1,704",,,,,,,,,
Belmont,-,1,"1,326",339,"1,841",,,,,,,,,
Belmont,-,2,"1,248",501,"1,946",,,,,,,,,
Belmont,-,3,"1,317",366,"1,822",,,,,,,,,
Belmont,-,4,"1,132",322,"1,603",,,,,,,,,
Belmont,-,5,"1,275",350,"1,791",,,,,,,,,
Belmont,-,6,"1,366",339,"1,849",,,,,,,,,
Belmont,-,7,"1,339",345,"1,868",,,,,,,,,
Belmont,-,8,"1,249",544,"1,971",,,,,,,,,
Berkley,-,1,793,"1,003","1,965",,,,,,,,,
Berkley,-,2,662,923,"1,714",,,,,,,,,
Berlin,-,1,"1,009",745,"1,966",,,,,,,,,
Bernardston,-,1,711,382,"1,244",,,,,,,,,
Beverly,1,1,941,640,"1,757",,,,,,,,,
Beverly,1,2,"1,072",705,"1,991",,,,,,,,,
Beverly,2,1,"1,111",435,"1,747",,,,,,,,,
Beverly,2,2,"1,336",484,"2,024",,,,,,,,,
Beverly,3,1,916,396,"1,497",,,,,,,,,
Beverly,3,2,"1,005",607,"1,810",,,,,,,,,
