City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.45363226039640053,933.7424669825516,775.2575330174485
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.14301858982908705,1432.0159363955956,238.98406360440447
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.03715375001805654,1661.8726274688345,64.12737253116559
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.5557431920887879,852.5288143816161,1066.471185618384
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.3174445369036376,1287.9821588628358,599.0178411371642
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.42066008062731575,1207.344391972674,876.655608027326
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.09410789679697934,2018.3276059363302,209.67239406366997
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3139803491156591,1533.2539197265019,701.746080273498
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.4293775988323122,1319.2789914996943,992.7210085003057
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.4196995860212096,1257.5109970920387,909.4890029079612
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.38557456786606215,1192.5997637719734,748.4002362280266
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.48895409935610135,869.8001228959155,832.1998771040845
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.37094512265870394,1231.6894498342576,726.3105501657424
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.36825080826907575,1271.0793737626195,740.9206262373804
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.5239609652691437,365.1219396385668,401.8780603614332
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.5700921344103609,356.39362057381084,472.60637942618916
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.4990238526777114,410.29946465695446,408.7005353430456
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.25987730907038253,547.6907912879169,192.30920871208306
Adams,-,5,577,259,925,1923.6825980392157,0.48084855627578077,0.3785983426449634,574.7965330534089,350.20346694659116
Agawam,-,1,631,827,1605,3068.023795119984,0.5231380547155215,0.15603453558245356,1354.564570390162,250.43542960983797
Agawam,-,2,850,1069,2099,4012.325199973113,0.5231380547155214,0.20791037670250684,1662.5961193014382,436.40388069856186
Agawam,-,3,770,921,1814,3467.5359279424615,0.5231380547155214,0.4872984681487796,930.040578778114,883.9594212218861
Agawam,-,4,700,724,1564,2989.650601599785,0.5231380547155214,0.30280603126707517,1090.4113670982945,473.5886329017056
Agawam,-,5,861,998,2050,3918.6596760099483,0.5231380547155214,0.47744159866527225,1071.244722736192,978.7552772638081
Agawam,-,6,783,882,1812,3463.71284533172,0.5231380547155215,0.3529967757635152,1172.3698423165106,639.6301576834895
Agawam,-,7,750,991,1914,3658.690058479532,0.5231380547155214,0.4524931664372862,1047.9280794390343,866.0719205609659
Agawam,-,8,863,1009,2019,3859.4018955434562,0.5231380547155215,0.12203538160830668,1772.610564532829,246.38943546717118
Alford,-,1,226,52,307,494.0,0.6214574898785425,0.4768391129303382,160.61039233038616,146.38960766961384
Amesbury,-,1,930,623,1740,3013.4460753031267,0.5774120248111528,0.27156587884005745,1267.4753708183,472.5246291817
Amesbury,-,2,901,503,1576,2729.4201233780045,0.5774120248111527,0.05250124557348218,1493.2580369761922,82.74196302380791
