City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote,turnout,new_r_share,new_d_votes,new_r_votes
Abington,-,1,818,717,1709,3065.346162477558,0.5575226775101658,0.4311527088179537,972.1600206301172,736.8399793698828
Abington,-,2,739,785,1671,2997.1875,0.5575226775101658,0.2579683353223029,1239.934911676432,431.06508832356815
Abington,-,3,773,808,1726,3095.8381956912026,0.5575226775101658,0.33458693103966974,1148.5029570255301,577.49704297447
Abington,-,4,877,878,1919,3442.012455116697,0.5575226775101657,0.4058510988548356,1140.1717412975704,778.8282587024296
Abington,-,5,908,829,1887,3384.6156867145423,0.5575226775101657,0.459846270628922,1019.2700873232242,867.7299126767758
Acton,-,1,1459,438,2084,3523.5301920259117,0.5914522897281519,0.5047701290245751,1032.0590511127855,1051.9409488872145
Acton,-,2,1550,480,2228,3766.998688979718,0.5914522897281518,0.21710626625078122,1744.2872387932593,483.71276120674054
Acton,-,3,1580,435,2235,3778.8339631371946,0.5914522897281518,0.3058588378568347,1551.4054973899742,683.5945026100255
Acton,-,4,1675,414,2312,3909.0219788694376,0.5914522897281518,0.4098159625103106,1364.5054946761618,947.4945053238381
Acton,-,5,1580,387,2167,3663.8627284645636,0.5914522897281519,0.19571865408831546,1742.8776765906205,424.1223234093796
Acton,-,6,1354,401,1941,3281.752448523174,0.5914522897281519,0.44741436190367256,1072.5687235449716,868.4312764550284
Acushnet,-,1,783,786,1702,3091.6265867418897,0.5505192662331361,0.4207875140333431,985.8196511152502,716.18034888475
Acushnet,-,2,756,1043,1958,3556.642101551481,0.550519266233136,0.30866022024779644,1353.6432887548146,604.3567112451855
Acushnet,-,3,862,1005,2012,3654.731311706629,0.550519266233136,0.3623936095654329,1282.864057554349,729.1359424456509
Adams,-,1,439,255,767,1595.0968137254902,0.4808485562757808,0.3842060834617863,472.3139339848099,294.6860660151901
Adams,-,2,476,270,829,1724.0355392156862,0.4808485562757808,0.4049243248268952,493.31773471850386,335.68226528149614
Adams,-,3,475,268,819,1703.2389705882354,0.48084855627578077,0.4247063955600429,471.1654620363248,347.83453796367513
Adams,-,4,446,233,740,1538.9460784313726,0.48084855627578077,0.48468255937244104,381.3349060643936,358.66509393560636
